position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
14	center	1:06:02::	2	noun.artifact	1	1	1	1	1	0
81	centers	1:08:00::	7	noun.body	1	1	1	1	1	1
17	center	1:06:02::	2	noun.artifact	1	1	1	1	1	2
1	center	1:06:00::	3	noun.artifact	1	0	1	1	1	3
12	center	1:06:00::	3	noun.artifact	1	0	1	1	1	4
18	centers	1:15:02::	11	noun.location	1	0	0	1	1	5
4	center	1:09:01::	6	noun.cognition	1	0	0	1	1	6
36	center	1:06:02::	2	noun.artifact	1	0	0	1	1	7
16	center	1:06:00::	3	noun.artifact	1	0	0	1	1	8
14	center	1:15:00::	4	noun.location	1	0	0	1	1	9
18	center	1:06:02::	2	noun.artifact	1	0	0	0	1	10
4	center	1:14:00::	12	noun.group	1	0	0	0	1	11
22	center	1:06:02::	2	noun.artifact	1	0	0	0	1	12
11	center	1:09:00::	5	noun.cognition	1	0	0	0	1	13
31	center	1:15:00::	4	noun.location	1	0	0	0	1	14
12	center	1:06:02::	2	noun.artifact	1	0	0	0	1	15
14	center	1:09:00::	5	noun.cognition	1	0	0	0	1	16
40	centers	1:08:00::	7	noun.body	1	0	0	0	1	17
4	center	1:06:02::	2	noun.artifact	1	0	0	0	1	18
7	center	1:15:00::	4	noun.location	1	0	0	0	1	19
5	center	1:09:01::	6	noun.cognition	1	0	0	0	0	20
23	center	1:09:01::	6	noun.cognition	1	0	0	0	0	21
8	center	1:06:02::	2	noun.artifact	1	0	0	0	0	22
25	center	1:15:00::	4	noun.location	1	0	0	0	0	23
7	center	1:15:00::	4	noun.location	1	0	0	0	0	24
24	center	1:15:01::	1	noun.location	2	2	2	2	2	25
21	centers	1:15:01::	1	noun.location	2	2	2	2	2	26
17	center	1:18:01::	9	noun.person	2	2	2	2	2	27
9	center	1:15:01::	1	noun.location	2	0	2	2	2	28
11	center	1:15:01::	1	noun.location	2	0	2	2	2	29
7	center	1:15:01::	1	noun.location	2	0	0	2	2	30
2	center	1:15:01::	1	noun.location	2	0	0	2	2	31
10	centers	1:15:01::	1	noun.location	2	0	0	2	2	32
9	center	1:15:01::	1	noun.location	2	0	0	2	2	33
2	center	1:15:01::	1	noun.location	2	0	0	2	2	34
24	center	1:15:01::	1	noun.location	2	0	0	0	2	35
2	center	1:15:01::	1	noun.location	2	0	0	0	2	36
40	center	1:15:01::	1	noun.location	2	0	0	0	2	37
40	center	1:15:01::	1	noun.location	2	0	0	0	2	38
23	centers	1:15:01::	1	noun.location	2	0	0	0	2	39
6	center	1:15:01::	1	noun.location	2	0	0	0	2	40
20	centers	1:15:01::	1	noun.location	2	0	0	0	2	41
12	centers	1:15:01::	1	noun.location	2	0	0	0	2	42
4	center	1:15:01::	1	noun.location	2	0	0	0	2	43
35	centers	1:15:01::	1	noun.location	2	0	0	0	2	44
4	center	1:15:01::	1	noun.location	2	0	0	0	0	45
16	center	1:15:01::	1	noun.location	2	0	0	0	0	46
14	centers	1:15:01::	1	noun.location	2	0	0	0	0	47
6	centers	1:15:01::	1	noun.location	2	0	0	0	0	48
16	centers	1:15:01::	1	noun.location	2	0	0	0	0	49
