position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
15	century	1:28:00::	1	noun.time	1	1	1	1	1	0
2	century	1:28:00::	1	noun.time	1	1	1	1	1	1
2	century	1:28:00::	1	noun.time	1	1	1	1	1	2
6	Century	1:28:00::	1	noun.time	1	0	1	1	1	3
36	century	1:28:00::	1	noun.time	1	0	1	1	1	4
2	centuries	1:28:00::	1	noun.time	1	0	0	1	1	5
15	century	1:28:00::	1	noun.time	1	0	0	1	1	6
13	centuries	1:28:00::	1	noun.time	1	0	0	1	1	7
13	century	1:28:00::	1	noun.time	1	0	0	1	1	8
17	century	1:28:00::	1	noun.time	1	0	0	1	1	9
11	century	1:28:00::	1	noun.time	1	0	0	0	1	10
4	century	1:28:00::	1	noun.time	1	0	0	0	1	11
6	century	1:28:00::	1	noun.time	1	0	0	0	1	12
10	century	1:28:00::	1	noun.time	1	0	0	0	1	13
30	centuries	1:28:00::	1	noun.time	1	0	0	0	1	14
14	centuries	1:28:00::	1	noun.time	1	0	0	0	1	15
11	Century	1:28:00::	1	noun.time	1	0	0	0	1	16
13	century	1:28:00::	1	noun.time	1	0	0	0	1	17
5	century	1:28:00::	1	noun.time	1	0	0	0	1	18
12	century	1:28:00::	1	noun.time	1	0	0	0	1	19
22	century	1:28:00::	1	noun.time	1	0	0	0	0	20
27	century	1:28:00::	1	noun.time	1	0	0	0	0	21
1	century	1:28:00::	1	noun.time	1	0	0	0	0	22
34	century	1:28:00::	1	noun.time	1	0	0	0	0	23
14	century	1:28:00::	1	noun.time	1	0	0	0	0	24
21	centuries	1:28:00::	1	noun.time	2	2	2	2	2	25
18	century	1:28:00::	1	noun.time	2	2	2	2	2	26
61	centuries	1:28:00::	1	noun.time	2	2	2	2	2	27
30	century	1:28:00::	1	noun.time	2	0	2	2	2	28
11	century	1:28:00::	1	noun.time	2	0	2	2	2	29
18	centuries	1:28:00::	1	noun.time	2	0	0	2	2	30
8	century	1:28:00::	1	noun.time	2	0	0	2	2	31
32	century	1:28:00::	1	noun.time	2	0	0	2	2	32
14	Century	1:28:00::	1	noun.time	2	0	0	2	2	33
18	centuries	1:28:00::	1	noun.time	2	0	0	2	2	34
3	century	1:28:00::	1	noun.time	2	0	0	0	2	35
13	century	1:28:00::	1	noun.time	2	0	0	0	2	36
2	century	1:28:00::	1	noun.time	2	0	0	0	2	37
28	century	1:28:00::	1	noun.time	2	0	0	0	2	38
52	century	1:28:00::	1	noun.time	2	0	0	0	2	39
10	century	1:28:00::	1	noun.time	2	0	0	0	2	40
51	century	1:28:00::	1	noun.time	2	0	0	0	2	41
19	century	1:28:00::	1	noun.time	2	0	0	0	2	42
8	century	1:28:00::	1	noun.time	2	0	0	0	2	43
8	centuries	1:28:00::	1	noun.time	2	0	0	0	2	44
19	century	1:28:00::	1	noun.time	2	0	0	0	0	45
5	centuries	1:28:00::	1	noun.time	2	0	0	0	0	46
7	century	1:28:00::	1	noun.time	2	0	0	0	0	47
8	centuries	1:28:00::	1	noun.time	2	0	0	0	0	48
8	century	1:28:00::	1	noun.time	2	0	0	0	0	49
