position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
10	certain	5:00:00:definite:00	1	adj.all	1	1	1	1	1	0
4	certain	5:00:00:definite:00	1	adj.all	1	1	1	1	1	1
38	certain	3:00:02::	2	adj.all	1	1	1	1	1	2
21	certain	5:00:00:definite:00	1	adj.all	1	0	1	1	1	3
24	certain	5:00:00:definite:00	1	adj.all	1	0	1	1	1	4
26	certain	5:00:00:definite:00	1	adj.all	1	0	0	1	1	5
11	certain	3:00:02::	2	adj.all	1	0	0	1	1	6
28	certain	3:00:01::	3	adj.all	1	0	0	1	1	7
11	certain	3:00:03::	4	adj.all	1	0	0	1	1	8
16	certain	5:00:00:definite:00	1	adj.all	1	0	0	1	1	9
10	certain	5:00:00:definite:00	1	adj.all	1	0	0	0	1	10
25	certain	5:00:00:definite:00	1	adj.all	1	0	0	0	1	11
10	certain	5:00:00:definite:00	1	adj.all	1	0	0	0	1	12
10	certain	5:00:00:definite:00	1	adj.all	1	0	0	0	1	13
16	certain	5:00:00:definite:00	1	adj.all	1	0	0	0	1	14
7	certain	5:00:00:definite:00	1	adj.all	1	0	0	0	1	15
4	certain	3:00:01::	3	adj.all	1	0	0	0	1	16
3	certain	3:00:02::	2	adj.all	1	0	0	0	1	17
6	certain	5:00:00:definite:00	1	adj.all	1	0	0	0	1	18
3	certain	3:00:01::	3	adj.all	1	0	0	0	1	19
17	certain	5:00:00:definite:00	1	adj.all	1	0	0	0	0	20
5	certain	5:00:00:definite:00	1	adj.all	1	0	0	0	0	21
6	certain	5:00:00:definite:00	1	adj.all	1	0	0	0	0	22
29	certain	5:00:00:definite:00	1	adj.all	1	0	0	0	0	23
1	certain	5:00:00:definite:00	1	adj.all	1	0	0	0	0	24
0	Certain	5:00:00:definite:00	1	adj.all	2	2	2	2	2	25
23	certain	5:00:00:definite:00	1	adj.all	2	2	2	2	2	26
43	certain	5:00:00:definite:00	1	adj.all	2	2	2	2	2	27
0	Certain	5:00:00:definite:00	1	adj.all	2	0	2	2	2	28
10	certain	3:00:03::	4	adj.all	2	0	2	2	2	29
7	certain	5:00:00:definite:00	1	adj.all	2	0	0	2	2	30
21	certain	5:00:00:definite:00	1	adj.all	2	0	0	2	2	31
4	certain	5:00:00:definite:00	1	adj.all	2	0	0	2	2	32
5	certain	5:00:00:definite:00	1	adj.all	2	0	0	2	2	33
5	certain	5:00:00:definite:00	1	adj.all	2	0	0	2	2	34
31	certain	5:00:00:definite:00	1	adj.all	2	0	0	0	2	35
8	certain	5:00:00:definite:00	1	adj.all	2	0	0	0	2	36
20	certain	5:00:00:definite:00	1	adj.all	2	0	0	0	2	37
19	certain	5:00:00:definite:00	1	adj.all	2	0	0	0	2	38
2	certain	5:00:00:definite:00	1	adj.all	2	0	0	0	2	39
4	certain	5:00:00:definite:00	1	adj.all	2	0	0	0	2	40
20	certain	5:00:00:definite:00	1	adj.all	2	0	0	0	2	41
37	certain	3:00:02::	2	adj.all	2	0	0	0	2	42
1	certain	5:00:00:definite:00	1	adj.all	2	0	0	0	2	43
17	certain	3:00:03::	4	adj.all	2	0	0	0	2	44
2	certain	5:00:00:definite:00	1	adj.all	2	0	0	0	0	45
1	certain	5:00:00:definite:00	1	adj.all	2	0	0	0	0	46
26	certain	5:00:00:definite:00	1	adj.all	2	0	0	0	0	47
22	certain	5:00:00:definite:00	1	adj.all	2	0	0	0	0	48
5	certain	5:00:00:definite:00	1	adj.all	2	0	0	0	0	49
