position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
9	certainly	4:02:00::	1	adv.all	1	1	1	1	1	0
10	certainly	4:02:00::	1	adv.all	1	1	1	1	1	1
0	Certainly	4:02:00::	1	adv.all	1	1	1	1	1	2
2	certainly	4:02:00::	1	adv.all	1	0	1	1	1	3
4	certainly	4:02:00::	1	adv.all	1	0	1	1	1	4
2	certainly	4:02:00::	1	adv.all	1	0	0	1	1	5
2	certainly	4:02:00::	1	adv.all	1	0	0	1	1	6
25	certainly	4:02:00::	1	adv.all	1	0	0	1	1	7
20	certainly	4:02:00::	1	adv.all	1	0	0	1	1	8
0	Certainly	4:02:00::	1	adv.all	1	0	0	1	1	9
13	certainly	4:02:00::	1	adv.all	1	0	0	0	1	10
22	certainly	4:02:00::	1	adv.all	1	0	0	0	1	11
19	certainly	4:02:00::	1	adv.all	1	0	0	0	1	12
0	Certainly	4:02:00::	1	adv.all	1	0	0	0	1	13
9	certainly	4:02:00::	1	adv.all	1	0	0	0	1	14
19	certainly	4:02:00::	1	adv.all	1	0	0	0	1	15
4	certainly	4:02:00::	1	adv.all	1	0	0	0	1	16
0	Certainly	4:02:00::	1	adv.all	1	0	0	0	1	17
0	Certainly	4:02:00::	1	adv.all	1	0	0	0	1	18
0	Certainly	4:02:00::	1	adv.all	1	0	0	0	1	19
0	Certainly	4:02:00::	1	adv.all	1	0	0	0	0	20
16	certainly	4:02:00::	1	adv.all	1	0	0	0	0	21
32	certainly	4:02:00::	1	adv.all	1	0	0	0	0	22
47	certainly	4:02:00::	1	adv.all	1	0	0	0	0	23
2	certainly	4:02:00::	1	adv.all	1	0	0	0	0	24
0	Certainly	4:02:00::	1	adv.all	2	2	2	2	2	25
1	certainly	4:02:00::	1	adv.all	2	2	2	2	2	26
6	certainly	4:02:00::	1	adv.all	2	2	2	2	2	27
25	certainly	4:02:00::	1	adv.all	2	0	2	2	2	28
0	Certainly	4:02:00::	1	adv.all	2	0	2	2	2	29
0	Certainly	4:02:00::	1	adv.all	2	0	0	2	2	30
24	certainly	4:02:00::	1	adv.all	2	0	0	2	2	31
11	certainly	4:02:00::	1	adv.all	2	0	0	2	2	32
0	Certainly	4:02:00::	1	adv.all	2	0	0	2	2	33
10	certainly	4:02:00::	1	adv.all	2	0	0	2	2	34
2	certainly	4:02:00::	1	adv.all	2	0	0	0	2	35
9	certainly	4:02:00::	1	adv.all	2	0	0	0	2	36
0	Certainly	4:02:00::	1	adv.all	2	0	0	0	2	37
11	certainly	4:02:00::	1	adv.all	2	0	0	0	2	38
2	certainly	4:02:00::	1	adv.all	2	0	0	0	2	39
2	certainly	4:02:00::	1	adv.all	2	0	0	0	2	40
7	certainly	4:02:00::	1	adv.all	2	0	0	0	2	41
22	certainly	4:02:00::	1	adv.all	2	0	0	0	2	42
24	certainly	4:02:00::	1	adv.all	2	0	0	0	2	43
45	certainly	4:02:00::	1	adv.all	2	0	0	0	2	44
3	certainly	4:02:00::	1	adv.all	2	0	0	0	0	45
10	certainly	4:02:00::	1	adv.all	2	0	0	0	0	46
7	certainly	4:02:00::	1	adv.all	2	0	0	0	0	47
8	certainly	4:02:00::	1	adv.all	2	0	0	0	0	48
2	certainly	4:02:00::	1	adv.all	2	0	0	0	0	49
