position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
20	changes	1:19:00::	4	noun.phenomenon	1	1	1	1	1	0
22	change	1:11:00::	1	noun.event	1	1	1	1	1	1
2	change	1:11:00::	1	noun.event	1	1	1	1	1	2
4	changes	1:11:00::	1	noun.event	1	0	1	1	1	3
1	change	1:11:00::	1	noun.event	1	0	1	1	1	4
33	changes	1:04:00::	3	noun.act	1	0	0	1	1	5
7	change	1:21:02::	5	noun.possession	1	0	0	1	1	6
5	change	1:11:00::	1	noun.event	1	0	0	1	1	7
23	changes	1:11:00::	1	noun.event	1	0	0	1	1	8
8	change	1:11:00::	1	noun.event	1	0	0	1	1	9
10	changes	1:04:00::	3	noun.act	1	0	0	0	1	10
8	change	1:11:00::	1	noun.event	1	0	0	0	1	11
21	changes	1:11:00::	1	noun.event	1	0	0	0	1	12
36	change	1:11:00::	1	noun.event	1	0	0	0	1	13
21	changes	1:11:00::	1	noun.event	1	0	0	0	1	14
5	changes	1:11:00::	1	noun.event	1	0	0	0	1	15
18	change	1:11:00::	1	noun.event	1	0	0	0	1	16
3	change	1:11:00::	1	noun.event	1	0	0	0	1	17
3	change	1:04:00::	3	noun.act	1	0	0	0	1	18
0	Changes	1:19:00::	4	noun.phenomenon	1	0	0	0	1	19
41	change	1:11:00::	1	noun.event	1	0	0	0	0	20
9	change	1:11:00::	1	noun.event	1	0	0	0	0	21
23	changes	1:11:00::	1	noun.event	1	0	0	0	0	22
20	change	1:19:00::	4	noun.phenomenon	1	0	0	0	0	23
4	changes	1:11:00::	1	noun.event	1	0	0	0	0	24
19	change	1:06:00::	7	noun.artifact	2	2	2	2	2	25
28	change	1:24:00::	2	noun.relation	2	2	2	2	2	26
14	change	1:24:00::	2	noun.relation	2	2	2	2	2	27
14	change	1:24:00::	2	noun.relation	2	0	2	2	2	28
7	change	1:24:00::	2	noun.relation	2	0	2	2	2	29
25	change	1:24:00::	2	noun.relation	2	0	0	2	2	30
12	changes	1:24:00::	2	noun.relation	2	0	0	2	2	31
4	changes	1:24:00::	2	noun.relation	2	0	0	2	2	32
11	changes	1:24:00::	2	noun.relation	2	0	0	2	2	33
6	changes	1:24:00::	2	noun.relation	2	0	0	2	2	34
9	change	1:24:00::	2	noun.relation	2	0	0	0	2	35
1	change	1:24:00::	2	noun.relation	2	0	0	0	2	36
30	changes	1:24:00::	2	noun.relation	2	0	0	0	2	37
21	change	1:24:00::	2	noun.relation	2	0	0	0	2	38
38	change	1:24:00::	2	noun.relation	2	0	0	0	2	39
27	changes	1:24:00::	2	noun.relation	2	0	0	0	2	40
5	changes	1:24:00::	2	noun.relation	2	0	0	0	2	41
12	change	1:24:00::	2	noun.relation	2	0	0	0	2	42
14	change	1:24:00::	2	noun.relation	2	0	0	0	2	43
22	changes	1:24:00::	2	noun.relation	2	0	0	0	2	44
27	change	1:24:00::	2	noun.relation	2	0	0	0	0	45
5	changes	1:24:00::	2	noun.relation	2	0	0	0	0	46
8	change	1:24:00::	2	noun.relation	2	0	0	0	0	47
49	change	1:24:00::	2	noun.relation	2	0	0	0	0	48
40	changes	1:24:00::	2	noun.relation	2	0	0	0	0	49
