position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
27	changed	2:30:01::	1	verb.change	1	1	1	1	1	0
3	change	2:30:01::	1	verb.change	1	1	1	1	1	1
12	change	2:30:01::	1	verb.change	1	1	1	1	1	2
19	changing	2:30:00::	2	verb.change	1	0	1	1	1	3
2	changing	2:30:01::	1	verb.change	1	0	1	1	1	4
15	changed	2:30:02::	3	verb.change	1	0	0	1	1	5
12	change	2:30:00::	2	verb.change	1	0	0	1	1	6
20	change	2:30:01::	1	verb.change	1	0	0	1	1	7
36	change	2:30:01::	1	verb.change	1	0	0	1	1	8
15	change	2:30:02::	3	verb.change	1	0	0	1	1	9
10	change	2:38:00::	8	verb.motion	1	0	0	0	1	10
10	changed	2:30:02::	3	verb.change	1	0	0	0	1	11
7	change	2:30:01::	1	verb.change	1	0	0	0	1	12
8	changed	2:30:00::	2	verb.change	1	0	0	0	1	13
15	change	2:30:01::	1	verb.change	1	0	0	0	1	14
22	changed	2:30:01::	1	verb.change	1	0	0	0	1	15
15	changed	2:30:01::	1	verb.change	1	0	0	0	1	16
15	change	2:30:01::	1	verb.change	1	0	0	0	1	17
12	changed	2:30:00::	2	verb.change	1	0	0	0	1	18
11	change	2:30:01::	1	verb.change	1	0	0	0	1	19
14	change	2:30:01::	1	verb.change	1	0	0	0	0	20
14	changed	2:30:00::	2	verb.change	1	0	0	0	0	21
33	change	2:30:05::	4	verb.change	1	0	0	0	0	22
21	changed	2:30:00::	2	verb.change	1	0	0	0	0	23
8	change	2:30:05::	4	verb.change	1	0	0	0	0	24
44	changed	2:38:00::	8	verb.motion	2	2	2	2	2	25
10	changed	2:30:01::	1	verb.change	2	2	2	2	2	26
6	change	2:30:00::	2	verb.change	2	2	2	2	2	27
3	changed	2:30:00::	2	verb.change	2	0	2	2	2	28
14	change	2:30:04::	6	verb.change	2	0	2	2	2	29
5	changed	2:30:00::	2	verb.change	2	0	0	2	2	30
8	changed	2:30:00::	2	verb.change	2	0	0	2	2	31
13	change	2:30:00::	2	verb.change	2	0	0	2	2	32
11	changed	2:30:01::	1	verb.change	2	0	0	2	2	33
48	changed	2:30:00::	2	verb.change	2	0	0	2	2	34
14	changing	2:30:00::	2	verb.change	2	0	0	0	2	35
5	changed	2:30:00::	2	verb.change	2	0	0	0	2	36
4	change	2:30:01::	1	verb.change	2	0	0	0	2	37
4	changed	2:30:00::	2	verb.change	2	0	0	0	2	38
13	change	2:38:00::	8	verb.motion	2	0	0	0	2	39
15	changed	2:30:00::	2	verb.change	2	0	0	0	2	40
14	change	2:30:00::	2	verb.change	2	0	0	0	2	41
9	changes	2:30:01::	1	verb.change	2	0	0	0	2	42
20	changed	2:30:00::	2	verb.change	2	0	0	0	2	43
6	change	2:30:01::	1	verb.change	2	0	0	0	2	44
3	change	2:30:00::	2	verb.change	2	0	0	0	0	45
10	changing	2:30:01::	1	verb.change	2	0	0	0	0	46
3	changing	2:30:00::	2	verb.change	2	0	0	0	0	47
8	changed	2:30:01::	1	verb.change	2	0	0	0	0	48
7	change	2:30:01::	1	verb.change	2	0	0	0	0	49
