position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
8	child	1:18:00::	1	noun.person	1	1	1	1	1	0
33	children	1:18:00::	1	noun.person	1	1	1	1	1	1
7	children	1:18:01::	2	noun.person	1	1	1	1	1	2
6	child	1:18:00::	1	noun.person	1	0	1	1	1	3
16	children	1:18:01::	2	noun.person	1	0	1	1	1	4
11	children	1:18:00::	1	noun.person	1	0	0	1	1	5
1	children	1:18:00::	1	noun.person	1	0	0	1	1	6
4	children	1:18:00::	1	noun.person	1	0	0	1	1	7
13	children	1:18:01::	2	noun.person	1	0	0	1	1	8
7	children	1:18:01::	2	noun.person	1	0	0	1	1	9
1	child	1:18:00::	1	noun.person	1	0	0	0	1	10
15	children	1:18:01::	2	noun.person	1	0	0	0	1	11
1	children	1:18:00::	1	noun.person	1	0	0	0	1	12
29	children	1:18:01::	2	noun.person	1	0	0	0	1	13
2	children	1:18:00::	1	noun.person	1	0	0	0	1	14
21	child	1:18:00::	1	noun.person	1	0	0	0	1	15
19	children	1:18:00::	1	noun.person	1	0	0	0	1	16
6	children	1:18:00::	1	noun.person	1	0	0	0	1	17
25	children	1:18:00::	1	noun.person	1	0	0	0	1	18
4	children	1:18:00::	1	noun.person	1	0	0	0	1	19
5	children	1:18:00::	1	noun.person	1	0	0	0	0	20
8	child	1:18:00::	1	noun.person	1	0	0	0	0	21
18	child	1:18:00::	1	noun.person	1	0	0	0	0	22
2	child	1:18:01::	2	noun.person	1	0	0	0	0	23
7	child	1:18:00::	1	noun.person	1	0	0	0	0	24
11	child	1:18:00::	1	noun.person	2	2	2	2	2	25
5	children	1:18:01::	2	noun.person	2	2	2	2	2	26
13	children	1:18:00::	1	noun.person	2	2	2	2	2	27
4	children	1:18:00::	1	noun.person	2	0	2	2	2	28
8	children	1:18:00::	1	noun.person	2	0	2	2	2	29
22	child	1:18:00::	1	noun.person	2	0	0	2	2	30
24	children	1:18:00::	1	noun.person	2	0	0	2	2	31
14	child	1:18:00::	1	noun.person	2	0	0	2	2	32
30	children	1:18:01::	2	noun.person	2	0	0	2	2	33
7	child	1:18:00::	1	noun.person	2	0	0	2	2	34
4	child	1:18:00::	1	noun.person	2	0	0	0	2	35
7	child	1:18:01::	2	noun.person	2	0	0	0	2	36
3	children	1:18:00::	1	noun.person	2	0	0	0	2	37
4	children	1:18:00::	1	noun.person	2	0	0	0	2	38
1	child	1:18:01::	2	noun.person	2	0	0	0	2	39
3	children	1:18:00::	1	noun.person	2	0	0	0	2	40
2	child	1:18:00::	1	noun.person	2	0	0	0	2	41
28	children	1:18:01::	2	noun.person	2	0	0	0	2	42
17	children	1:18:01::	2	noun.person	2	0	0	0	2	43
10	children	1:18:01::	2	noun.person	2	0	0	0	2	44
4	children	1:18:00::	1	noun.person	2	0	0	0	0	45
13	child	1:18:00::	1	noun.person	2	0	0	0	0	46
19	child	1:18:00::	1	noun.person	2	0	0	0	0	47
11	children	1:18:00::	1	noun.person	2	0	0	0	0	48
4	child	1:18:00::	1	noun.person	2	0	0	0	0	49
