position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
4	choose	2:31:00::	1	verb.cognition	1	1	1	1	1	0
11	chose	2:31:02::	2	verb.cognition	1	1	1	1	1	1
13	choose	2:31:00::	1	verb.cognition	1	1	1	1	1	2
5	choose	2:31:00::	1	verb.cognition	1	0	1	1	1	3
2	chosen	2:31:00::	1	verb.cognition	1	0	1	1	1	4
10	choose	2:31:00::	1	verb.cognition	1	0	0	1	1	5
9	chooses	2:31:02::	2	verb.cognition	1	0	0	1	1	6
5	chosen	2:31:00::	1	verb.cognition	1	0	0	1	1	7
17	chosen	2:31:00::	1	verb.cognition	1	0	0	1	1	8
24	choose	2:31:00::	1	verb.cognition	1	0	0	1	1	9
1	chose	2:31:00::	1	verb.cognition	1	0	0	0	1	10
9	chosen	2:31:00::	1	verb.cognition	1	0	0	0	1	11
3	choose	2:31:00::	1	verb.cognition	1	0	0	0	1	12
16	chosen	2:31:02::	2	verb.cognition	1	0	0	0	1	13
10	chose	2:31:02::	2	verb.cognition	1	0	0	0	1	14
4	choose	2:31:00::	1	verb.cognition	1	0	0	0	1	15
11	chose	2:31:00::	1	verb.cognition	1	0	0	0	1	16
7	chose	2:31:02::	2	verb.cognition	1	0	0	0	1	17
4	choose	2:31:00::	1	verb.cognition	1	0	0	0	1	18
11	choose	2:31:01::	3	verb.cognition	1	0	0	0	1	19
6	chosen	2:31:00::	1	verb.cognition	1	0	0	0	0	20
5	choose	2:31:02::	2	verb.cognition	1	0	0	0	0	21
28	chose	2:31:02::	2	verb.cognition	1	0	0	0	0	22
6	chosen	2:31:00::	1	verb.cognition	1	0	0	0	0	23
4	chosen	2:31:00::	1	verb.cognition	1	0	0	0	0	24
5	chosen	2:31:00::	1	verb.cognition	2	2	2	2	2	25
5	chose	2:31:00::	1	verb.cognition	2	2	2	2	2	26
2	chosen	2:31:00::	1	verb.cognition	2	2	2	2	2	27
5	chosen	2:31:00::	1	verb.cognition	2	0	2	2	2	28
4	chosen	2:31:01::	3	verb.cognition	2	0	2	2	2	29
6	chosen	2:31:00::	1	verb.cognition	2	0	0	2	2	30
0	Choose	2:31:00::	1	verb.cognition	2	0	0	2	2	31
6	choose	2:31:00::	1	verb.cognition	2	0	0	2	2	32
4	choose	2:31:00::	1	verb.cognition	2	0	0	2	2	33
32	chose	2:31:02::	2	verb.cognition	2	0	0	2	2	34
13	chosen	2:31:01::	3	verb.cognition	2	0	0	0	2	35
9	chose	2:31:02::	2	verb.cognition	2	0	0	0	2	36
10	choosing	2:31:00::	1	verb.cognition	2	0	0	0	2	37
6	choosing	2:31:00::	1	verb.cognition	2	0	0	0	2	38
12	chose	2:31:02::	2	verb.cognition	2	0	0	0	2	39
23	chooses	2:31:00::	1	verb.cognition	2	0	0	0	2	40
29	chooses	2:31:02::	2	verb.cognition	2	0	0	0	2	41
8	chosen	2:31:00::	1	verb.cognition	2	0	0	0	2	42
14	choose	2:31:00::	1	verb.cognition	2	0	0	0	2	43
40	choosing	2:31:00::	1	verb.cognition	2	0	0	0	2	44
29	chose	2:31:00::	1	verb.cognition	2	0	0	0	0	45
14	chosen	2:31:02::	2	verb.cognition	2	0	0	0	0	46
19	choose	2:31:00::	1	verb.cognition	2	0	0	0	0	47
3	choosing	2:31:00::	1	verb.cognition	2	0	0	0	0	48
13	chose	2:31:01::	3	verb.cognition	2	0	0	0	0	49
