position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
16	churches	1:14:00::	1	noun.group	1	1	1	1	1	0
36	church	1:14:00::	1	noun.group	1	1	1	1	1	1
30	Church	1:14:00::	1	noun.group	1	1	1	1	1	2
38	church	1:14:00::	1	noun.group	1	0	1	1	1	3
14	church	1:04:00::	3	noun.act	1	0	1	1	1	4
17	church	1:14:00::	1	noun.group	1	0	0	1	1	5
11	church	1:04:00::	3	noun.act	1	0	0	1	1	6
27	churches	1:14:00::	1	noun.group	1	0	0	1	1	7
18	church	1:14:00::	1	noun.group	1	0	0	1	1	8
12	Church	1:14:00::	1	noun.group	1	0	0	1	1	9
14	churches	1:14:00::	1	noun.group	1	0	0	0	1	10
4	churches	1:14:00::	1	noun.group	1	0	0	0	1	11
12	churches	1:14:00::	1	noun.group	1	0	0	0	1	12
19	church	1:14:00::	1	noun.group	1	0	0	0	1	13
7	church	1:14:00::	1	noun.group	1	0	0	0	1	14
2	church	1:14:00::	1	noun.group	1	0	0	0	1	15
0	Churches	1:14:00::	1	noun.group	1	0	0	0	1	16
4	churches	1:14:00::	1	noun.group	1	0	0	0	1	17
8	churches	1:14:00::	1	noun.group	1	0	0	0	1	18
9	churches	1:14:00::	1	noun.group	1	0	0	0	1	19
11	churches	1:14:00::	1	noun.group	1	0	0	0	0	20
2	church	1:04:00::	3	noun.act	1	0	0	0	0	21
19	Church	1:14:00::	1	noun.group	1	0	0	0	0	22
24	Church	1:14:00::	1	noun.group	1	0	0	0	0	23
17	Church	1:14:00::	1	noun.group	1	0	0	0	0	24
8	church	1:06:00::	2	noun.artifact	2	2	2	2	2	25
34	church	1:06:00::	2	noun.artifact	2	2	2	2	2	26
4	churches	1:06:00::	2	noun.artifact	2	2	2	2	2	27
1	church	1:06:00::	2	noun.artifact	2	0	2	2	2	28
15	church	1:06:00::	2	noun.artifact	2	0	2	2	2	29
13	churches	1:06:00::	2	noun.artifact	2	0	0	2	2	30
6	church	1:06:00::	2	noun.artifact	2	0	0	2	2	31
6	church	1:06:00::	2	noun.artifact	2	0	0	2	2	32
19	Church	1:06:00::	2	noun.artifact	2	0	0	2	2	33
4	church	1:06:00::	2	noun.artifact	2	0	0	2	2	34
6	church	1:06:00::	2	noun.artifact	2	0	0	0	2	35
16	church	1:06:00::	2	noun.artifact	2	0	0	0	2	36
28	church	1:06:00::	2	noun.artifact	2	0	0	0	2	37
5	church	1:06:00::	2	noun.artifact	2	0	0	0	2	38
5	church	1:06:00::	2	noun.artifact	2	0	0	0	2	39
36	church	1:06:00::	2	noun.artifact	2	0	0	0	2	40
4	churches	1:06:00::	2	noun.artifact	2	0	0	0	2	41
16	churches	1:06:00::	2	noun.artifact	2	0	0	0	2	42
11	church	1:06:00::	2	noun.artifact	2	0	0	0	2	43
8	churches	1:06:00::	2	noun.artifact	2	0	0	0	2	44
8	church	1:06:00::	2	noun.artifact	2	0	0	0	0	45
12	church	1:06:00::	2	noun.artifact	2	0	0	0	0	46
10	church	1:06:00::	2	noun.artifact	2	0	0	0	0	47
10	church	1:06:00::	2	noun.artifact	2	0	0	0	0	48
8	church	1:06:00::	2	noun.artifact	2	0	0	0	0	49
