position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
27	City	1:15:00::	1	noun.location	1	1	1	1	1	0
0	City	1:15:01::	2	noun.location	1	1	1	1	1	1
15	city	1:14:00::	3	noun.group	1	1	1	1	1	2
2	city	1:15:00::	1	noun.location	1	0	1	1	1	3
7	city	1:15:00::	1	noun.location	1	0	1	1	1	4
5	cities	1:15:00::	1	noun.location	1	0	0	1	1	5
4	city	1:15:01::	2	noun.location	1	0	0	1	1	6
11	city	1:15:00::	1	noun.location	1	0	0	1	1	7
6	cities	1:15:00::	1	noun.location	1	0	0	1	1	8
18	city	1:15:01::	2	noun.location	1	0	0	1	1	9
9	cities	1:15:00::	1	noun.location	1	0	0	0	1	10
12	city	1:15:00::	1	noun.location	1	0	0	0	1	11
5	cities	1:15:00::	1	noun.location	1	0	0	0	1	12
17	cities	1:15:00::	1	noun.location	1	0	0	0	1	13
19	city	1:15:00::	1	noun.location	1	0	0	0	1	14
13	city	1:15:00::	1	noun.location	1	0	0	0	1	15
9	city	1:15:00::	1	noun.location	1	0	0	0	1	16
7	city	1:15:00::	1	noun.location	1	0	0	0	1	17
9	city	1:15:00::	1	noun.location	1	0	0	0	1	18
15	city	1:15:00::	1	noun.location	1	0	0	0	1	19
19	city	1:15:00::	1	noun.location	1	0	0	0	0	20
8	cities	1:15:00::	1	noun.location	1	0	0	0	0	21
22	cities	1:15:00::	1	noun.location	1	0	0	0	0	22
18	cities	1:15:00::	1	noun.location	1	0	0	0	0	23
35	cities	1:15:00::	1	noun.location	1	0	0	0	0	24
16	city	1:15:00::	1	noun.location	2	2	2	2	2	25
11	cities	1:15:00::	1	noun.location	2	2	2	2	2	26
14	cities	1:15:00::	1	noun.location	2	2	2	2	2	27
11	city	1:15:00::	1	noun.location	2	0	2	2	2	28
12	City	1:15:00::	1	noun.location	2	0	2	2	2	29
16	city	1:15:00::	1	noun.location	2	0	0	2	2	30
25	city	1:15:00::	1	noun.location	2	0	0	2	2	31
21	city	1:15:00::	1	noun.location	2	0	0	2	2	32
4	city	1:15:01::	2	noun.location	2	0	0	2	2	33
10	city	1:15:00::	1	noun.location	2	0	0	2	2	34
15	cities	1:15:00::	1	noun.location	2	0	0	0	2	35
9	city	1:15:00::	1	noun.location	2	0	0	0	2	36
10	city	1:15:00::	1	noun.location	2	0	0	0	2	37
23	city	1:15:00::	1	noun.location	2	0	0	0	2	38
7	city	1:15:00::	1	noun.location	2	0	0	0	2	39
27	cities	1:15:00::	1	noun.location	2	0	0	0	2	40
18	city	1:15:00::	1	noun.location	2	0	0	0	2	41
4	City	1:15:00::	1	noun.location	2	0	0	0	2	42
4	city	1:15:00::	1	noun.location	2	0	0	0	2	43
7	city	1:15:00::	1	noun.location	2	0	0	0	2	44
2	city	1:15:01::	2	noun.location	2	0	0	0	0	45
13	city	1:15:00::	1	noun.location	2	0	0	0	0	46
18	cities	1:15:00::	1	noun.location	2	0	0	0	0	47
21	city	1:15:01::	2	noun.location	2	0	0	0	0	48
9	cities	1:15:00::	1	noun.location	2	0	0	0	0	49
