position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
31	claiming	2:32:00::	1	verb.communication	1	1	1	1	1	0
6	claimed	2:32:00::	1	verb.communication	1	1	1	1	1	1
6	claims	2:32:02::	3	verb.communication	1	1	1	1	1	2
2	claimed	2:32:01::	5	verb.communication	1	0	1	1	1	3
13	claiming	2:32:00::	1	verb.communication	1	0	1	1	1	4
19	claiming	2:32:03::	4	verb.communication	1	0	0	1	1	5
28	claimed	2:32:00::	1	verb.communication	1	0	0	1	1	6
5	claim	2:40:00::	2	verb.possession	1	0	0	1	1	7
11	claimed	2:32:03::	4	verb.communication	1	0	0	1	1	8
23	claiming	2:40:00::	2	verb.possession	1	0	0	1	1	9
17	claiming	2:32:03::	4	verb.communication	1	0	0	0	1	10
11	claimed	2:32:02::	3	verb.communication	1	0	0	0	1	11
23	claims	2:32:00::	1	verb.communication	1	0	0	0	1	12
3	claim	2:32:02::	3	verb.communication	1	0	0	0	1	13
12	claiming	2:40:00::	2	verb.possession	1	0	0	0	1	14
13	claim	2:32:02::	3	verb.communication	1	0	0	0	1	15
3	claim	2:32:00::	1	verb.communication	1	0	0	0	1	16
20	claimed	2:32:00::	1	verb.communication	1	0	0	0	1	17
3	claimed	2:32:02::	3	verb.communication	1	0	0	0	1	18
1	claimed	2:40:00::	2	verb.possession	1	0	0	0	1	19
2	claims	2:32:00::	1	verb.communication	1	0	0	0	0	20
50	claim	2:32:00::	1	verb.communication	1	0	0	0	0	21
10	claimed	2:32:00::	1	verb.communication	1	0	0	0	0	22
25	claims	2:32:00::	1	verb.communication	1	0	0	0	0	23
20	claim	2:32:02::	3	verb.communication	1	0	0	0	0	24
17	claim	2:40:00::	2	verb.possession	2	2	2	2	2	25
4	claim	2:32:00::	1	verb.communication	2	2	2	2	2	26
6	claim	2:40:00::	2	verb.possession	2	2	2	2	2	27
19	claiming	2:40:00::	2	verb.possession	2	0	2	2	2	28
1	claimed	2:32:00::	1	verb.communication	2	0	2	2	2	29
3	claims	2:32:00::	1	verb.communication	2	0	0	2	2	30
25	claiming	2:32:00::	1	verb.communication	2	0	0	2	2	31
3	claims	2:32:00::	1	verb.communication	2	0	0	2	2	32
4	claiming	2:32:00::	1	verb.communication	2	0	0	2	2	33
17	claim	2:32:03::	4	verb.communication	2	0	0	2	2	34
12	claiming	2:32:00::	1	verb.communication	2	0	0	0	2	35
3	claims	2:32:00::	1	verb.communication	2	0	0	0	2	36
12	claim	2:32:02::	3	verb.communication	2	0	0	0	2	37
4	claim	2:32:00::	1	verb.communication	2	0	0	0	2	38
6	claiming	2:32:02::	3	verb.communication	2	0	0	0	2	39
1	claims	2:32:00::	1	verb.communication	2	0	0	0	2	40
17	claiming	2:32:00::	1	verb.communication	2	0	0	0	2	41
31	claim	2:32:00::	1	verb.communication	2	0	0	0	2	42
16	claim	2:40:00::	2	verb.possession	2	0	0	0	2	43
33	claimed	2:40:00::	2	verb.possession	2	0	0	0	2	44
4	claimed	2:32:02::	3	verb.communication	2	0	0	0	0	45
11	claim	2:40:00::	2	verb.possession	2	0	0	0	0	46
19	claimed	2:32:00::	1	verb.communication	2	0	0	0	0	47
36	claimed	2:32:00::	1	verb.communication	2	0	0	0	0	48
24	claim	2:32:00::	1	verb.communication	2	0	0	0	0	49
