position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
12	clear	3:00:00::	1	adj.all	1	1	1	1	1	0
9	clear	3:00:00::	1	adj.all	1	1	1	1	1	1
2	clear	3:00:00::	1	adj.all	1	1	1	1	1	2
56	clear	5:00:01:pure:02	7	adj.all	1	0	1	1	1	3
5	clear	3:00:02::	4	adj.all	1	0	1	1	1	4
15	clear	3:00:00::	1	adj.all	1	0	0	1	1	5
29	clear	3:00:00::	1	adj.all	1	0	0	1	1	6
16	clearer	3:00:00::	1	adj.all	1	0	0	1	1	7
2	clear	3:00:00::	1	adj.all	1	0	0	1	1	8
2	clear	3:00:00::	1	adj.all	1	0	0	1	1	9
27	clear	3:00:00::	1	adj.all	1	0	0	0	1	10
3	clear	3:00:00::	1	adj.all	1	0	0	0	1	11
17	clear	5:00:00:distinct:00	9	adj.all	1	0	0	0	1	12
16	cleared	5:00:00:unobstructed:00	3	adj.all	1	0	0	0	1	13
3	clear	3:00:00::	1	adj.all	1	0	0	0	1	14
2	clear	3:00:02::	4	adj.all	1	0	0	0	1	15
4	clear	3:00:00::	1	adj.all	1	0	0	0	1	16
17	clearer	3:00:00::	1	adj.all	1	0	0	0	1	17
3	clear	3:00:00::	1	adj.all	1	0	0	0	1	18
17	clear	3:00:00::	1	adj.all	1	0	0	0	1	19
3	clearer	3:00:00::	1	adj.all	1	0	0	0	0	20
7	clear	3:00:00::	1	adj.all	1	0	0	0	0	21
3	clear	5:00:00:unobstructed:00	3	adj.all	1	0	0	0	0	22
9	clear	3:00:00::	1	adj.all	1	0	0	0	0	23
4	clear	5:00:00:unencumbered:00	8	adj.all	1	0	0	0	0	24
2	clear	3:00:00::	1	adj.all	2	2	2	2	2	25
7	clear	3:00:00::	1	adj.all	2	2	2	2	2	26
18	clear	3:00:00::	1	adj.all	2	2	2	2	2	27
2	clear	3:00:00::	1	adj.all	2	0	2	2	2	28
6	clear	3:00:00::	1	adj.all	2	0	2	2	2	29
11	clear	3:00:00::	1	adj.all	2	0	0	2	2	30
7	clearer	3:00:00::	1	adj.all	2	0	0	2	2	31
37	clear	3:00:00::	1	adj.all	2	0	0	2	2	32
5	clear	3:00:00::	1	adj.all	2	0	0	2	2	33
11	clear	5:00:00:unobstructed:00	3	adj.all	2	0	0	2	2	34
6	clear	3:00:00::	1	adj.all	2	0	0	0	2	35
3	clear	3:00:00::	1	adj.all	2	0	0	0	2	36
12	clear	3:00:00::	1	adj.all	2	0	0	0	2	37
7	clear	3:00:00::	1	adj.all	2	0	0	0	2	38
3	clear	3:00:00::	1	adj.all	2	0	0	0	2	39
45	clear	3:00:00::	1	adj.all	2	0	0	0	2	40
10	clear	3:00:00::	1	adj.all	2	0	0	0	2	41
9	clear	3:00:00::	1	adj.all	2	0	0	0	2	42
2	clear	3:00:00::	1	adj.all	2	0	0	0	2	43
10	clear	3:00:00::	1	adj.all	2	0	0	0	2	44
27	clear	3:00:00::	1	adj.all	2	0	0	0	0	45
1	clear	3:00:02::	4	adj.all	2	0	0	0	0	46
10	clear	3:00:02::	4	adj.all	2	0	0	0	0	47
10	clear	3:00:00::	1	adj.all	2	0	0	0	0	48
3	clear	5:00:02:free:00	5	adj.all	2	0	0	0	0	49
