position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
8	closer	3:00:01::	1	adj.all	1	1	1	1	1	0
18	close	3:00:05::	3	adj.all	1	1	1	1	1	1
21	close	5:00:00:careful:00	4	adj.all	1	1	1	1	1	2
10	closer	3:00:02::	2	adj.all	1	0	1	1	1	3
4	close	3:00:01::	1	adj.all	1	0	1	1	1	4
16	closest	3:00:02::	2	adj.all	1	0	0	1	1	5
10	close	3:00:05::	3	adj.all	1	0	0	1	1	6
12	close	3:00:01::	1	adj.all	1	0	0	1	1	7
20	close	3:00:01::	1	adj.all	1	0	0	1	1	8
38	closer	3:00:01::	1	adj.all	1	0	0	1	1	9
3	closer	3:00:02::	2	adj.all	1	0	0	0	1	10
20	closer	3:00:02::	2	adj.all	1	0	0	0	1	11
6	close	5:00:00:accurate:00	5	adj.all	1	0	0	0	1	12
12	closer	3:00:01::	1	adj.all	1	0	0	0	1	13
0	Closer	3:00:01::	1	adj.all	1	0	0	0	1	14
10	closer	3:00:01::	1	adj.all	1	0	0	0	1	15
8	close	3:00:01::	1	adj.all	1	0	0	0	1	16
2	close	3:00:02::	2	adj.all	1	0	0	0	1	17
4	close	3:00:05::	3	adj.all	1	0	0	0	1	18
16	close	3:00:01::	1	adj.all	1	0	0	0	1	19
16	close	5:00:00:equal:00	6	adj.all	1	0	0	0	0	20
3	close	3:00:01::	1	adj.all	1	0	0	0	0	21
9	close	3:00:02::	2	adj.all	1	0	0	0	0	22
8	closer	3:00:01::	1	adj.all	1	0	0	0	0	23
17	close	3:00:01::	1	adj.all	1	0	0	0	0	24
13	close	3:00:02::	2	adj.all	2	2	2	2	2	25
16	close	3:00:01::	1	adj.all	2	2	2	2	2	26
4	close	3:00:02::	2	adj.all	2	2	2	2	2	27
15	closer	3:00:01::	1	adj.all	2	0	2	2	2	28
6	close	3:00:02::	2	adj.all	2	0	2	2	2	29
11	close	3:00:01::	1	adj.all	2	0	0	2	2	30
24	closer	3:00:02::	2	adj.all	2	0	0	2	2	31
15	close	5:00:00:accurate:00	5	adj.all	2	0	0	2	2	32
0	Close	3:00:01::	1	adj.all	2	0	0	2	2	33
22	close	3:00:02::	2	adj.all	2	0	0	2	2	34
8	closer	3:00:05::	3	adj.all	2	0	0	0	2	35
20	close	3:00:01::	1	adj.all	2	0	0	0	2	36
10	closer	3:00:02::	2	adj.all	2	0	0	0	2	37
5	close	3:00:01::	1	adj.all	2	0	0	0	2	38
3	close	3:00:01::	1	adj.all	2	0	0	0	2	39
12	close	5:00:00:accurate:00	5	adj.all	2	0	0	0	2	40
10	close	3:00:02::	2	adj.all	2	0	0	0	2	41
8	closer	3:00:02::	2	adj.all	2	0	0	0	2	42
10	close	3:00:01::	1	adj.all	2	0	0	0	2	43
28	close	3:00:02::	2	adj.all	2	0	0	0	2	44
2	closer	3:00:01::	1	adj.all	2	0	0	0	0	45
4	close	5:00:00:confined:00	7	adj.all	2	0	0	0	0	46
10	close	5:00:00:careful:00	4	adj.all	2	0	0	0	0	47
20	close	5:00:00:careful:00	4	adj.all	2	0	0	0	0	48
45	close	3:00:01::	1	adj.all	2	0	0	0	0	49
