position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
9	closed	2:35:00::	1	verb.contact	1	1	1	1	1	0
11	closed	2:41:01::	4	verb.social	1	1	1	1	1	1
15	close	2:35:00::	1	verb.contact	1	1	1	1	1	2
1	closes	2:41:01::	4	verb.social	1	0	1	1	1	3
2	closed	2:35:06::	2	verb.contact	1	0	1	1	1	4
5	close	2:35:06::	2	verb.contact	1	0	0	1	1	5
9	close	2:35:00::	1	verb.contact	1	0	0	1	1	6
19	closed	2:35:00::	1	verb.contact	1	0	0	1	1	7
70	closed	2:41:00::	3	verb.social	1	0	0	1	1	8
8	closes	2:41:01::	4	verb.social	1	0	0	1	1	9
6	closed	2:35:00::	1	verb.contact	1	0	0	0	1	10
19	closed	2:35:06::	2	verb.contact	1	0	0	0	1	11
27	closed	2:41:01::	4	verb.social	1	0	0	0	1	12
1	closes	2:41:01::	4	verb.social	1	0	0	0	1	13
18	close	2:32:05::	6	verb.communication	1	0	0	0	1	14
7	close	2:35:00::	1	verb.contact	1	0	0	0	1	15
9	closed	2:41:00::	3	verb.social	1	0	0	0	1	16
3	closed	2:35:00::	1	verb.contact	1	0	0	0	1	17
7	close	2:35:00::	1	verb.contact	1	0	0	0	1	18
1	closed	2:35:00::	1	verb.contact	1	0	0	0	1	19
21	close	2:41:00::	3	verb.social	1	0	0	0	0	20
1	closed	2:35:00::	1	verb.contact	1	0	0	0	0	21
28	close	2:35:06::	2	verb.contact	1	0	0	0	0	22
3	closed	2:41:00::	3	verb.social	1	0	0	0	0	23
12	closed	2:41:00::	3	verb.social	1	0	0	0	0	24
12	closed	2:41:00::	3	verb.social	2	2	2	2	2	25
8	close	2:35:06::	2	verb.contact	2	2	2	2	2	26
20	closed	2:35:00::	1	verb.contact	2	2	2	2	2	27
2	closed	2:35:00::	1	verb.contact	2	0	2	2	2	28
7	closing	2:35:06::	2	verb.contact	2	0	2	2	2	29
11	close	2:41:01::	4	verb.social	2	0	0	2	2	30
17	closed	2:35:00::	1	verb.contact	2	0	0	2	2	31
7	closed	2:35:00::	1	verb.contact	2	0	0	2	2	32
25	closed	2:41:00::	3	verb.social	2	0	0	2	2	33
13	close	2:41:00::	3	verb.social	2	0	0	2	2	34
3	closed	2:35:00::	1	verb.contact	2	0	0	0	2	35
26	closed	2:35:06::	2	verb.contact	2	0	0	0	2	36
12	closed	2:35:00::	1	verb.contact	2	0	0	0	2	37
7	close	2:35:00::	1	verb.contact	2	0	0	0	2	38
6	close	2:35:06::	2	verb.contact	2	0	0	0	2	39
1	closed	2:35:00::	1	verb.contact	2	0	0	0	2	40
4	closed	2:35:00::	1	verb.contact	2	0	0	0	2	41
16	closed	2:35:06::	2	verb.contact	2	0	0	0	2	42
16	close	2:35:00::	1	verb.contact	2	0	0	0	2	43
18	closed	2:35:00::	1	verb.contact	2	0	0	0	2	44
5	closed	2:41:00::	3	verb.social	2	0	0	0	0	45
9	close	2:35:06::	2	verb.contact	2	0	0	0	0	46
11	closing	2:41:00::	3	verb.social	2	0	0	0	0	47
4	close	2:35:00::	1	verb.contact	2	0	0	0	0	48
16	closed	2:41:01::	4	verb.social	2	0	0	0	0	49
