position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
24	collect	2:40:00::	1	verb.possession	1	1	1	1	1	0
4	collected	2:40:01::	2	verb.possession	1	1	1	1	1	1
8	collected	2:35:00::	3	verb.contact	1	1	1	1	1	2
23	collect	2:35:00::	3	verb.contact	1	0	1	1	1	3
9	collect	2:40:01::	2	verb.possession	1	0	1	1	1	4
8	collected	2:35:01::	4	verb.contact	1	0	0	1	1	5
4	collected	2:40:01::	2	verb.possession	1	0	0	1	1	6
1	collected	2:40:00::	1	verb.possession	1	0	0	1	1	7
21	collected	2:40:01::	2	verb.possession	1	0	0	1	1	8
7	collecting	2:40:01::	2	verb.possession	1	0	0	1	1	9
18	collect	2:40:01::	2	verb.possession	1	0	0	0	1	10
19	collected	2:40:01::	2	verb.possession	1	0	0	0	1	11
9	collect	2:35:00::	3	verb.contact	1	0	0	0	1	12
10	collect	2:40:03::	5	verb.possession	1	0	0	0	1	13
30	collected	2:35:00::	3	verb.contact	1	0	0	0	1	14
11	collecting	2:35:01::	4	verb.contact	1	0	0	0	1	15
17	collecting	2:40:00::	1	verb.possession	1	0	0	0	1	16
20	collects	2:40:01::	2	verb.possession	1	0	0	0	1	17
9	collected	2:35:00::	3	verb.contact	1	0	0	0	1	18
16	collected	2:40:00::	1	verb.possession	1	0	0	0	1	19
31	collected	2:35:01::	4	verb.contact	1	0	0	0	0	20
16	collected	2:35:00::	3	verb.contact	1	0	0	0	0	21
21	collect	2:35:00::	3	verb.contact	1	0	0	0	0	22
10	collected	2:40:01::	2	verb.possession	1	0	0	0	0	23
19	collect	2:40:00::	1	verb.possession	1	0	0	0	0	24
21	collected	2:35:01::	4	verb.contact	2	2	2	2	2	25
4	collected	2:40:01::	2	verb.possession	2	2	2	2	2	26
23	collected	2:35:00::	3	verb.contact	2	2	2	2	2	27
50	collected	2:40:00::	1	verb.possession	2	0	2	2	2	28
6	collected	2:40:00::	1	verb.possession	2	0	2	2	2	29
3	collected	2:40:03::	5	verb.possession	2	0	0	2	2	30
2	collected	2:40:00::	1	verb.possession	2	0	0	2	2	31
3	collected	2:40:00::	1	verb.possession	2	0	0	2	2	32
6	collecting	2:40:00::	1	verb.possession	2	0	0	2	2	33
4	collect	2:40:01::	2	verb.possession	2	0	0	2	2	34
3	collected	2:40:00::	1	verb.possession	2	0	0	0	2	35
23	collecting	2:40:00::	1	verb.possession	2	0	0	0	2	36
10	collect	2:40:01::	2	verb.possession	2	0	0	0	2	37
8	collect	2:35:00::	3	verb.contact	2	0	0	0	2	38
12	collect	2:40:01::	2	verb.possession	2	0	0	0	2	39
3	collected	2:35:01::	4	verb.contact	2	0	0	0	2	40
14	collected	2:35:01::	4	verb.contact	2	0	0	0	2	41
16	collected	2:40:01::	2	verb.possession	2	0	0	0	2	42
24	collected	2:35:02::	0	verb.contact	2	0	0	0	2	43
7	collecting	2:35:01::	4	verb.contact	2	0	0	0	2	44
2	collects	2:40:01::	2	verb.possession	2	0	0	0	0	45
12	collected	2:40:00::	1	verb.possession	2	0	0	0	0	46
5	collected	2:40:00::	1	verb.possession	2	0	0	0	0	47
10	collected	2:40:00::	1	verb.possession	2	0	0	0	0	48
16	collected	2:35:01::	4	verb.contact	2	0	0	0	0	49
