position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
3	came	2:38:00::	1	verb.motion	1	1	1	1	1	0
2	comes	2:38:04::	2	verb.motion	1	1	1	1	1	1
3	came	2:38:04::	2	verb.motion	1	1	1	1	1	2
33	comes	2:30:01::	3	verb.change	1	0	1	1	1	3
1	came	2:38:04::	2	verb.motion	1	0	1	1	1	4
1	came	2:38:04::	2	verb.motion	1	0	0	1	1	5
2	come	2:38:04::	2	verb.motion	1	0	0	1	1	6
11	came	2:38:04::	2	verb.motion	1	0	0	1	1	7
4	comes	2:42:01::	0	verb.stative	1	0	0	1	1	8
3	come	2:30:01::	3	verb.change	1	0	0	1	1	9
1	came	2:38:00::	1	verb.motion	1	0	0	0	1	10
45	came	2:38:04::	2	verb.motion	1	0	0	0	1	11
18	coming	2:30:01::	3	verb.change	1	0	0	0	1	12
3	came	2:30:03::	4	verb.change	1	0	0	0	1	13
17	comes	2:30:01::	3	verb.change	1	0	0	0	1	14
5	came	2:30:01::	3	verb.change	1	0	0	0	1	15
7	comes	2:42:04::	5	verb.stative	1	0	0	0	1	16
2	come	2:38:03::	11	verb.motion	1	0	0	0	1	17
8	comes	2:38:04::	2	verb.motion	1	0	0	0	1	18
1	Come	2:38:00::	1	verb.motion	1	0	0	0	1	19
19	came	2:30:01::	3	verb.change	1	0	0	0	0	20
12	came	2:42:04::	5	verb.stative	1	0	0	0	0	21
6	come	2:30:02::	6	verb.change	1	0	0	0	0	22
4	come	2:38:00::	1	verb.motion	1	0	0	0	0	23
8	came	2:42:03::	9	verb.stative	1	0	0	0	0	24
17	came	2:38:04::	2	verb.motion	2	2	2	2	2	25
1	came	2:38:04::	2	verb.motion	2	2	2	2	2	26
19	come	2:42:04::	5	verb.stative	2	2	2	2	2	27
7	come	2:38:00::	1	verb.motion	2	0	2	2	2	28
3	Come	2:38:00::	1	verb.motion	2	0	2	2	2	29
11	came	2:30:01::	3	verb.change	2	0	0	2	2	30
1	came	2:30:01::	3	verb.change	2	0	0	2	2	31
27	came	2:38:04::	2	verb.motion	2	0	0	2	2	32
2	come	2:42:04::	5	verb.stative	2	0	0	2	2	33
7	came	2:38:04::	2	verb.motion	2	0	0	2	2	34
1	coming	2:38:04::	2	verb.motion	2	0	0	0	2	35
9	came	2:30:01::	3	verb.change	2	0	0	0	2	36
4	come	2:38:04::	2	verb.motion	2	0	0	0	2	37
7	came	2:38:04::	2	verb.motion	2	0	0	0	2	38
9	come	2:38:00::	1	verb.motion	2	0	0	0	2	39
1	came	2:38:00::	1	verb.motion	2	0	0	0	2	40
29	coming	2:38:00::	1	verb.motion	2	0	0	0	2	41
2	comes	2:30:01::	3	verb.change	2	0	0	0	2	42
1	came	2:38:00::	1	verb.motion	2	0	0	0	2	43
20	come	2:42:03::	9	verb.stative	2	0	0	0	2	44
17	come	2:30:01::	3	verb.change	2	0	0	0	0	45
1	come	2:38:00::	1	verb.motion	2	0	0	0	0	46
3	comes	2:38:04::	2	verb.motion	2	0	0	0	0	47
1	came	2:42:04::	5	verb.stative	2	0	0	0	0	48
11	come	2:38:04::	2	verb.motion	2	0	0	0	0	49
