position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
10	common	5:00:00:familiar:02	4	adj.all	1	1	1	1	1	0
14	common	5:00:00:familiar:02	4	adj.all	1	1	1	1	1	1
4	common	5:00:00:shared:00	3	adj.all	1	1	1	1	1	2
4	common	5:00:00:shared:00	3	adj.all	1	0	1	1	1	3
12	common	3:00:02::	1	adj.all	1	0	1	1	1	4
15	common	3:00:01::	2	adj.all	1	0	0	1	1	5
7	common	3:00:01::	2	adj.all	1	0	0	1	1	6
3	common	3:00:02::	1	adj.all	1	0	0	1	1	7
6	common	3:00:02::	1	adj.all	1	0	0	1	1	8
23	common	5:00:00:shared:00	3	adj.all	1	0	0	1	1	9
8	common	5:00:00:shared:00	3	adj.all	1	0	0	0	1	10
1	common	5:00:00:informal:02	5	adj.all	1	0	0	0	1	11
2	common	5:00:00:shared:00	3	adj.all	1	0	0	0	1	12
1	common	3:00:02::	1	adj.all	1	0	0	0	1	13
18	common	5:00:00:shared:00	3	adj.all	1	0	0	0	1	14
8	common	5:00:00:familiar:02	4	adj.all	1	0	0	0	1	15
18	common	3:00:02::	1	adj.all	1	0	0	0	1	16
18	common	3:00:02::	1	adj.all	1	0	0	0	1	17
21	common	3:00:01::	2	adj.all	1	0	0	0	1	18
6	common	3:00:02::	1	adj.all	1	0	0	0	1	19
10	common	3:00:01::	2	adj.all	1	0	0	0	0	20
21	common	3:00:02::	1	adj.all	1	0	0	0	0	21
8	common	5:00:00:shared:00	3	adj.all	1	0	0	0	0	22
24	common	3:00:01::	2	adj.all	1	0	0	0	0	23
27	common	5:00:00:shared:00	3	adj.all	1	0	0	0	0	24
2	common	3:00:02::	1	adj.all	2	2	2	2	2	25
11	common	3:00:02::	1	adj.all	2	2	2	2	2	26
16	common	5:00:00:familiar:02	4	adj.all	2	2	2	2	2	27
18	common	3:00:02::	1	adj.all	2	0	2	2	2	28
5	common	3:00:01::	2	adj.all	2	0	2	2	2	29
18	common	5:00:00:familiar:02	4	adj.all	2	0	0	2	2	30
25	common	3:00:02::	1	adj.all	2	0	0	2	2	31
2	common	5:00:00:familiar:02	4	adj.all	2	0	0	2	2	32
3	common	3:00:01::	2	adj.all	2	0	0	2	2	33
5	common	3:00:02::	1	adj.all	2	0	0	2	2	34
15	common	3:00:01::	2	adj.all	2	0	0	0	2	35
13	common	3:00:02::	1	adj.all	2	0	0	0	2	36
4	common	3:00:02::	1	adj.all	2	0	0	0	2	37
10	commoner	3:00:02::	1	adj.all	2	0	0	0	2	38
31	common	3:00:02::	1	adj.all	2	0	0	0	2	39
9	common	3:00:02::	1	adj.all	2	0	0	0	2	40
41	common	5:00:00:familiar:02	4	adj.all	2	0	0	0	2	41
1	common	3:00:02::	1	adj.all	2	0	0	0	2	42
45	common	5:00:00:shared:00	3	adj.all	2	0	0	0	2	43
50	common	5:00:00:familiar:02	4	adj.all	2	0	0	0	2	44
4	common	3:00:01::	2	adj.all	2	0	0	0	0	45
25	common	3:00:02::	1	adj.all	2	0	0	0	0	46
18	common	3:00:02::	1	adj.all	2	0	0	0	0	47
12	common	3:00:02::	1	adj.all	2	0	0	0	0	48
6	common	5:00:00:shared:00	3	adj.all	2	0	0	0	0	49
