position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
13	community	1:14:00::	1	noun.group	1	1	1	1	1	0
5	community	1:14:00::	1	noun.group	1	1	1	1	1	1
6	community	1:14:00::	1	noun.group	1	1	1	1	1	2
18	community	1:14:00::	1	noun.group	1	0	1	1	1	3
12	community	1:14:00::	1	noun.group	1	0	1	1	1	4
8	community	1:14:00::	1	noun.group	1	0	0	1	1	5
15	community	1:14:01::	0	noun.group	1	0	0	1	1	6
20	community	1:14:00::	1	noun.group	1	0	0	1	1	7
4	community	1:14:00::	1	noun.group	1	0	0	1	1	8
24	community	1:14:00::	1	noun.group	1	0	0	1	1	9
18	community	1:14:00::	1	noun.group	1	0	0	0	1	10
31	community	1:14:00::	1	noun.group	1	0	0	0	1	11
1	communities	1:14:00::	1	noun.group	1	0	0	0	1	12
10	community	1:14:00::	1	noun.group	1	0	0	0	1	13
21	community	1:14:00::	1	noun.group	1	0	0	0	1	14
26	community	1:14:00::	1	noun.group	1	0	0	0	1	15
12	community	1:14:00::	1	noun.group	1	0	0	0	1	16
84	community	1:14:00::	1	noun.group	1	0	0	0	1	17
7	communities	1:14:00::	1	noun.group	1	0	0	0	1	18
16	communities	1:14:00::	1	noun.group	1	0	0	0	1	19
2	community	1:14:03::	0	noun.group	1	0	0	0	0	20
4	community	1:14:00::	1	noun.group	1	0	0	0	0	21
29	community	1:14:03::	0	noun.group	1	0	0	0	0	22
8	community	1:14:03::	0	noun.group	1	0	0	0	0	23
21	community	1:14:00::	1	noun.group	1	0	0	0	0	24
39	community	1:14:00::	1	noun.group	2	2	2	2	2	25
4	community	1:14:00::	1	noun.group	2	2	2	2	2	26
6	community	1:14:00::	1	noun.group	2	2	2	2	2	27
3	communities	1:14:03::	0	noun.group	2	0	2	2	2	28
8	community	1:14:00::	1	noun.group	2	0	2	2	2	29
12	community	1:14:00::	1	noun.group	2	0	0	2	2	30
32	community	1:14:04::	3	noun.group	2	0	0	2	2	31
13	community	1:14:00::	1	noun.group	2	0	0	2	2	32
10	community	1:14:00::	1	noun.group	2	0	0	2	2	33
25	community	1:14:00::	1	noun.group	2	0	0	2	2	34
18	community	1:14:03::	0	noun.group	2	0	0	0	2	35
27	community	1:14:00::	1	noun.group	2	0	0	0	2	36
38	community	1:14:00::	1	noun.group	2	0	0	0	2	37
14	community	1:21:00::	2	noun.possession	2	0	0	0	2	38
9	communities	1:14:00::	1	noun.group	2	0	0	0	2	39
1	community	1:14:00::	1	noun.group	2	0	0	0	2	40
3	community	1:14:00::	1	noun.group	2	0	0	0	2	41
9	community	1:14:00::	1	noun.group	2	0	0	0	2	42
7	community	1:14:00::	1	noun.group	2	0	0	0	2	43
14	community	1:14:00::	1	noun.group	2	0	0	0	2	44
11	community	1:14:00::	1	noun.group	2	0	0	0	0	45
21	community	1:14:00::	1	noun.group	2	0	0	0	0	46
12	communities	1:14:00::	1	noun.group	2	0	0	0	0	47
11	communities	1:14:00::	1	noun.group	2	0	0	0	0	48
7	community	1:21:00::	2	noun.possession	2	0	0	0	0	49
