position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
11	company	1:14:00::	6	noun.group	1	1	1	1	1	0
6	company	1:14:01::	1	noun.group	1	1	1	1	1	1
6	company	1:26:00::	3	noun.state	1	1	1	1	1	2
15	company	1:14:01::	1	noun.group	1	0	1	1	1	3
10	company	1:14:01::	1	noun.group	1	0	1	1	1	4
10	company	1:14:01::	1	noun.group	1	0	0	1	1	5
7	company	1:14:03::	2	noun.group	1	0	0	1	1	6
15	company	1:14:01::	1	noun.group	1	0	0	1	1	7
30	company	1:14:03::	2	noun.group	1	0	0	1	1	8
16	company	1:14:03::	2	noun.group	1	0	0	1	1	9
2	company	1:14:01::	1	noun.group	1	0	0	0	1	10
18	company	1:14:03::	2	noun.group	1	0	0	0	1	11
19	company	1:18:00::	5	noun.person	1	0	0	0	1	12
38	companies	1:14:01::	1	noun.group	1	0	0	0	1	13
5	company	1:14:01::	1	noun.group	1	0	0	0	1	14
4	company	1:14:03::	2	noun.group	1	0	0	0	1	15
1	companies	1:14:01::	1	noun.group	1	0	0	0	1	16
1	companies	1:14:01::	1	noun.group	1	0	0	0	1	17
11	company	1:18:00::	5	noun.person	1	0	0	0	1	18
10	companies	1:14:03::	2	noun.group	1	0	0	0	1	19
18	company	1:14:01::	1	noun.group	1	0	0	0	0	20
20	companies	1:14:03::	2	noun.group	1	0	0	0	0	21
2	company	1:14:01::	1	noun.group	1	0	0	0	0	22
13	company	1:14:03::	2	noun.group	1	0	0	0	0	23
7	company	1:14:01::	1	noun.group	1	0	0	0	0	24
6	company	1:14:01::	1	noun.group	2	2	2	2	2	25
1	companies	1:14:01::	1	noun.group	2	2	2	2	2	26
36	companies	1:14:02::	4	noun.group	2	2	2	2	2	27
17	company	1:14:02::	4	noun.group	2	0	2	2	2	28
46	companies	1:14:01::	1	noun.group	2	0	2	2	2	29
7	company	1:14:01::	1	noun.group	2	0	0	2	2	30
72	companies	1:14:01::	1	noun.group	2	0	0	2	2	31
15	company	1:14:01::	1	noun.group	2	0	0	2	2	32
16	company	1:14:01::	1	noun.group	2	0	0	2	2	33
4	company	1:14:03::	2	noun.group	2	0	0	2	2	34
12	company	1:14:01::	1	noun.group	2	0	0	0	2	35
8	company	1:14:01::	1	noun.group	2	0	0	0	2	36
24	company	1:14:00::	6	noun.group	2	0	0	0	2	37
2	company	1:14:03::	2	noun.group	2	0	0	0	2	38
2	company	1:14:01::	1	noun.group	2	0	0	0	2	39
38	company	1:14:01::	1	noun.group	2	0	0	0	2	40
7	company	1:14:00::	6	noun.group	2	0	0	0	2	41
18	company	1:14:01::	1	noun.group	2	0	0	0	2	42
1	company	1:14:01::	1	noun.group	2	0	0	0	2	43
0	Companies	1:14:01::	1	noun.group	2	0	0	0	2	44
21	company	1:14:01::	1	noun.group	2	0	0	0	0	45
22	companies	1:14:01::	1	noun.group	2	0	0	0	0	46
8	company	1:14:01::	1	noun.group	2	0	0	0	0	47
13	company	1:14:01::	1	noun.group	2	0	0	0	0	48
13	companies	1:14:01::	1	noun.group	2	0	0	0	0	49
