position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
21	compared	2:31:00::	1	verb.cognition	1	1	1	1	1	0
12	compared	2:31:00::	1	verb.cognition	1	1	1	1	1	1
19	compared	2:31:00::	1	verb.cognition	1	1	1	1	1	2
17	compared	2:42:00::	2	verb.stative	1	0	1	1	1	3
4	compare	2:31:00::	1	verb.cognition	1	0	1	1	1	4
4	compared	2:31:00::	1	verb.cognition	1	0	0	1	1	5
12	compare	2:31:00::	1	verb.cognition	1	0	0	1	1	6
22	compared	2:42:00::	2	verb.stative	1	0	0	1	1	7
30	compare	2:31:00::	1	verb.cognition	1	0	0	1	1	8
51	compared	2:31:01::	3	verb.cognition	1	0	0	1	1	9
14	compared	2:31:00::	1	verb.cognition	1	0	0	0	1	10
3	compared	2:31:00::	1	verb.cognition	1	0	0	0	1	11
1	comparing	2:31:00::	1	verb.cognition	1	0	0	0	1	12
8	compared	2:42:00::	2	verb.stative	1	0	0	0	1	13
37	compare	2:31:00::	1	verb.cognition	1	0	0	0	1	14
31	compared	2:31:01::	3	verb.cognition	1	0	0	0	1	15
17	compare	2:31:00::	1	verb.cognition	1	0	0	0	1	16
4	compared	2:31:00::	1	verb.cognition	1	0	0	0	1	17
12	compare	2:42:00::	2	verb.stative	1	0	0	0	1	18
4	compare	2:31:00::	1	verb.cognition	1	0	0	0	1	19
11	comparing	2:31:00::	1	verb.cognition	1	0	0	0	0	20
4	compared	2:31:00::	1	verb.cognition	1	0	0	0	0	21
20	compared	2:31:00::	1	verb.cognition	1	0	0	0	0	22
16	compared	2:31:00::	1	verb.cognition	1	0	0	0	0	23
16	compared	2:31:01::	3	verb.cognition	1	0	0	0	0	24
7	compared	2:31:00::	1	verb.cognition	2	2	2	2	2	25
19	compared	2:31:00::	1	verb.cognition	2	2	2	2	2	26
6	compared	2:31:00::	1	verb.cognition	2	2	2	2	2	27
28	compare	2:31:01::	3	verb.cognition	2	0	2	2	2	28
1	compared	2:31:01::	3	verb.cognition	2	0	2	2	2	29
22	compared	2:31:00::	1	verb.cognition	2	0	0	2	2	30
1	comparing	2:31:00::	1	verb.cognition	2	0	0	2	2	31
3	compare	2:31:00::	1	verb.cognition	2	0	0	2	2	32
6	compared	2:42:00::	2	verb.stative	2	0	0	2	2	33
5	compared	2:31:00::	1	verb.cognition	2	0	0	2	2	34
47	compared	2:42:00::	2	verb.stative	2	0	0	0	2	35
4	compares	2:31:01::	3	verb.cognition	2	0	0	0	2	36
19	compares	2:42:00::	2	verb.stative	2	0	0	0	2	37
18	compare	2:42:00::	2	verb.stative	2	0	0	0	2	38
11	compared	2:31:00::	1	verb.cognition	2	0	0	0	2	39
9	compared	2:42:00::	2	verb.stative	2	0	0	0	2	40
22	compare	2:42:00::	2	verb.stative	2	0	0	0	2	41
18	compared	2:31:00::	1	verb.cognition	2	0	0	0	2	42
51	compared	2:31:00::	1	verb.cognition	2	0	0	0	2	43
14	compared	2:31:00::	1	verb.cognition	2	0	0	0	2	44
2	compared	2:31:00::	1	verb.cognition	2	0	0	0	0	45
24	compares	2:31:00::	1	verb.cognition	2	0	0	0	0	46
1	compared	2:31:00::	1	verb.cognition	2	0	0	0	0	47
12	compare	2:42:00::	2	verb.stative	2	0	0	0	0	48
30	comparing	2:31:00::	1	verb.cognition	2	0	0	0	0	49
