position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
15	complete	3:00:00::	1	adj.all	1	1	1	1	1	0
2	complete	3:00:00::	1	adj.all	1	1	1	1	1	1
0	Complete	3:00:00::	1	adj.all	1	1	1	1	1	2
15	complete	3:00:00::	1	adj.all	1	0	1	1	1	3
33	complete	3:00:00::	1	adj.all	1	0	1	1	1	4
16	complete	3:00:00::	1	adj.all	1	0	0	1	1	5
21	complete	3:00:00::	1	adj.all	1	0	0	1	1	6
3	complete	3:00:00::	1	adj.all	1	0	0	1	1	7
19	complete	3:00:00::	1	adj.all	1	0	0	1	1	8
7	complete	3:00:00::	1	adj.all	1	0	0	1	1	9
2	complete	3:00:00::	1	adj.all	1	0	0	0	1	10
13	complete	3:00:00::	1	adj.all	1	0	0	0	1	11
11	complete	3:00:00::	1	adj.all	1	0	0	0	1	12
11	complete	3:00:00::	1	adj.all	1	0	0	0	1	13
98	complete	3:00:00::	1	adj.all	1	0	0	0	1	14
39	complete	3:00:00::	1	adj.all	1	0	0	0	1	15
18	complete	3:00:00::	1	adj.all	1	0	0	0	1	16
26	complete	3:00:00::	1	adj.all	1	0	0	0	1	17
37	complete	3:00:00::	1	adj.all	1	0	0	0	1	18
12	complete	3:00:00::	1	adj.all	1	0	0	0	1	19
15	complete	3:00:00::	1	adj.all	1	0	0	0	0	20
8	complete	3:00:00::	1	adj.all	1	0	0	0	0	21
5	complete	3:00:00::	1	adj.all	1	0	0	0	0	22
18	complete	3:00:00::	1	adj.all	1	0	0	0	0	23
38	complete	5:00:00:perfect:00	2	adj.all	1	0	0	0	0	24
20	complete	5:00:00:perfect:00	2	adj.all	2	2	2	2	2	25
12	complete	3:00:00::	1	adj.all	2	2	2	2	2	26
16	complete	5:00:00:perfect:00	2	adj.all	2	2	2	2	2	27
14	complete	3:00:00::	1	adj.all	2	0	2	2	2	28
7	complete	3:00:00::	1	adj.all	2	0	2	2	2	29
11	complete	5:00:00:perfect:00	2	adj.all	2	0	0	2	2	30
11	complete	3:00:00::	1	adj.all	2	0	0	2	2	31
3	complete	3:00:00::	1	adj.all	2	0	0	2	2	32
5	complete	3:00:00::	1	adj.all	2	0	0	2	2	33
6	complete	3:00:00::	1	adj.all	2	0	0	2	2	34
16	complete	3:00:00::	1	adj.all	2	0	0	0	2	35
13	complete	3:00:00::	1	adj.all	2	0	0	0	2	36
37	complete	3:00:00::	1	adj.all	2	0	0	0	2	37
28	complete	3:00:00::	1	adj.all	2	0	0	0	2	38
3	complete	3:00:00::	1	adj.all	2	0	0	0	2	39
7	complete	3:00:00::	1	adj.all	2	0	0	0	2	40
17	complete	3:00:00::	1	adj.all	2	0	0	0	2	41
2	complete	3:00:00::	1	adj.all	2	0	0	0	2	42
12	complete	3:00:00::	1	adj.all	2	0	0	0	2	43
13	complete	3:00:00::	1	adj.all	2	0	0	0	2	44
49	complete	3:00:00::	1	adj.all	2	0	0	0	0	45
39	complete	3:00:00::	1	adj.all	2	0	0	0	0	46
3	complete	3:00:00::	1	adj.all	2	0	0	0	0	47
7	complete	3:00:00::	1	adj.all	2	0	0	0	0	48
25	complete	3:00:00::	1	adj.all	2	0	0	0	0	49
