position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
18	completed	2:30:02::	1	verb.change	1	1	1	1	1	0
1	completed	2:30:02::	1	verb.change	1	1	1	1	1	1
11	Completing	2:30:02::	1	verb.change	1	1	1	1	1	2
4	completed	2:30:02::	1	verb.change	1	0	1	1	1	3
14	completed	2:30:02::	1	verb.change	1	0	1	1	1	4
18	completed	2:30:02::	1	verb.change	1	0	0	1	1	5
17	completed	2:30:02::	1	verb.change	1	0	0	1	1	6
17	completed	2:30:02::	1	verb.change	1	0	0	1	1	7
3	completed	2:30:02::	1	verb.change	1	0	0	1	1	8
9	completed	2:30:02::	1	verb.change	1	0	0	1	1	9
6	completed	2:30:02::	1	verb.change	1	0	0	0	1	10
33	completing	2:30:02::	1	verb.change	1	0	0	0	1	11
3	complete	2:30:02::	1	verb.change	1	0	0	0	1	12
12	completed	2:30:02::	1	verb.change	1	0	0	0	1	13
16	completed	2:30:02::	1	verb.change	1	0	0	0	1	14
20	completed	2:30:02::	1	verb.change	1	0	0	0	1	15
44	completed	2:30:02::	1	verb.change	1	0	0	0	1	16
6	completed	2:30:02::	1	verb.change	1	0	0	0	1	17
12	completed	2:30:02::	1	verb.change	1	0	0	0	1	18
5	completed	2:30:02::	1	verb.change	1	0	0	0	1	19
3	completed	2:30:02::	1	verb.change	1	0	0	0	0	20
15	complete	2:30:00::	2	verb.change	1	0	0	0	0	21
5	completed	2:30:02::	1	verb.change	1	0	0	0	0	22
24	completes	2:30:00::	2	verb.change	1	0	0	0	0	23
16	completed	2:30:02::	1	verb.change	1	0	0	0	0	24
0	Completing	2:30:02::	1	verb.change	2	2	2	2	2	25
9	complete	2:30:02::	1	verb.change	2	2	2	2	2	26
7	complete	2:41:00::	3	verb.social	2	2	2	2	2	27
1	completing	2:30:02::	1	verb.change	2	0	2	2	2	28
41	completed	2:30:02::	1	verb.change	2	0	2	2	2	29
25	completed	2:30:02::	1	verb.change	2	0	0	2	2	30
15	completed	2:30:02::	1	verb.change	2	0	0	2	2	31
6	completing	2:30:02::	1	verb.change	2	0	0	2	2	32
20	completed	2:30:02::	1	verb.change	2	0	0	2	2	33
21	completes	2:30:00::	2	verb.change	2	0	0	2	2	34
9	completing	2:41:00::	3	verb.social	2	0	0	0	2	35
3	completed	2:30:02::	1	verb.change	2	0	0	0	2	36
8	completed	2:32:00::	5	verb.communication	2	0	0	0	2	37
8	completed	2:30:02::	1	verb.change	2	0	0	0	2	38
6	completed	2:30:02::	1	verb.change	2	0	0	0	2	39
0	Completed	2:30:02::	1	verb.change	2	0	0	0	2	40
0	Completing	2:33:00::	4	verb.competition	2	0	0	0	2	41
26	completed	2:30:02::	1	verb.change	2	0	0	0	2	42
1	completes	2:30:02::	1	verb.change	2	0	0	0	2	43
14	complete	2:30:02::	1	verb.change	2	0	0	0	2	44
31	complete	2:30:02::	1	verb.change	2	0	0	0	0	45
30	completed	2:30:02::	1	verb.change	2	0	0	0	0	46
5	completed	2:30:02::	1	verb.change	2	0	0	0	0	47
6	completed	2:30:02::	1	verb.change	2	0	0	0	0	48
10	completed	2:30:02::	1	verb.change	2	0	0	0	0	49
