position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
7	concerning	2:42:00::	1	verb.stative	1	1	1	1	1	0
5	concerned	2:42:00::	1	verb.stative	1	1	1	1	1	1
3	concern	2:42:00::	1	verb.stative	1	1	1	1	1	2
16	concerned	2:42:00::	1	verb.stative	1	0	1	1	1	3
7	concerned	2:42:00::	1	verb.stative	1	0	1	1	1	4
3	concerned	2:42:01::	2	verb.stative	1	0	0	1	1	5
42	concerning	2:42:00::	1	verb.stative	1	0	0	1	1	6
15	concerned	2:42:00::	1	verb.stative	1	0	0	1	1	7
20	concerned	2:42:01::	2	verb.stative	1	0	0	1	1	8
9	concerned	2:42:01::	2	verb.stative	1	0	0	1	1	9
6	concerned	2:42:01::	2	verb.stative	1	0	0	0	1	10
5	concern	2:42:01::	2	verb.stative	1	0	0	0	1	11
4	concerning	2:42:00::	1	verb.stative	1	0	0	0	1	12
17	concern	2:42:00::	1	verb.stative	1	0	0	0	1	13
5	concerning	2:42:00::	1	verb.stative	1	0	0	0	1	14
2	concerned	2:42:00::	1	verb.stative	1	0	0	0	1	15
6	concerned	2:42:00::	1	verb.stative	1	0	0	0	1	16
49	concerned	2:42:00::	1	verb.stative	1	0	0	0	1	17
12	concerned	2:42:00::	1	verb.stative	1	0	0	0	1	18
6	concern	2:42:01::	2	verb.stative	1	0	0	0	1	19
49	concerned	2:42:01::	2	verb.stative	1	0	0	0	0	20
11	concerned	2:42:00::	1	verb.stative	1	0	0	0	0	21
25	concerning	2:42:00::	1	verb.stative	1	0	0	0	0	22
2	concerns	2:42:00::	1	verb.stative	1	0	0	0	0	23
17	concerned	2:42:00::	1	verb.stative	1	0	0	0	0	24
0	Concerning	2:42:00::	1	verb.stative	2	2	2	2	2	25
11	concerned	2:42:01::	2	verb.stative	2	2	2	2	2	26
2	concerned	2:42:00::	1	verb.stative	2	2	2	2	2	27
51	concerning	2:42:00::	1	verb.stative	2	0	2	2	2	28
3	concerned	2:42:01::	2	verb.stative	2	0	2	2	2	29
38	concerning	2:42:00::	1	verb.stative	2	0	0	2	2	30
11	concern	2:42:00::	1	verb.stative	2	0	0	2	2	31
1	concerned	2:42:00::	1	verb.stative	2	0	0	2	2	32
12	concerned	2:42:01::	2	verb.stative	2	0	0	2	2	33
3	concern	2:42:01::	2	verb.stative	2	0	0	2	2	34
18	concerned	2:42:01::	2	verb.stative	2	0	0	0	2	35
13	concerning	2:42:00::	1	verb.stative	2	0	0	0	2	36
16	concerned	2:42:01::	2	verb.stative	2	0	0	0	2	37
12	concerning	2:42:00::	1	verb.stative	2	0	0	0	2	38
17	concerned	2:42:01::	2	verb.stative	2	0	0	0	2	39
38	concerning	2:42:00::	1	verb.stative	2	0	0	0	2	40
6	concern	2:42:00::	1	verb.stative	2	0	0	0	2	41
6	concern	2:42:00::	1	verb.stative	2	0	0	0	2	42
32	concerning	2:42:00::	1	verb.stative	2	0	0	0	2	43
0	Concerning	2:42:00::	1	verb.stative	2	0	0	0	2	44
2	concerned	2:42:01::	2	verb.stative	2	0	0	0	0	45
8	concerning	2:42:00::	1	verb.stative	2	0	0	0	0	46
8	concerned	2:42:01::	2	verb.stative	2	0	0	0	0	47
17	concern	2:42:00::	1	verb.stative	2	0	0	0	0	48
29	concerning	2:42:00::	1	verb.stative	2	0	0	0	0	49
