position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
8	condition	1:26:00::	1	noun.state	1	1	1	1	1	0
20	conditions	1:26:00::	1	noun.state	1	1	1	1	1	1
12	condition	1:26:00::	1	noun.state	1	1	1	1	1	2
28	conditions	1:26:00::	1	noun.state	1	0	1	1	1	3
44	condition	1:10:01::	2	noun.communication	1	0	1	1	1	4
15	conditions	1:26:00::	1	noun.state	1	0	0	1	1	5
5	condition	1:26:00::	1	noun.state	1	0	0	1	1	6
13	conditions	1:26:00::	1	noun.state	1	0	0	1	1	7
14	conditions	1:26:00::	1	noun.state	1	0	0	1	1	8
24	conditions	1:26:00::	1	noun.state	1	0	0	1	1	9
4	conditions	1:10:01::	2	noun.communication	1	0	0	0	1	10
16	conditions	1:26:00::	1	noun.state	1	0	0	0	1	11
9	conditions	1:26:00::	1	noun.state	1	0	0	0	1	12
11	conditions	1:26:00::	1	noun.state	1	0	0	0	1	13
12	conditions	1:26:00::	1	noun.state	1	0	0	0	1	14
5	conditions	1:26:00::	1	noun.state	1	0	0	0	1	15
23	conditions	1:26:00::	1	noun.state	1	0	0	0	1	16
15	conditions	1:10:01::	2	noun.communication	1	0	0	0	1	17
17	conditions	1:26:00::	1	noun.state	1	0	0	0	1	18
15	conditions	1:26:00::	1	noun.state	1	0	0	0	1	19
6	conditions	1:26:00::	1	noun.state	1	0	0	0	0	20
44	condition	1:26:00::	1	noun.state	1	0	0	0	0	21
46	condition	1:26:00::	1	noun.state	1	0	0	0	0	22
6	conditions	1:26:00::	1	noun.state	1	0	0	0	0	23
4	conditions	1:26:00::	1	noun.state	1	0	0	0	0	24
5	conditions	1:26:00::	1	noun.state	2	2	2	2	2	25
11	conditions	1:26:00::	1	noun.state	2	2	2	2	2	26
20	conditions	1:26:00::	1	noun.state	2	2	2	2	2	27
13	conditions	1:26:00::	1	noun.state	2	0	2	2	2	28
14	conditions	1:26:00::	1	noun.state	2	0	2	2	2	29
1	conditions	1:26:00::	1	noun.state	2	0	0	2	2	30
26	conditions	1:26:00::	1	noun.state	2	0	0	2	2	31
19	conditions	1:26:00::	1	noun.state	2	0	0	2	2	32
13	conditions	1:26:00::	1	noun.state	2	0	0	2	2	33
37	condition	1:26:00::	1	noun.state	2	0	0	2	2	34
3	condition	1:26:00::	1	noun.state	2	0	0	0	2	35
21	condition	1:10:01::	2	noun.communication	2	0	0	0	2	36
9	condition	1:26:00::	1	noun.state	2	0	0	0	2	37
10	condition	1:26:01::	3	noun.state	2	0	0	0	2	38
15	conditions	1:26:00::	1	noun.state	2	0	0	0	2	39
6	condition	1:26:00::	1	noun.state	2	0	0	0	2	40
31	conditions	1:26:00::	1	noun.state	2	0	0	0	2	41
10	conditions	1:26:00::	1	noun.state	2	0	0	0	2	42
14	conditions	1:26:00::	1	noun.state	2	0	0	0	2	43
9	conditions	1:10:01::	2	noun.communication	2	0	0	0	2	44
12	conditions	1:26:00::	1	noun.state	2	0	0	0	0	45
9	conditions	1:09:00::	4	noun.cognition	2	0	0	0	0	46
2	conditions	1:26:00::	1	noun.state	2	0	0	0	0	47
4	condition	1:26:00::	1	noun.state	2	0	0	0	0	48
11	condition	1:26:00::	1	noun.state	2	0	0	0	0	49
