position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
4	conduct	2:36:00::	2	verb.creation	1	1	1	1	1	0
22	conduct	2:36:00::	2	verb.creation	1	1	1	1	1	1
27	conducted	2:36:00::	2	verb.creation	1	1	1	1	1	2
9	conduct	2:36:00::	2	verb.creation	1	0	1	1	1	3
13	conducted	2:36:00::	2	verb.creation	1	0	1	1	1	4
2	conduct	2:36:00::	2	verb.creation	1	0	0	1	1	5
16	conducted	2:36:00::	2	verb.creation	1	0	0	1	1	6
6	conducted	2:36:00::	2	verb.creation	1	0	0	1	1	7
7	conducted	2:36:00::	2	verb.creation	1	0	0	1	1	8
5	conducted	2:36:00::	2	verb.creation	1	0	0	1	1	9
13	conducted	2:36:00::	2	verb.creation	1	0	0	0	1	10
3	conducted	2:36:00::	2	verb.creation	1	0	0	0	1	11
2	conducts	2:36:00::	2	verb.creation	1	0	0	0	1	12
8	conducted	2:36:00::	2	verb.creation	1	0	0	0	1	13
6	conducted	2:36:00::	2	verb.creation	1	0	0	0	1	14
10	conducting	2:36:00::	2	verb.creation	1	0	0	0	1	15
2	conducted	2:36:00::	2	verb.creation	1	0	0	0	1	16
7	conducted	2:36:00::	2	verb.creation	1	0	0	0	1	17
9	conducting	2:36:00::	2	verb.creation	1	0	0	0	1	18
16	conducted	2:36:00::	2	verb.creation	1	0	0	0	1	19
7	conducted	2:36:00::	2	verb.creation	1	0	0	0	0	20
1	conducted	2:36:00::	2	verb.creation	1	0	0	0	0	21
12	conducted	2:38:00::	5	verb.motion	1	0	0	0	0	22
5	conducted	2:36:00::	2	verb.creation	1	0	0	0	0	23
12	conducted	2:36:00::	2	verb.creation	1	0	0	0	0	24
23	conduct	2:41:00::	1	verb.social	2	2	2	2	2	25
7	conducted	2:41:00::	1	verb.social	2	2	2	2	2	26
15	conducted	2:41:00::	1	verb.social	2	2	2	2	2	27
9	conducted	2:41:00::	1	verb.social	2	0	2	2	2	28
32	conduct	2:41:00::	1	verb.social	2	0	2	2	2	29
8	conducted	2:41:00::	1	verb.social	2	0	0	2	2	30
19	conducted	2:41:00::	1	verb.social	2	0	0	2	2	31
2	conducted	2:41:00::	1	verb.social	2	0	0	2	2	32
0	conduct	2:41:00::	1	verb.social	2	0	0	2	2	33
13	conduct	2:41:00::	1	verb.social	2	0	0	2	2	34
18	conducted	2:41:00::	1	verb.social	2	0	0	0	2	35
18	conduct	2:41:00::	1	verb.social	2	0	0	0	2	36
12	conduct	2:41:00::	1	verb.social	2	0	0	0	2	37
12	conducted	2:41:00::	1	verb.social	2	0	0	0	2	38
3	conducted	2:41:00::	1	verb.social	2	0	0	0	2	39
6	conducting	2:41:00::	1	verb.social	2	0	0	0	2	40
30	conduct	2:41:00::	1	verb.social	2	0	0	0	2	41
16	conducted	2:41:00::	1	verb.social	2	0	0	0	2	42
23	conduct	2:41:00::	1	verb.social	2	0	0	0	2	43
11	conducted	2:41:00::	1	verb.social	2	0	0	0	2	44
43	conduct	2:41:01::	3	verb.social	2	0	0	0	0	45
1	conducting	2:41:00::	1	verb.social	2	0	0	0	0	46
12	conducted	2:41:00::	1	verb.social	2	0	0	0	0	47
16	conducted	2:41:00::	1	verb.social	2	0	0	0	0	48
25	conducted	2:41:00::	1	verb.social	2	0	0	0	0	49
