position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
2	consider	2:31:01::	3	verb.cognition	1	1	1	1	1	0
10	consider	2:31:00::	1	verb.cognition	1	1	1	1	1	1
1	considered	2:31:01::	3	verb.cognition	1	1	1	1	1	2
0	Consider	2:31:01::	3	verb.cognition	1	0	1	1	1	3
1	considering	2:31:01::	3	verb.cognition	1	0	1	1	1	4
10	consider	2:31:00::	1	verb.cognition	1	0	0	1	1	5
2	considered	2:31:00::	1	verb.cognition	1	0	0	1	1	6
0	Consider	2:31:01::	3	verb.cognition	1	0	0	1	1	7
0	Consider	2:31:01::	3	verb.cognition	1	0	0	1	1	8
6	considered	2:31:00::	1	verb.cognition	1	0	0	1	1	9
0	Consider	2:31:01::	3	verb.cognition	1	0	0	0	1	10
4	consider	2:32:02::	5	verb.communication	1	0	0	0	1	11
4	consider	2:39:00::	2	verb.perception	1	0	0	0	1	12
15	considering	2:31:00::	1	verb.cognition	1	0	0	0	1	13
1	considering	2:39:00::	2	verb.perception	1	0	0	0	1	14
2	considered	2:39:00::	2	verb.perception	1	0	0	0	1	15
20	considered	2:32:02::	5	verb.communication	1	0	0	0	1	16
15	consider	2:39:00::	2	verb.perception	1	0	0	0	1	17
1	considers	2:31:00::	1	verb.cognition	1	0	0	0	1	18
9	considered	2:31:00::	1	verb.cognition	1	0	0	0	1	19
26	consider	2:31:00::	1	verb.cognition	1	0	0	0	0	20
10	considered	2:31:00::	1	verb.cognition	1	0	0	0	0	21
2	considered	2:31:01::	3	verb.cognition	1	0	0	0	0	22
6	considered	2:31:00::	1	verb.cognition	1	0	0	0	0	23
3	considered	2:31:00::	1	verb.cognition	1	0	0	0	0	24
0	Consider	2:31:01::	3	verb.cognition	2	2	2	2	2	25
3	consider	2:32:00::	4	verb.communication	2	2	2	2	2	26
2	considered	2:31:01::	3	verb.cognition	2	2	2	2	2	27
1	considered	2:39:00::	2	verb.perception	2	0	2	2	2	28
20	considers	2:31:00::	1	verb.cognition	2	0	2	2	2	29
15	consider	2:31:00::	1	verb.cognition	2	0	0	2	2	30
19	considered	2:31:00::	1	verb.cognition	2	0	0	2	2	31
11	consider	2:39:00::	2	verb.perception	2	0	0	2	2	32
6	consider	2:39:00::	2	verb.perception	2	0	0	2	2	33
9	considered	2:31:00::	1	verb.cognition	2	0	0	2	2	34
2	considered	2:39:00::	2	verb.perception	2	0	0	0	2	35
16	considering	2:32:00::	4	verb.communication	2	0	0	0	2	36
9	Consider	2:31:00::	1	verb.cognition	2	0	0	0	2	37
3	considered	2:31:00::	1	verb.cognition	2	0	0	0	2	38
5	considering	2:32:00::	4	verb.communication	2	0	0	0	2	39
18	considered	2:39:00::	2	verb.perception	2	0	0	0	2	40
19	considers	2:31:00::	1	verb.cognition	2	0	0	0	2	41
6	consider	2:31:01::	3	verb.cognition	2	0	0	0	2	42
2	considered	2:39:00::	2	verb.perception	2	0	0	0	2	43
10	consider	2:32:00::	4	verb.communication	2	0	0	0	2	44
39	considered	2:31:00::	1	verb.cognition	2	0	0	0	0	45
4	considered	2:31:00::	1	verb.cognition	2	0	0	0	0	46
24	considered	2:31:00::	1	verb.cognition	2	0	0	0	0	47
18	consider	2:39:00::	2	verb.perception	2	0	0	0	0	48
4	considered	2:31:00::	1	verb.cognition	2	0	0	0	0	49
