position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
9	contained	2:42:00::	1	verb.stative	1	1	1	1	1	0
2	contain	2:42:00::	1	verb.stative	1	1	1	1	1	1
3	contained	2:42:00::	1	verb.stative	1	1	1	1	1	2
10	contained	2:42:00::	1	verb.stative	1	0	1	1	1	3
9	contains	2:42:00::	1	verb.stative	1	0	1	1	1	4
17	containing	2:42:00::	1	verb.stative	1	0	0	1	1	5
3	containing	2:42:00::	1	verb.stative	1	0	0	1	1	6
12	contains	2:42:13::	2	verb.stative	1	0	0	1	1	7
6	containing	2:42:00::	1	verb.stative	1	0	0	1	1	8
7	contains	2:42:00::	1	verb.stative	1	0	0	1	1	9
22	contains	2:42:00::	1	verb.stative	1	0	0	0	1	10
6	contains	2:42:13::	2	verb.stative	1	0	0	0	1	11
4	containing	2:42:00::	1	verb.stative	1	0	0	0	1	12
34	containing	2:42:00::	1	verb.stative	1	0	0	0	1	13
8	contain	2:42:00::	1	verb.stative	1	0	0	0	1	14
15	contains	2:42:00::	1	verb.stative	1	0	0	0	1	15
17	contain	2:42:00::	1	verb.stative	1	0	0	0	1	16
25	containing	2:42:13::	2	verb.stative	1	0	0	0	1	17
9	containing	2:42:13::	2	verb.stative	1	0	0	0	1	18
3	containing	2:42:00::	1	verb.stative	1	0	0	0	1	19
6	containing	2:42:13::	2	verb.stative	1	0	0	0	0	20
4	contained	2:42:00::	1	verb.stative	1	0	0	0	0	21
13	containing	2:42:13::	2	verb.stative	1	0	0	0	0	22
43	contained	2:42:00::	1	verb.stative	1	0	0	0	0	23
19	contained	2:42:00::	1	verb.stative	1	0	0	0	0	24
37	containing	2:42:00::	1	verb.stative	2	2	2	2	2	25
29	contained	2:42:00::	1	verb.stative	2	2	2	2	2	26
17	contained	2:42:00::	1	verb.stative	2	2	2	2	2	27
26	contain	2:42:00::	1	verb.stative	2	0	2	2	2	28
5	contain	2:42:00::	1	verb.stative	2	0	2	2	2	29
29	contain	2:42:00::	1	verb.stative	2	0	0	2	2	30
13	containing	2:42:00::	1	verb.stative	2	0	0	2	2	31
23	containing	2:42:00::	1	verb.stative	2	0	0	2	2	32
12	contained	2:42:00::	1	verb.stative	2	0	0	2	2	33
2	contains	2:42:00::	1	verb.stative	2	0	0	2	2	34
41	contain	2:42:00::	1	verb.stative	2	0	0	0	2	35
15	contained	2:42:00::	1	verb.stative	2	0	0	0	2	36
10	contain	2:42:00::	1	verb.stative	2	0	0	0	2	37
10	contained	2:42:00::	1	verb.stative	2	0	0	0	2	38
13	contain	2:42:00::	1	verb.stative	2	0	0	0	2	39
14	contained	2:42:00::	1	verb.stative	2	0	0	0	2	40
13	contains	2:42:00::	1	verb.stative	2	0	0	0	2	41
10	containing	2:42:00::	1	verb.stative	2	0	0	0	2	42
18	containing	2:42:00::	1	verb.stative	2	0	0	0	2	43
18	contained	2:42:00::	1	verb.stative	2	0	0	0	2	44
16	contain	2:42:13::	2	verb.stative	2	0	0	0	0	45
13	containing	2:42:00::	1	verb.stative	2	0	0	0	0	46
4	contains	2:42:00::	1	verb.stative	2	0	0	0	0	47
3	contains	2:42:00::	1	verb.stative	2	0	0	0	0	48
9	contains	2:42:00::	1	verb.stative	2	0	0	0	0	49
