position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
3	continued	2:42:00::	3	verb.stative	1	1	1	1	1	0
5	continues	2:32:00::	2	verb.communication	1	1	1	1	1	1
47	continued	2:42:01::	1	verb.stative	1	1	1	1	1	2
2	continued	2:42:01::	1	verb.stative	1	0	1	1	1	3
5	continues	2:42:01::	1	verb.stative	1	0	1	1	1	4
5	continues	2:42:01::	1	verb.stative	1	0	0	1	1	5
2	continues	2:42:01::	1	verb.stative	1	0	0	1	1	6
15	continued	2:42:00::	3	verb.stative	1	0	0	1	1	7
14	continue	2:42:00::	3	verb.stative	1	0	0	1	1	8
15	continued	2:42:01::	1	verb.stative	1	0	0	1	1	9
4	continues	2:42:01::	1	verb.stative	1	0	0	0	1	10
31	continued	2:42:01::	1	verb.stative	1	0	0	0	1	11
43	continue	2:32:00::	2	verb.communication	1	0	0	0	1	12
6	continues	2:42:01::	1	verb.stative	1	0	0	0	1	13
14	continue	2:42:01::	1	verb.stative	1	0	0	0	1	14
1	continued	2:32:00::	2	verb.communication	1	0	0	0	1	15
27	continue	2:42:01::	1	verb.stative	1	0	0	0	1	16
14	continue	2:42:01::	1	verb.stative	1	0	0	0	1	17
2	continued	2:42:01::	1	verb.stative	1	0	0	0	1	18
17	continues	2:42:01::	1	verb.stative	1	0	0	0	1	19
3	continued	2:42:01::	1	verb.stative	1	0	0	0	0	20
4	continuing	2:42:01::	1	verb.stative	1	0	0	0	0	21
21	continued	2:42:00::	3	verb.stative	1	0	0	0	0	22
57	continue	2:42:01::	1	verb.stative	1	0	0	0	0	23
22	continues	2:42:01::	1	verb.stative	1	0	0	0	0	24
29	continuing	2:42:01::	1	verb.stative	2	2	2	2	2	25
33	continued	2:42:00::	3	verb.stative	2	2	2	2	2	26
3	continue	2:42:01::	1	verb.stative	2	2	2	2	2	27
11	continued	2:42:01::	1	verb.stative	2	0	2	2	2	28
4	continues	2:42:01::	1	verb.stative	2	0	2	2	2	29
3	continued	2:42:01::	1	verb.stative	2	0	0	2	2	30
53	continue	2:42:00::	3	verb.stative	2	0	0	2	2	31
2	continued	2:42:01::	1	verb.stative	2	0	0	2	2	32
24	continue	2:42:01::	1	verb.stative	2	0	0	2	2	33
0	Continuing	2:32:00::	2	verb.communication	2	0	0	2	2	34
15	continued	2:32:00::	2	verb.communication	2	0	0	0	2	35
11	continued	2:32:00::	2	verb.communication	2	0	0	0	2	36
5	continued	2:42:01::	1	verb.stative	2	0	0	0	2	37
3	continued	2:32:00::	2	verb.communication	2	0	0	0	2	38
2	continues	2:42:01::	1	verb.stative	2	0	0	0	2	39
13	continue	2:42:01::	1	verb.stative	2	0	0	0	2	40
8	continue	2:42:01::	1	verb.stative	2	0	0	0	2	41
4	continue	2:42:01::	1	verb.stative	2	0	0	0	2	42
1	continued	2:42:01::	1	verb.stative	2	0	0	0	2	43
10	continue	2:42:01::	1	verb.stative	2	0	0	0	2	44
3	continued	2:38:00::	4	verb.motion	2	0	0	0	0	45
6	continue	2:42:01::	1	verb.stative	2	0	0	0	0	46
6	continue	2:42:01::	1	verb.stative	2	0	0	0	0	47
13	continued	2:42:01::	1	verb.stative	2	0	0	0	0	48
34	continues	2:42:01::	1	verb.stative	2	0	0	0	0	49
