position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
30	contribute	2:41:12::	3	verb.social	1	1	1	1	1	0
16	contribute	2:40:01::	1	verb.possession	1	1	1	1	1	1
22	contributed	2:40:02::	4	verb.possession	1	1	1	1	1	2
12	contributed	2:41:12::	3	verb.social	1	0	1	1	1	3
15	contributes	2:40:00::	2	verb.possession	1	0	1	1	1	4
23	contributing	2:40:00::	2	verb.possession	1	0	0	1	1	5
2	contributed	2:40:00::	2	verb.possession	1	0	0	1	1	6
14	contribute	2:40:01::	1	verb.possession	1	0	0	1	1	7
5	contributed	2:41:12::	3	verb.social	1	0	0	1	1	8
10	contributing	2:40:01::	1	verb.possession	1	0	0	1	1	9
8	contribute	2:41:12::	3	verb.social	1	0	0	0	1	10
33	contribute	2:40:00::	2	verb.possession	1	0	0	0	1	11
19	contribute	2:40:00::	2	verb.possession	1	0	0	0	1	12
32	contribute	2:40:01::	1	verb.possession	1	0	0	0	1	13
15	contributed	2:40:01::	1	verb.possession	1	0	0	0	1	14
2	contribute	2:40:00::	2	verb.possession	1	0	0	0	1	15
12	contribute	2:40:01::	1	verb.possession	1	0	0	0	1	16
18	contributing	2:40:00::	2	verb.possession	1	0	0	0	1	17
16	contributed	2:40:02::	4	verb.possession	1	0	0	0	1	18
2	contributed	2:40:01::	1	verb.possession	1	0	0	0	1	19
7	contributed	2:40:01::	1	verb.possession	1	0	0	0	0	20
12	contribute	2:40:00::	2	verb.possession	1	0	0	0	0	21
11	contributed	2:40:01::	1	verb.possession	1	0	0	0	0	22
21	contribute	2:40:01::	1	verb.possession	1	0	0	0	0	23
20	contributed	2:41:12::	3	verb.social	1	0	0	0	0	24
72	contributing	2:40:01::	1	verb.possession	2	2	2	2	2	25
18	contributing	2:40:00::	2	verb.possession	2	2	2	2	2	26
1	contributed	2:40:00::	2	verb.possession	2	2	2	2	2	27
0	Contribute	2:40:00::	2	verb.possession	2	0	2	2	2	28
4	contributed	2:40:00::	2	verb.possession	2	0	2	2	2	29
3	contribute	2:40:01::	1	verb.possession	2	0	0	2	2	30
7	contributed	2:41:12::	3	verb.social	2	0	0	2	2	31
32	contributed	2:40:01::	1	verb.possession	2	0	0	2	2	32
12	contributes	2:40:01::	1	verb.possession	2	0	0	2	2	33
21	contribute	2:40:01::	1	verb.possession	2	0	0	2	2	34
1	contributes	2:40:01::	1	verb.possession	2	0	0	0	2	35
14	contributes	2:40:01::	1	verb.possession	2	0	0	0	2	36
2	contributed	2:41:12::	3	verb.social	2	0	0	0	2	37
9	contributed	2:40:01::	1	verb.possession	2	0	0	0	2	38
18	contributed	2:41:12::	3	verb.social	2	0	0	0	2	39
1	contributed	2:40:00::	2	verb.possession	2	0	0	0	2	40
8	contributes	2:40:00::	2	verb.possession	2	0	0	0	2	41
1	contributed	2:40:00::	2	verb.possession	2	0	0	0	2	42
26	contribute	2:40:01::	1	verb.possession	2	0	0	0	2	43
28	contributing	2:41:12::	3	verb.social	2	0	0	0	2	44
8	contribute	2:40:00::	2	verb.possession	2	0	0	0	0	45
18	contributing	2:40:01::	1	verb.possession	2	0	0	0	0	46
2	contributed	2:40:00::	2	verb.possession	2	0	0	0	0	47
4	contributes	2:40:01::	1	verb.possession	2	0	0	0	0	48
7	contributed	2:41:12::	3	verb.social	2	0	0	0	0	49
