position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
3	controlled	2:41:00::	1	verb.social	1	1	1	1	1	0
26	controlling	2:41:01::	2	verb.social	1	1	1	1	1	1
2	controlled	2:41:00::	1	verb.social	1	1	1	1	1	2
20	control	2:41:01::	2	verb.social	1	0	1	1	1	3
6	control	2:41:00::	1	verb.social	1	0	1	1	1	4
4	controlled	2:35:00::	3	verb.contact	1	0	0	1	1	5
35	control	2:41:00::	1	verb.social	1	0	0	1	1	6
8	controls	2:41:00::	1	verb.social	1	0	0	1	1	7
37	control	2:41:01::	2	verb.social	1	0	0	1	1	8
24	control	2:41:01::	2	verb.social	1	0	0	1	1	9
4	controlled	2:35:00::	3	verb.contact	1	0	0	0	1	10
16	control	2:41:00::	1	verb.social	1	0	0	0	1	11
12	controlled	2:41:00::	1	verb.social	1	0	0	0	1	12
7	control	2:41:00::	1	verb.social	1	0	0	0	1	13
1	controls	2:41:01::	2	verb.social	1	0	0	0	1	14
13	controlling	2:41:01::	2	verb.social	1	0	0	0	1	15
14	control	2:35:00::	3	verb.contact	1	0	0	0	1	16
3	controlled	2:41:01::	2	verb.social	1	0	0	0	1	17
26	controlling	2:41:00::	1	verb.social	1	0	0	0	1	18
24	controlled	2:41:00::	1	verb.social	1	0	0	0	1	19
17	control	2:41:01::	2	verb.social	1	0	0	0	0	20
26	control	2:41:00::	1	verb.social	1	0	0	0	0	21
4	control	2:41:00::	1	verb.social	1	0	0	0	0	22
1	control	2:41:01::	2	verb.social	1	0	0	0	0	23
38	controlling	2:41:00::	1	verb.social	1	0	0	0	0	24
27	controlling	2:41:00::	1	verb.social	2	2	2	2	2	25
5	controlled	2:41:00::	1	verb.social	2	2	2	2	2	26
24	controlled	2:35:00::	3	verb.contact	2	2	2	2	2	27
13	controlling	2:41:00::	1	verb.social	2	0	2	2	2	28
11	control	2:41:01::	2	verb.social	2	0	2	2	2	29
6	controlling	2:41:01::	2	verb.social	2	0	0	2	2	30
14	controlled	2:35:00::	3	verb.contact	2	0	0	2	2	31
20	control	2:41:01::	2	verb.social	2	0	0	2	2	32
11	controlling	2:41:01::	2	verb.social	2	0	0	2	2	33
9	control	2:41:01::	2	verb.social	2	0	0	2	2	34
19	control	2:41:00::	1	verb.social	2	0	0	0	2	35
43	controlled	2:41:00::	1	verb.social	2	0	0	0	2	36
29	controlled	2:41:00::	1	verb.social	2	0	0	0	2	37
27	controls	2:41:01::	2	verb.social	2	0	0	0	2	38
10	controlled	2:41:01::	2	verb.social	2	0	0	0	2	39
4	controlled	2:35:00::	3	verb.contact	2	0	0	0	2	40
9	control	2:37:06::	4	verb.emotion	2	0	0	0	2	41
11	controlled	2:41:01::	2	verb.social	2	0	0	0	2	42
19	controlling	2:41:00::	1	verb.social	2	0	0	0	2	43
8	controlled	2:41:00::	1	verb.social	2	0	0	0	2	44
11	controlling	2:41:00::	1	verb.social	2	0	0	0	0	45
19	control	2:41:00::	1	verb.social	2	0	0	0	0	46
29	controls	2:41:00::	1	verb.social	2	0	0	0	0	47
7	control	2:35:00::	3	verb.contact	2	0	0	0	0	48
28	control	2:41:00::	1	verb.social	2	0	0	0	0	49
