position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
15	corner	1:15:02::	1	noun.location	1	1	1	1	1	0
38	corners	1:15:01::	5	noun.location	1	1	1	1	1	1
24	corner	1:06:00::	4	noun.artifact	1	1	1	1	1	2
7	corners	1:15:00::	2	noun.location	1	0	1	1	1	3
36	corner	1:25:00::	6	noun.shape	1	0	1	1	1	4
9	corner	1:25:00::	6	noun.shape	1	0	0	1	1	5
7	corners	1:15:01::	5	noun.location	1	0	0	1	1	6
16	corner	1:15:02::	1	noun.location	1	0	0	1	1	7
13	corner	1:15:00::	2	noun.location	1	0	0	1	1	8
4	corner	1:06:00::	4	noun.artifact	1	0	0	1	1	9
26	corner	1:15:00::	2	noun.location	1	0	0	0	1	10
13	corner	1:15:02::	1	noun.location	1	0	0	0	1	11
6	corner	1:15:00::	2	noun.location	1	0	0	0	1	12
32	corner	1:06:00::	4	noun.artifact	1	0	0	0	1	13
5	corner	1:15:01::	5	noun.location	1	0	0	0	1	14
9	corner	1:06:00::	4	noun.artifact	1	0	0	0	1	15
5	corner	1:15:01::	5	noun.location	1	0	0	0	1	16
7	corner	1:15:01::	5	noun.location	1	0	0	0	1	17
6	corner	1:06:02::	3	noun.artifact	1	0	0	0	1	18
22	corner	1:06:02::	3	noun.artifact	1	0	0	0	1	19
30	corner	1:15:00::	2	noun.location	1	0	0	0	0	20
14	corner	1:06:00::	4	noun.artifact	1	0	0	0	0	21
26	corner	1:06:00::	4	noun.artifact	1	0	0	0	0	22
17	corner	1:15:02::	1	noun.location	1	0	0	0	0	23
21	corner	1:17:00::	9	noun.object	1	0	0	0	0	24
3	corner	1:25:00::	6	noun.shape	2	2	2	2	2	25
15	corner	1:15:02::	1	noun.location	2	2	2	2	2	26
22	corner	1:06:02::	3	noun.artifact	2	2	2	2	2	27
5	corner	1:06:02::	3	noun.artifact	2	0	2	2	2	28
22	corner	1:15:00::	2	noun.location	2	0	2	2	2	29
11	corner	1:15:00::	2	noun.location	2	0	0	2	2	30
8	corner	1:15:00::	2	noun.location	2	0	0	2	2	31
3	corners	1:15:02::	1	noun.location	2	0	0	2	2	32
11	corner	1:15:02::	1	noun.location	2	0	0	2	2	33
5	corner	1:15:02::	1	noun.location	2	0	0	2	2	34
26	corner	1:15:02::	1	noun.location	2	0	0	0	2	35
19	corner	1:06:00::	4	noun.artifact	2	0	0	0	2	36
4	corner	1:15:02::	1	noun.location	2	0	0	0	2	37
6	corner	1:06:02::	3	noun.artifact	2	0	0	0	2	38
65	corner	1:06:00::	4	noun.artifact	2	0	0	0	2	39
20	corners	1:15:00::	2	noun.location	2	0	0	0	2	40
13	corners	1:06:02::	3	noun.artifact	2	0	0	0	2	41
6	corner	1:06:02::	3	noun.artifact	2	0	0	0	2	42
12	corner	1:15:00::	2	noun.location	2	0	0	0	2	43
4	corner	1:15:00::	2	noun.location	2	0	0	0	2	44
23	corner	1:15:02::	1	noun.location	2	0	0	0	0	45
12	corners	1:15:00::	2	noun.location	2	0	0	0	0	46
24	corner	1:06:02::	3	noun.artifact	2	0	0	0	0	47
57	corner	1:15:02::	1	noun.location	2	0	0	0	0	48
23	corners	1:15:02::	1	noun.location	2	0	0	0	0	49
