position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
2	cost	1:21:00::	1	noun.possession	1	1	1	1	1	0
2	cost	1:21:00::	1	noun.possession	1	1	1	1	1	1
10	costs	1:21:00::	1	noun.possession	1	1	1	1	1	2
12	cost	1:21:00::	1	noun.possession	1	0	1	1	1	3
24	cost	1:21:00::	1	noun.possession	1	0	1	1	1	4
2	costs	1:21:00::	1	noun.possession	1	0	0	1	1	5
2	cost	1:21:00::	1	noun.possession	1	0	0	1	1	6
37	cost	1:21:00::	1	noun.possession	1	0	0	1	1	7
14	cost	1:21:00::	1	noun.possession	1	0	0	1	1	8
9	cost	1:21:00::	1	noun.possession	1	0	0	1	1	9
16	costs	1:21:00::	1	noun.possession	1	0	0	0	1	10
22	cost	1:21:00::	1	noun.possession	1	0	0	0	1	11
30	costs	1:21:00::	1	noun.possession	1	0	0	0	1	12
226	cost	1:21:00::	1	noun.possession	1	0	0	0	1	13
8	costs	1:21:00::	1	noun.possession	1	0	0	0	1	14
13	cost	1:21:00::	1	noun.possession	1	0	0	0	1	15
18	cost	1:21:00::	1	noun.possession	1	0	0	0	1	16
6	cost	1:21:00::	1	noun.possession	1	0	0	0	1	17
35	costs	1:21:00::	1	noun.possession	1	0	0	0	1	18
40	costs	1:21:00::	1	noun.possession	1	0	0	0	1	19
15	costs	1:21:00::	1	noun.possession	1	0	0	0	0	20
7	cost	1:21:00::	1	noun.possession	1	0	0	0	0	21
2	cost	1:07:01::	3	noun.attribute	1	0	0	0	0	22
12	costs	1:21:00::	1	noun.possession	1	0	0	0	0	23
2	cost	1:21:00::	1	noun.possession	1	0	0	0	0	24
7	costs	1:21:00::	1	noun.possession	2	2	2	2	2	25
4	cost	1:21:00::	1	noun.possession	2	2	2	2	2	26
10	costs	1:21:00::	1	noun.possession	2	2	2	2	2	27
13	cost	1:21:00::	1	noun.possession	2	0	2	2	2	28
40	cost	1:07:01::	3	noun.attribute	2	0	2	2	2	29
25	cost	1:21:00::	1	noun.possession	2	0	0	2	2	30
22	cost	1:21:00::	1	noun.possession	2	0	0	2	2	31
2	cost	1:07:00::	2	noun.attribute	2	0	0	2	2	32
14	costs	1:21:00::	1	noun.possession	2	0	0	2	2	33
32	costs	1:21:00::	1	noun.possession	2	0	0	2	2	34
27	costs	1:21:00::	1	noun.possession	2	0	0	0	2	35
34	cost	1:21:00::	1	noun.possession	2	0	0	0	2	36
26	costs	1:21:00::	1	noun.possession	2	0	0	0	2	37
12	cost	1:21:00::	1	noun.possession	2	0	0	0	2	38
3	cost	1:07:00::	2	noun.attribute	2	0	0	0	2	39
20	cost	1:21:00::	1	noun.possession	2	0	0	0	2	40
8	cost	1:21:00::	1	noun.possession	2	0	0	0	2	41
14	cost	1:21:00::	1	noun.possession	2	0	0	0	2	42
8	cost	1:07:01::	3	noun.attribute	2	0	0	0	2	43
44	cost	1:21:00::	1	noun.possession	2	0	0	0	2	44
8	costs	1:07:00::	2	noun.attribute	2	0	0	0	0	45
1	cost	1:21:00::	1	noun.possession	2	0	0	0	0	46
19	costs	1:21:00::	1	noun.possession	2	0	0	0	0	47
10	cost	1:21:00::	1	noun.possession	2	0	0	0	0	48
8	cost	1:21:00::	1	noun.possession	2	0	0	0	0	49
