position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
1	country	1:14:00::	1	noun.group	1	1	1	1	1	0
2	country	1:14:00::	1	noun.group	1	1	1	1	1	1
14	country	1:14:00::	1	noun.group	1	1	1	1	1	2
14	countries	1:14:00::	1	noun.group	1	0	1	1	1	3
12	country	1:14:00::	1	noun.group	1	0	1	1	1	4
12	country	1:14:01::	3	noun.group	1	0	0	1	1	5
1	countries	1:14:00::	1	noun.group	1	0	0	1	1	6
28	country	1:14:00::	1	noun.group	1	0	0	1	1	7
15	countries	1:14:01::	3	noun.group	1	0	0	1	1	8
12	country	1:14:00::	1	noun.group	1	0	0	1	1	9
15	countries	1:14:00::	1	noun.group	1	0	0	0	1	10
3	country	1:14:00::	1	noun.group	1	0	0	0	1	11
20	countries	1:14:00::	1	noun.group	1	0	0	0	1	12
35	country	1:14:00::	1	noun.group	1	0	0	0	1	13
10	countries	1:14:00::	1	noun.group	1	0	0	0	1	14
23	countries	1:14:00::	1	noun.group	1	0	0	0	1	15
36	country	1:14:01::	3	noun.group	1	0	0	0	1	16
30	country	1:14:01::	3	noun.group	1	0	0	0	1	17
19	country	1:15:01::	4	noun.location	1	0	0	0	1	18
9	countries	1:14:00::	1	noun.group	1	0	0	0	1	19
4	country	1:14:00::	1	noun.group	1	0	0	0	0	20
6	country	1:15:01::	4	noun.location	1	0	0	0	0	21
2	countries	1:14:00::	1	noun.group	1	0	0	0	0	22
25	countries	1:14:00::	1	noun.group	1	0	0	0	0	23
11	country	1:15:01::	4	noun.location	1	0	0	0	0	24
36	country	1:15:00::	2	noun.location	2	2	2	2	2	25
32	country	1:15:00::	2	noun.location	2	2	2	2	2	26
20	country	1:15:00::	2	noun.location	2	2	2	2	2	27
5	country	1:15:00::	2	noun.location	2	0	2	2	2	28
26	country	1:15:00::	2	noun.location	2	0	2	2	2	29
29	country	1:15:00::	2	noun.location	2	0	0	2	2	30
22	country	1:15:02::	5	noun.location	2	0	0	2	2	31
17	country	1:15:00::	2	noun.location	2	0	0	2	2	32
11	country	1:15:00::	2	noun.location	2	0	0	2	2	33
9	country	1:15:00::	2	noun.location	2	0	0	2	2	34
6	country	1:15:00::	2	noun.location	2	0	0	0	2	35
5	country	1:15:00::	2	noun.location	2	0	0	0	2	36
19	country	1:15:00::	2	noun.location	2	0	0	0	2	37
29	country	1:15:02::	5	noun.location	2	0	0	0	2	38
12	country	1:15:00::	2	noun.location	2	0	0	0	2	39
6	country	1:15:02::	5	noun.location	2	0	0	0	2	40
24	countries	1:15:00::	2	noun.location	2	0	0	0	2	41
13	country	1:15:00::	2	noun.location	2	0	0	0	2	42
2	country	1:15:00::	2	noun.location	2	0	0	0	2	43
13	country	1:15:00::	2	noun.location	2	0	0	0	2	44
53	country	1:15:00::	2	noun.location	2	0	0	0	0	45
19	countries	1:15:00::	2	noun.location	2	0	0	0	0	46
15	country	1:15:00::	2	noun.location	2	0	0	0	0	47
27	country	1:15:00::	2	noun.location	2	0	0	0	0	48
47	country	1:15:00::	2	noun.location	2	0	0	0	0	49
