position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
11	course	1:04:01::	1	noun.act	1	1	1	1	1	0
20	courses	1:04:01::	1	noun.act	1	1	1	1	1	1
1	courses	1:04:01::	1	noun.act	1	1	1	1	1	2
7	courses	1:04:01::	1	noun.act	1	0	1	1	1	3
22	courses	1:04:01::	1	noun.act	1	0	1	1	1	4
40	courses	1:04:01::	1	noun.act	1	0	0	1	1	5
10	course	1:04:01::	1	noun.act	1	0	0	1	1	6
44	courses	1:04:01::	1	noun.act	1	0	0	1	1	7
3	courses	1:04:01::	1	noun.act	1	0	0	1	1	8
21	courses	1:04:01::	1	noun.act	1	0	0	1	1	9
10	course	1:17:00::	5	noun.object	1	0	0	0	1	10
7	course	1:04:01::	1	noun.act	1	0	0	0	1	11
3	courses	1:04:01::	1	noun.act	1	0	0	0	1	12
11	courses	1:04:01::	1	noun.act	1	0	0	0	1	13
10	courses	1:04:01::	1	noun.act	1	0	0	0	1	14
9	course	1:17:00::	5	noun.object	1	0	0	0	1	15
20	course	1:04:01::	1	noun.act	1	0	0	0	1	16
20	courses	1:04:01::	1	noun.act	1	0	0	0	1	17
9	courses	1:04:01::	1	noun.act	1	0	0	0	1	18
7	courses	1:04:01::	1	noun.act	1	0	0	0	1	19
2	course	1:04:01::	1	noun.act	1	0	0	0	0	20
8	courses	1:04:01::	1	noun.act	1	0	0	0	0	21
4	course	1:04:01::	1	noun.act	1	0	0	0	0	22
2	course	1:04:01::	1	noun.act	1	0	0	0	0	23
12	course	1:17:00::	5	noun.object	1	0	0	0	0	24
9	course	1:15:00::	3	noun.location	2	2	2	2	2	25
89	course	1:14:00::	2	noun.group	2	2	2	2	2	26
25	course	1:14:00::	2	noun.group	2	2	2	2	2	27
14	course	1:14:00::	2	noun.group	2	0	2	2	2	28
4	course	1:14:00::	2	noun.group	2	0	2	2	2	29
18	course	1:04:00::	4	noun.act	2	0	0	2	2	30
14	course	1:14:00::	2	noun.group	2	0	0	2	2	31
6	course	1:15:00::	3	noun.location	2	0	0	2	2	32
13	course	1:14:00::	2	noun.group	2	0	0	2	2	33
27	course	1:15:00::	3	noun.location	2	0	0	2	2	34
10	course	1:15:00::	3	noun.location	2	0	0	0	2	35
4	course	1:15:00::	3	noun.location	2	0	0	0	2	36
3	course	1:04:00::	4	noun.act	2	0	0	0	2	37
46	course	1:14:00::	2	noun.group	2	0	0	0	2	38
9	course	1:14:00::	2	noun.group	2	0	0	0	2	39
3	course	1:14:00::	2	noun.group	2	0	0	0	2	40
2	course	1:15:00::	3	noun.location	2	0	0	0	2	41
26	courses	1:15:00::	3	noun.location	2	0	0	0	2	42
3	course	1:14:00::	2	noun.group	2	0	0	0	2	43
8	course	1:15:00::	3	noun.location	2	0	0	0	2	44
20	course	1:15:00::	3	noun.location	2	0	0	0	0	45
29	course	1:14:00::	2	noun.group	2	0	0	0	0	46
2	course	1:15:00::	3	noun.location	2	0	0	0	0	47
9	courses	1:15:00::	3	noun.location	2	0	0	0	0	48
26	course	1:04:00::	4	noun.act	2	0	0	0	0	49
