position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
7	cover	2:42:00::	4	verb.stative	1	1	1	1	1	0
8	covered	2:35:01::	2	verb.contact	1	1	1	1	1	1
9	covered	2:42:00::	4	verb.stative	1	1	1	1	1	2
13	covered	2:35:01::	2	verb.contact	1	0	1	1	1	3
32	covering	2:32:01::	5	verb.communication	1	0	1	1	1	4
13	covering	2:32:00::	14	verb.communication	1	0	0	1	1	5
31	covered	2:35:00::	1	verb.contact	1	0	0	1	1	6
2	covers	2:42:02::	6	verb.stative	1	0	0	1	1	7
8	covered	2:35:00::	1	verb.contact	1	0	0	1	1	8
43	covered	2:42:00::	4	verb.stative	1	0	0	1	1	9
8	covers	2:33:00::	12	verb.competition	1	0	0	0	1	10
13	covered	2:42:01::	3	verb.stative	1	0	0	0	1	11
13	covered	2:32:01::	5	verb.communication	1	0	0	0	1	12
17	covered	2:35:00::	1	verb.contact	1	0	0	0	1	13
21	covering	2:35:00::	1	verb.contact	1	0	0	0	1	14
15	cover	2:35:01::	2	verb.contact	1	0	0	0	1	15
2	covering	2:35:01::	2	verb.contact	1	0	0	0	1	16
7	covers	2:32:01::	5	verb.communication	1	0	0	0	1	17
30	cover	2:38:00::	7	verb.motion	1	0	0	0	1	18
5	covering	2:42:01::	3	verb.stative	1	0	0	0	1	19
10	covered	2:35:00::	1	verb.contact	1	0	0	0	0	20
3	covered	2:42:00::	4	verb.stative	1	0	0	0	0	21
4	cover	2:42:00::	4	verb.stative	1	0	0	0	0	22
5	covered	2:35:00::	1	verb.contact	1	0	0	0	0	23
8	covered	2:42:02::	6	verb.stative	1	0	0	0	0	24
12	covered	2:42:01::	3	verb.stative	2	2	2	2	2	25
6	covered	2:42:00::	4	verb.stative	2	2	2	2	2	26
3	covering	2:42:01::	3	verb.stative	2	2	2	2	2	27
7	covers	2:42:02::	6	verb.stative	2	0	2	2	2	28
3	covered	2:35:00::	1	verb.contact	2	0	2	2	2	29
10	covered	2:42:00::	4	verb.stative	2	0	0	2	2	30
12	covers	2:35:00::	1	verb.contact	2	0	0	2	2	31
5	covered	2:35:00::	1	verb.contact	2	0	0	2	2	32
13	covered	2:35:01::	2	verb.contact	2	0	0	2	2	33
3	cover	2:35:00::	1	verb.contact	2	0	0	2	2	34
14	covered	2:35:01::	2	verb.contact	2	0	0	0	2	35
32	covered	2:32:01::	5	verb.communication	2	0	0	0	2	36
17	cover	2:35:01::	2	verb.contact	2	0	0	0	2	37
3	cover	2:42:01::	3	verb.stative	2	0	0	0	2	38
6	covering	2:32:02::	8	verb.communication	2	0	0	0	2	39
21	covered	2:35:00::	1	verb.contact	2	0	0	0	2	40
25	covered	2:42:01::	3	verb.stative	2	0	0	0	2	41
6	covered	2:35:00::	1	verb.contact	2	0	0	0	2	42
5	covered	2:35:00::	1	verb.contact	2	0	0	0	2	43
5	cover	2:35:00::	1	verb.contact	2	0	0	0	2	44
14	cover	2:42:00::	4	verb.stative	2	0	0	0	0	45
7	covered	2:35:00::	1	verb.contact	2	0	0	0	0	46
19	covering	2:32:01::	5	verb.communication	2	0	0	0	0	47
2	cover	2:35:01::	2	verb.contact	2	0	0	0	0	48
2	covered	2:42:01::	3	verb.stative	2	0	0	0	0	49
