position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
3	created	2:36:02::	2	verb.creation	1	1	1	1	1	0
26	create	2:36:00::	1	verb.creation	1	1	1	1	1	1
25	created	2:36:01::	3	verb.creation	1	1	1	1	1	2
24	creating	2:36:00::	1	verb.creation	1	0	1	1	1	3
14	create	2:36:00::	1	verb.creation	1	0	1	1	1	4
23	created	2:36:02::	2	verb.creation	1	0	0	1	1	5
5	creating	2:36:00::	1	verb.creation	1	0	0	1	1	6
0	Create	2:36:00::	1	verb.creation	1	0	0	1	1	7
16	create	2:36:00::	1	verb.creation	1	0	0	1	1	8
6	create	2:36:00::	1	verb.creation	1	0	0	1	1	9
11	creating	2:36:00::	1	verb.creation	1	0	0	0	1	10
5	created	2:36:00::	1	verb.creation	1	0	0	0	1	11
24	creating	2:36:02::	2	verb.creation	1	0	0	0	1	12
17	created	2:36:00::	1	verb.creation	1	0	0	0	1	13
14	creating	2:36:00::	1	verb.creation	1	0	0	0	1	14
6	created	2:36:00::	1	verb.creation	1	0	0	0	1	15
22	creating	2:36:00::	1	verb.creation	1	0	0	0	1	16
37	created	2:36:00::	1	verb.creation	1	0	0	0	1	17
9	created	2:36:00::	1	verb.creation	1	0	0	0	1	18
11	created	2:36:02::	2	verb.creation	1	0	0	0	1	19
13	create	2:36:01::	3	verb.creation	1	0	0	0	0	20
12	created	2:36:02::	2	verb.creation	1	0	0	0	0	21
3	create	2:36:01::	3	verb.creation	1	0	0	0	0	22
8	created	2:36:00::	1	verb.creation	1	0	0	0	0	23
2	created	2:36:00::	1	verb.creation	1	0	0	0	0	24
27	create	2:36:00::	1	verb.creation	2	2	2	2	2	25
9	created	2:36:02::	2	verb.creation	2	2	2	2	2	26
6	creating	2:36:00::	1	verb.creation	2	2	2	2	2	27
22	created	2:36:02::	2	verb.creation	2	0	2	2	2	28
3	create	2:36:00::	1	verb.creation	2	0	2	2	2	29
5	created	2:36:00::	1	verb.creation	2	0	0	2	2	30
12	create	2:36:00::	1	verb.creation	2	0	0	2	2	31
6	create	2:36:00::	1	verb.creation	2	0	0	2	2	32
10	create	2:36:00::	1	verb.creation	2	0	0	2	2	33
7	create	2:36:00::	1	verb.creation	2	0	0	2	2	34
3	created	2:36:02::	2	verb.creation	2	0	0	0	2	35
14	creates	2:36:00::	1	verb.creation	2	0	0	0	2	36
47	created	2:36:02::	2	verb.creation	2	0	0	0	2	37
10	create	2:36:01::	3	verb.creation	2	0	0	0	2	38
35	created	2:36:00::	1	verb.creation	2	0	0	0	2	39
19	create	2:36:02::	2	verb.creation	2	0	0	0	2	40
12	creating	2:36:02::	2	verb.creation	2	0	0	0	2	41
7	creates	2:36:00::	1	verb.creation	2	0	0	0	2	42
1	created	2:36:00::	1	verb.creation	2	0	0	0	2	43
14	create	2:36:02::	2	verb.creation	2	0	0	0	2	44
14	created	2:36:00::	1	verb.creation	2	0	0	0	0	45
25	create	2:36:00::	1	verb.creation	2	0	0	0	0	46
12	created	2:36:02::	2	verb.creation	2	0	0	0	0	47
17	created	2:36:01::	3	verb.creation	2	0	0	0	0	48
6	created	2:36:00::	1	verb.creation	2	0	0	0	0	49
