position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
7	crossing	2:38:03::	2	verb.motion	1	1	1	1	1	0
1	crossed	2:38:00::	1	verb.motion	1	1	1	1	1	1
4	crossing	2:38:00::	1	verb.motion	1	1	1	1	1	2
4	crossed	2:38:03::	2	verb.motion	1	0	1	1	1	3
17	cross	2:38:03::	2	verb.motion	1	0	1	1	1	4
14	cross	2:38:03::	2	verb.motion	1	0	0	1	1	5
9	crossed	2:41:00::	3	verb.social	1	0	0	1	1	6
2	crossed	2:38:00::	1	verb.motion	1	0	0	1	1	7
2	cross	2:38:00::	1	verb.motion	1	0	0	1	1	8
14	cross	2:38:00::	1	verb.motion	1	0	0	1	1	9
8	crossing	2:38:00::	1	verb.motion	1	0	0	0	1	10
2	crossed	2:38:00::	1	verb.motion	1	0	0	0	1	11
4	crossed	2:38:00::	1	verb.motion	1	0	0	0	1	12
15	crossed	2:38:00::	1	verb.motion	1	0	0	0	1	13
17	crosses	2:38:00::	1	verb.motion	1	0	0	0	1	14
15	cross	2:38:00::	1	verb.motion	1	0	0	0	1	15
15	crossed	2:38:00::	1	verb.motion	1	0	0	0	1	16
8	crossed	2:38:00::	1	verb.motion	1	0	0	0	1	17
12	crossed	2:38:00::	1	verb.motion	1	0	0	0	1	18
2	crosses	2:38:03::	2	verb.motion	1	0	0	0	1	19
28	cross	2:38:00::	1	verb.motion	1	0	0	0	0	20
1	crossed	2:38:00::	1	verb.motion	1	0	0	0	0	21
2	cross	2:38:00::	1	verb.motion	1	0	0	0	0	22
30	crossing	2:38:00::	1	verb.motion	1	0	0	0	0	23
17	crossed	2:38:00::	1	verb.motion	1	0	0	0	0	24
28	crossed	2:38:00::	1	verb.motion	2	2	2	2	2	25
5	crossed	2:38:00::	1	verb.motion	2	2	2	2	2	26
18	cross	2:38:00::	1	verb.motion	2	2	2	2	2	27
1	crossed	2:38:00::	1	verb.motion	2	0	2	2	2	28
31	crossing	2:38:00::	1	verb.motion	2	0	2	2	2	29
18	crossed	2:38:04::	4	verb.motion	2	0	0	2	2	30
41	crossed	2:38:00::	1	verb.motion	2	0	0	2	2	31
10	crossing	2:38:00::	1	verb.motion	2	0	0	2	2	32
14	cross	2:38:00::	1	verb.motion	2	0	0	2	2	33
10	crossed	2:38:00::	1	verb.motion	2	0	0	2	2	34
2	crossed	2:38:00::	1	verb.motion	2	0	0	0	2	35
19	crossed	2:38:00::	1	verb.motion	2	0	0	0	2	36
21	cross	2:38:00::	1	verb.motion	2	0	0	0	2	37
17	crossed	2:38:00::	1	verb.motion	2	0	0	0	2	38
20	crossing	2:38:00::	1	verb.motion	2	0	0	0	2	39
13	crosses	2:38:03::	2	verb.motion	2	0	0	0	2	40
4	crossed	2:38:00::	1	verb.motion	2	0	0	0	2	41
1	crossed	2:38:00::	1	verb.motion	2	0	0	0	2	42
4	crossed	2:38:00::	1	verb.motion	2	0	0	0	2	43
3	crossing	2:38:00::	1	verb.motion	2	0	0	0	2	44
10	crossing	2:38:00::	1	verb.motion	2	0	0	0	0	45
12	crossed	2:38:00::	1	verb.motion	2	0	0	0	0	46
1	crossed	2:38:00::	1	verb.motion	2	0	0	0	0	47
17	cross	2:38:03::	2	verb.motion	2	0	0	0	0	48
3	crossed	2:38:00::	1	verb.motion	2	0	0	0	0	49
