position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
9	cut	2:35:00::	1	verb.contact	1	1	1	1	1	0
12	cut	2:35:00::	1	verb.contact	1	1	1	1	1	1
8	cutting	2:35:00::	1	verb.contact	1	1	1	1	1	2
4	cut	2:35:00::	1	verb.contact	1	0	1	1	1	3
1	cut	2:35:00::	1	verb.contact	1	0	1	1	1	4
7	cut	2:35:00::	1	verb.contact	1	0	0	1	1	5
83	cut	2:30:07::	10	verb.change	1	0	0	1	1	6
0	Cut	2:35:00::	1	verb.contact	1	0	0	1	1	7
0	Cut	2:35:00::	1	verb.contact	1	0	0	1	1	8
0	Cut	2:35:00::	1	verb.contact	1	0	0	1	1	9
0	Cut	2:35:00::	1	verb.contact	1	0	0	0	1	10
20	cut	2:35:00::	1	verb.contact	1	0	0	0	1	11
20	cut	2:35:00::	1	verb.contact	1	0	0	0	1	12
24	cut	2:35:00::	1	verb.contact	1	0	0	0	1	13
4	cut	2:35:00::	1	verb.contact	1	0	0	0	1	14
6	cut	2:35:00::	1	verb.contact	1	0	0	0	1	15
3	cut	2:35:00::	1	verb.contact	1	0	0	0	1	16
1	cut	2:35:00::	1	verb.contact	1	0	0	0	1	17
2	cut	2:35:00::	1	verb.contact	1	0	0	0	1	18
3	cut	2:35:00::	1	verb.contact	1	0	0	0	1	19
21	cut	2:35:00::	1	verb.contact	1	0	0	0	0	20
12	cut	2:35:00::	1	verb.contact	1	0	0	0	0	21
7	cut	2:35:00::	1	verb.contact	1	0	0	0	0	22
4	cut	2:35:00::	1	verb.contact	1	0	0	0	0	23
13	cut	2:35:00::	1	verb.contact	1	0	0	0	0	24
9	cut	2:36:01::	6	verb.creation	2	2	2	2	2	25
5	cut	2:30:06::	2	verb.change	2	2	2	2	2	26
4	cut	2:30:06::	2	verb.change	2	2	2	2	2	27
4	cut	2:30:06::	2	verb.change	2	0	2	2	2	28
16	cutting	2:30:06::	2	verb.change	2	0	2	2	2	29
15	cut	2:38:08::	3	verb.motion	2	0	0	2	2	30
4	cutting	2:35:10::	4	verb.contact	2	0	0	2	2	31
5	cut	2:30:06::	2	verb.change	2	0	0	2	2	32
21	cut	2:30:06::	2	verb.change	2	0	0	2	2	33
13	cut	2:38:08::	3	verb.motion	2	0	0	2	2	34
5	cut	2:32:00::	9	verb.communication	2	0	0	0	2	35
4	cut	2:30:06::	2	verb.change	2	0	0	0	2	36
26	cut	2:30:06::	2	verb.change	2	0	0	0	2	37
8	cut	2:30:06::	2	verb.change	2	0	0	0	2	38
8	cut	2:35:10::	4	verb.contact	2	0	0	0	2	39
12	cut	2:30:06::	2	verb.change	2	0	0	0	2	40
6	cut	2:30:06::	2	verb.change	2	0	0	0	2	41
1	cut	2:38:08::	3	verb.motion	2	0	0	0	2	42
6	cut	2:35:07::	8	verb.contact	2	0	0	0	2	43
2	cut	2:30:06::	2	verb.change	2	0	0	0	2	44
4	cut	2:30:06::	2	verb.change	2	0	0	0	0	45
8	cut	2:36:00::	7	verb.creation	2	0	0	0	0	46
3	cut	2:30:06::	2	verb.change	2	0	0	0	0	47
9	cut	2:30:06::	2	verb.change	2	0	0	0	0	48
16	cut	2:30:06::	2	verb.change	2	0	0	0	0	49
