position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
8	dark	3:00:01::	1	adj.all	1	1	1	1	1	0
6	dark	3:00:02::	2	adj.all	1	1	1	1	1	1
11	dark	3:00:01::	1	adj.all	1	1	1	1	1	2
5	dark	3:00:01::	1	adj.all	1	0	1	1	1	3
5	dark	3:00:01::	1	adj.all	1	0	1	1	1	4
41	darkest	3:00:02::	2	adj.all	1	0	0	1	1	5
8	dark	3:00:02::	2	adj.all	1	0	0	1	1	6
12	dark	5:00:00:brunet:00	3	adj.all	1	0	0	1	1	7
6	dark	3:00:02::	2	adj.all	1	0	0	1	1	8
26	dark	3:00:01::	1	adj.all	1	0	0	1	1	9
12	dark	3:00:01::	1	adj.all	1	0	0	0	1	10
19	dark	3:00:01::	1	adj.all	1	0	0	0	1	11
19	dark	3:00:01::	1	adj.all	1	0	0	0	1	12
27	dark	3:00:02::	2	adj.all	1	0	0	0	1	13
17	dark	3:00:01::	1	adj.all	1	0	0	0	1	14
15	dark	3:00:02::	2	adj.all	1	0	0	0	1	15
3	dark	5:00:00:brunet:00	3	adj.all	1	0	0	0	1	16
2	dark	3:00:01::	1	adj.all	1	0	0	0	1	17
4	dark	3:00:01::	1	adj.all	1	0	0	0	1	18
26	dark	3:00:01::	1	adj.all	1	0	0	0	1	19
35	dark	3:00:02::	2	adj.all	1	0	0	0	0	20
6	dark	3:00:02::	2	adj.all	1	0	0	0	0	21
27	dark	3:00:01::	1	adj.all	1	0	0	0	0	22
28	dark	5:00:00:evil:00	4	adj.all	1	0	0	0	0	23
1	dark	3:00:02::	2	adj.all	1	0	0	0	0	24
10	dark	3:00:01::	1	adj.all	2	2	2	2	2	25
2	dark	5:00:00:brunet:00	3	adj.all	2	2	2	2	2	26
32	dark	3:00:01::	1	adj.all	2	2	2	2	2	27
12	dark	3:00:01::	1	adj.all	2	0	2	2	2	28
7	dark	3:00:01::	1	adj.all	2	0	2	2	2	29
20	dark	3:00:01::	1	adj.all	2	0	0	2	2	30
28	dark	5:00:00:brunet:00	3	adj.all	2	0	0	2	2	31
15	dark	5:00:00:brunet:00	3	adj.all	2	0	0	2	2	32
20	dark	3:00:01::	1	adj.all	2	0	0	2	2	33
53	dark	3:00:01::	1	adj.all	2	0	0	2	2	34
3	dark	5:00:00:brunet:00	3	adj.all	2	0	0	0	2	35
13	dark	3:00:02::	2	adj.all	2	0	0	0	2	36
0	Dark	3:00:02::	2	adj.all	2	0	0	0	2	37
5	dark	3:00:02::	2	adj.all	2	0	0	0	2	38
8	dark	5:00:00:brunet:00	3	adj.all	2	0	0	0	2	39
23	dark	5:00:00:evil:00	4	adj.all	2	0	0	0	2	40
10	dark	5:00:00:brunet:00	3	adj.all	2	0	0	0	2	41
3	dark	5:00:00:brunet:00	3	adj.all	2	0	0	0	2	42
11	dark	3:00:02::	2	adj.all	2	0	0	0	2	43
18	dark	5:00:00:evil:00	4	adj.all	2	0	0	0	2	44
18	dark	3:00:01::	1	adj.all	2	0	0	0	0	45
22	dark	3:00:01::	1	adj.all	2	0	0	0	0	46
5	dark	3:00:01::	1	adj.all	2	0	0	0	0	47
2	dark	3:00:02::	2	adj.all	2	0	0	0	0	48
5	dark	3:00:01::	1	adj.all	2	0	0	0	0	49
