position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
3	data	1:14:00::	1	noun.group	1	1	1	1	1	0
25	data	1:14:00::	1	noun.group	1	1	1	1	1	1
11	data	1:14:00::	1	noun.group	1	1	1	1	1	2
8	data	1:14:00::	1	noun.group	1	0	1	1	1	3
17	data	1:14:00::	1	noun.group	1	0	1	1	1	4
1	data	1:14:00::	1	noun.group	1	0	0	1	1	5
4	data	1:14:00::	1	noun.group	1	0	0	1	1	6
4	data	1:14:00::	1	noun.group	1	0	0	1	1	7
1	data	1:14:00::	1	noun.group	1	0	0	1	1	8
4	data	1:14:00::	1	noun.group	1	0	0	1	1	9
13	data	1:14:00::	1	noun.group	1	0	0	0	1	10
2	data	1:14:00::	1	noun.group	1	0	0	0	1	11
11	data	1:14:00::	1	noun.group	1	0	0	0	1	12
5	data	1:14:00::	1	noun.group	1	0	0	0	1	13
11	data	1:14:00::	1	noun.group	1	0	0	0	1	14
2	data	1:14:00::	1	noun.group	1	0	0	0	1	15
1	data	1:14:00::	1	noun.group	1	0	0	0	1	16
2	data	1:14:00::	1	noun.group	1	0	0	0	1	17
1	data	1:14:00::	1	noun.group	1	0	0	0	1	18
13	data	1:14:00::	1	noun.group	1	0	0	0	1	19
1	data	1:14:00::	1	noun.group	1	0	0	0	0	20
5	data	1:14:00::	1	noun.group	1	0	0	0	0	21
1	data	1:14:00::	1	noun.group	1	0	0	0	0	22
32	data	1:14:00::	1	noun.group	1	0	0	0	0	23
4	Data	1:14:00::	1	noun.group	1	0	0	0	0	24
10	data	1:14:00::	1	noun.group	2	2	2	2	2	25
10	data	1:14:00::	1	noun.group	2	2	2	2	2	26
2	data	1:14:00::	1	noun.group	2	2	2	2	2	27
14	data	1:14:00::	1	noun.group	2	0	2	2	2	28
6	data	1:14:00::	1	noun.group	2	0	2	2	2	29
7	data	1:14:00::	1	noun.group	2	0	0	2	2	30
1	data	1:14:00::	1	noun.group	2	0	0	2	2	31
50	data	1:14:00::	1	noun.group	2	0	0	2	2	32
1	data	1:14:00::	1	noun.group	2	0	0	2	2	33
39	data	1:14:00::	1	noun.group	2	0	0	2	2	34
9	data	1:14:00::	1	noun.group	2	0	0	0	2	35
34	data	1:14:00::	1	noun.group	2	0	0	0	2	36
17	data	1:14:00::	1	noun.group	2	0	0	0	2	37
11	data	1:14:00::	1	noun.group	2	0	0	0	2	38
9	data	1:14:00::	1	noun.group	2	0	0	0	2	39
25	data	1:14:00::	1	noun.group	2	0	0	0	2	40
9	data	1:14:00::	1	noun.group	2	0	0	0	2	41
3	data	1:14:00::	1	noun.group	2	0	0	0	2	42
11	data	1:14:00::	1	noun.group	2	0	0	0	2	43
4	data	1:14:00::	1	noun.group	2	0	0	0	2	44
1	data	1:14:00::	1	noun.group	2	0	0	0	0	45
3	data	1:14:00::	1	noun.group	2	0	0	0	0	46
1	data	1:14:00::	1	noun.group	2	0	0	0	0	47
8	data	1:14:00::	1	noun.group	2	0	0	0	0	48
4	Data	1:14:00::	1	noun.group	2	0	0	0	0	49
