position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
9	day	1:28:00::	1	noun.time	1	1	1	1	1	0
8	day	1:28:01::	3	noun.time	1	1	1	1	1	1
26	day	1:28:00::	1	noun.time	1	1	1	1	1	2
28	day	1:28:01::	3	noun.time	1	0	1	1	1	3
6	day	1:28:03::	2	noun.time	1	0	1	1	1	4
4	day	1:28:00::	1	noun.time	1	0	0	1	1	5
5	day	1:28:01::	3	noun.time	1	0	0	1	1	6
4	days	1:28:00::	1	noun.time	1	0	0	1	1	7
25	day	1:28:00::	1	noun.time	1	0	0	1	1	8
5	days	1:28:02::	4	noun.time	1	0	0	1	1	9
25	days	1:28:00::	1	noun.time	1	0	0	0	1	10
1	day	1:28:03::	2	noun.time	1	0	0	0	1	11
22	day	1:28:00::	1	noun.time	1	0	0	0	1	12
15	days	1:28:00::	1	noun.time	1	0	0	0	1	13
1	day	1:28:03::	2	noun.time	1	0	0	0	1	14
13	days	1:28:00::	1	noun.time	1	0	0	0	1	15
7	day	1:28:01::	3	noun.time	1	0	0	0	1	16
6	days	1:28:00::	1	noun.time	1	0	0	0	1	17
17	day	1:28:00::	1	noun.time	1	0	0	0	1	18
18	day	1:28:00::	1	noun.time	1	0	0	0	1	19
24	days	1:28:03::	2	noun.time	1	0	0	0	0	20
3	day	1:28:03::	2	noun.time	1	0	0	0	0	21
13	day	1:28:02::	4	noun.time	1	0	0	0	0	22
17	days	1:28:00::	1	noun.time	1	0	0	0	0	23
12	days	1:28:01::	3	noun.time	1	0	0	0	0	24
3	days	1:28:01::	3	noun.time	2	2	2	2	2	25
11	days	1:28:00::	1	noun.time	2	2	2	2	2	26
10	day	1:28:00::	1	noun.time	2	2	2	2	2	27
6	day	1:28:03::	2	noun.time	2	0	2	2	2	28
5	day	1:28:00::	1	noun.time	2	0	2	2	2	29
5	day	1:28:01::	3	noun.time	2	0	0	2	2	30
34	day	1:28:00::	1	noun.time	2	0	0	2	2	31
15	day	1:28:03::	2	noun.time	2	0	0	2	2	32
20	day	1:28:02::	4	noun.time	2	0	0	2	2	33
9	day	1:28:00::	1	noun.time	2	0	0	2	2	34
28	day	1:28:00::	1	noun.time	2	0	0	0	2	35
9	days	1:28:03::	2	noun.time	2	0	0	0	2	36
12	day	1:28:00::	1	noun.time	2	0	0	0	2	37
20	days	1:28:02::	4	noun.time	2	0	0	0	2	38
12	days	1:28:00::	1	noun.time	2	0	0	0	2	39
13	day	1:28:03::	2	noun.time	2	0	0	0	2	40
8	day	1:28:05::	6	noun.time	2	0	0	0	2	41
18	days	1:28:01::	3	noun.time	2	0	0	0	2	42
22	day	1:28:01::	3	noun.time	2	0	0	0	2	43
3	day	1:28:02::	4	noun.time	2	0	0	0	2	44
14	days	1:28:00::	1	noun.time	2	0	0	0	0	45
32	days	1:28:03::	2	noun.time	2	0	0	0	0	46
2	day	1:28:01::	3	noun.time	2	0	0	0	0	47
1	days	1:28:01::	3	noun.time	2	0	0	0	0	48
22	days	1:28:03::	2	noun.time	2	0	0	0	0	49
