position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
10	deal	2:41:09::	3	verb.social	1	1	1	1	1	0
16	dealing	2:31:10::	2	verb.cognition	1	1	1	1	1	1
13	deal	2:32:08::	1	verb.communication	1	1	1	1	1	2
9	deal	2:41:00::	4	verb.social	1	0	1	1	1	3
34	deal	2:41:04::	8	verb.social	1	0	1	1	1	4
54	dealt	2:40:01::	5	verb.possession	1	0	0	1	1	5
10	dealing	2:41:09::	3	verb.social	1	0	0	1	1	6
29	dealing	2:41:00::	4	verb.social	1	0	0	1	1	7
46	dealing	2:41:13::	7	verb.social	1	0	0	1	1	8
31	dealing	2:32:08::	1	verb.communication	1	0	0	1	1	9
14	deal	2:41:13::	7	verb.social	1	0	0	0	1	10
12	dealing	2:32:08::	1	verb.communication	1	0	0	0	1	11
22	dealing	2:31:10::	2	verb.cognition	1	0	0	0	1	12
43	deal	2:41:00::	4	verb.social	1	0	0	0	1	13
1	Dealing	2:40:02::	9	verb.possession	1	0	0	0	1	14
31	dealing	2:41:09::	3	verb.social	1	0	0	0	1	15
12	dealing	2:32:08::	1	verb.communication	1	0	0	0	1	16
15	dealt	2:41:09::	3	verb.social	1	0	0	0	1	17
5	deal	2:32:08::	1	verb.communication	1	0	0	0	1	18
2	deal	2:41:09::	3	verb.social	1	0	0	0	1	19
83	dealing	2:32:08::	1	verb.communication	1	0	0	0	0	20
28	dealt	2:32:08::	1	verb.communication	1	0	0	0	0	21
28	deals	2:32:08::	1	verb.communication	1	0	0	0	0	22
17	deal	2:32:08::	1	verb.communication	1	0	0	0	0	23
35	dealing	2:32:08::	1	verb.communication	1	0	0	0	0	24
25	dealing	2:41:00::	4	verb.social	2	2	2	2	2	25
8	dealt	2:32:08::	1	verb.communication	2	2	2	2	2	26
11	dealing	2:31:10::	2	verb.cognition	2	2	2	2	2	27
17	deal	2:41:00::	4	verb.social	2	0	2	2	2	28
18	deal	2:41:13::	7	verb.social	2	0	2	2	2	29
52	dealing	2:32:08::	1	verb.communication	2	0	0	2	2	30
21	dealing	2:32:08::	1	verb.communication	2	0	0	2	2	31
4	dealing	2:32:08::	1	verb.communication	2	0	0	2	2	32
5	dealt	2:41:09::	3	verb.social	2	0	0	2	2	33
15	deals	2:41:09::	3	verb.social	2	0	0	2	2	34
19	deal	2:41:09::	3	verb.social	2	0	0	0	2	35
17	dealing	2:31:10::	2	verb.cognition	2	0	0	0	2	36
6	dealing	2:41:09::	3	verb.social	2	0	0	0	2	37
32	deal	2:41:09::	3	verb.social	2	0	0	0	2	38
1	Dealing	2:40:02::	9	verb.possession	2	0	0	0	2	39
5	deal	2:40:00::	6	verb.possession	2	0	0	0	2	40
32	dealing	2:41:09::	3	verb.social	2	0	0	0	2	41
13	dealing	2:41:04::	8	verb.social	2	0	0	0	2	42
5	dealing	2:40:00::	6	verb.possession	2	0	0	0	2	43
9	dealt	2:32:08::	1	verb.communication	2	0	0	0	2	44
17	dealing	2:31:10::	2	verb.cognition	2	0	0	0	0	45
4	deal	2:32:08::	1	verb.communication	2	0	0	0	0	46
5	deal	2:41:00::	4	verb.social	2	0	0	0	0	47
38	dealt	2:32:08::	1	verb.communication	2	0	0	0	0	48
2	deal	2:31:10::	2	verb.cognition	2	0	0	0	0	49
