position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
11	death	1:11:00::	1	noun.event	1	1	1	1	1	0
27	death	1:11:00::	1	noun.event	1	1	1	1	1	1
18	death	1:11:00::	1	noun.event	1	1	1	1	1	2
5	death	1:11:00::	1	noun.event	1	0	1	1	1	3
32	death	1:11:00::	1	noun.event	1	0	1	1	1	4
11	death	1:11:00::	1	noun.event	1	0	0	1	1	5
6	death	1:11:00::	1	noun.event	1	0	0	1	1	6
64	death	1:11:00::	1	noun.event	1	0	0	1	1	7
11	death	1:11:00::	1	noun.event	1	0	0	1	1	8
11	death	1:11:00::	1	noun.event	1	0	0	1	1	9
9	death	1:11:00::	1	noun.event	1	0	0	0	1	10
2	death	1:11:00::	1	noun.event	1	0	0	0	1	11
1	death	1:11:00::	1	noun.event	1	0	0	0	1	12
13	death	1:11:00::	1	noun.event	1	0	0	0	1	13
13	death	1:11:00::	1	noun.event	1	0	0	0	1	14
1	death	1:11:00::	1	noun.event	1	0	0	0	1	15
4	death	1:11:00::	1	noun.event	1	0	0	0	1	16
5	death	1:11:00::	1	noun.event	1	0	0	0	1	17
9	death	1:11:00::	1	noun.event	1	0	0	0	1	18
10	death	1:11:00::	1	noun.event	1	0	0	0	1	19
5	death	1:11:00::	1	noun.event	1	0	0	0	0	20
19	death	1:11:00::	1	noun.event	1	0	0	0	0	21
12	death	1:11:00::	1	noun.event	1	0	0	0	0	22
3	death	1:11:00::	1	noun.event	1	0	0	0	0	23
74	death	1:11:00::	1	noun.event	1	0	0	0	0	24
3	death	1:26:00::	3	noun.state	2	2	2	2	2	25
4	death	1:19:00::	2	noun.phenomenon	2	2	2	2	2	26
4	death	1:19:00::	2	noun.phenomenon	2	2	2	2	2	27
33	death	1:26:00::	3	noun.state	2	0	2	2	2	28
7	death	1:28:00::	4	noun.time	2	0	2	2	2	29
17	death	1:19:00::	2	noun.phenomenon	2	0	0	2	2	30
5	death	1:19:00::	2	noun.phenomenon	2	0	0	2	2	31
6	death	1:26:00::	3	noun.state	2	0	0	2	2	32
25	death	1:19:00::	2	noun.phenomenon	2	0	0	2	2	33
17	deaths	1:28:00::	4	noun.time	2	0	0	2	2	34
0	Death	1:28:00::	4	noun.time	2	0	0	0	2	35
11	death	1:19:00::	2	noun.phenomenon	2	0	0	0	2	36
8	death	1:26:00::	3	noun.state	2	0	0	0	2	37
20	death	1:28:00::	4	noun.time	2	0	0	0	2	38
25	death	1:19:00::	2	noun.phenomenon	2	0	0	0	2	39
14	death	1:26:00::	3	noun.state	2	0	0	0	2	40
49	death	1:26:00::	3	noun.state	2	0	0	0	2	41
3	death	1:28:00::	4	noun.time	2	0	0	0	2	42
42	death	1:26:00::	3	noun.state	2	0	0	0	2	43
1	death	1:19:00::	2	noun.phenomenon	2	0	0	0	2	44
21	death	1:19:00::	2	noun.phenomenon	2	0	0	0	0	45
9	death	1:26:00::	3	noun.state	2	0	0	0	0	46
20	death	1:26:00::	3	noun.state	2	0	0	0	0	47
25	death	1:26:00::	3	noun.state	2	0	0	0	0	48
25	death	1:19:00::	2	noun.phenomenon	2	0	0	0	0	49
