position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
29	decide	2:31:00::	1	verb.cognition	1	1	1	1	1	0
2	decided	2:31:00::	1	verb.cognition	1	1	1	1	1	1
12	decided	2:31:00::	1	verb.cognition	1	1	1	1	1	2
4	decided	2:31:00::	1	verb.cognition	1	0	1	1	1	3
4	decided	2:31:00::	1	verb.cognition	1	0	1	1	1	4
8	decided	2:31:00::	1	verb.cognition	1	0	0	1	1	5
15	decided	2:31:00::	1	verb.cognition	1	0	0	1	1	6
9	decided	2:31:00::	1	verb.cognition	1	0	0	1	1	7
10	decided	2:31:00::	1	verb.cognition	1	0	0	1	1	8
24	decided	2:31:00::	1	verb.cognition	1	0	0	1	1	9
22	decided	2:31:00::	1	verb.cognition	1	0	0	0	1	10
2	decided	2:31:00::	1	verb.cognition	1	0	0	0	1	11
16	decided	2:31:00::	1	verb.cognition	1	0	0	0	1	12
12	decided	2:31:00::	1	verb.cognition	1	0	0	0	1	13
8	decide	2:31:00::	1	verb.cognition	1	0	0	0	1	14
10	decide	2:31:00::	1	verb.cognition	1	0	0	0	1	15
23	decided	2:31:00::	1	verb.cognition	1	0	0	0	1	16
4	decides	2:31:00::	1	verb.cognition	1	0	0	0	1	17
5	decided	2:31:00::	1	verb.cognition	1	0	0	0	1	18
22	decides	2:31:00::	1	verb.cognition	1	0	0	0	1	19
3	decide	2:31:00::	1	verb.cognition	1	0	0	0	0	20
8	decided	2:31:00::	1	verb.cognition	1	0	0	0	0	21
6	decided	2:31:00::	1	verb.cognition	1	0	0	0	0	22
4	decide	2:31:00::	1	verb.cognition	1	0	0	0	0	23
2	decided	2:31:00::	1	verb.cognition	1	0	0	0	0	24
10	decided	2:31:00::	1	verb.cognition	2	2	2	2	2	25
0	Decide	2:31:00::	1	verb.cognition	2	2	2	2	2	26
1	decided	2:31:00::	1	verb.cognition	2	2	2	2	2	27
1	decided	2:31:00::	1	verb.cognition	2	0	2	2	2	28
7	decided	2:31:00::	1	verb.cognition	2	0	2	2	2	29
7	decided	2:31:00::	1	verb.cognition	2	0	0	2	2	30
2	decided	2:31:00::	1	verb.cognition	2	0	0	2	2	31
1	deciding	2:31:00::	1	verb.cognition	2	0	0	2	2	32
12	decided	2:31:00::	1	verb.cognition	2	0	0	2	2	33
3	decided	2:31:00::	1	verb.cognition	2	0	0	2	2	34
12	decide	2:31:00::	1	verb.cognition	2	0	0	0	2	35
8	decided	2:31:00::	1	verb.cognition	2	0	0	0	2	36
15	decided	2:31:00::	1	verb.cognition	2	0	0	0	2	37
6	decided	2:31:00::	1	verb.cognition	2	0	0	0	2	38
33	decided	2:31:00::	1	verb.cognition	2	0	0	0	2	39
5	decided	2:31:01::	2	verb.cognition	2	0	0	0	2	40
6	decided	2:31:00::	1	verb.cognition	2	0	0	0	2	41
12	decided	2:31:00::	1	verb.cognition	2	0	0	0	2	42
20	decide	2:31:00::	1	verb.cognition	2	0	0	0	2	43
4	decided	2:31:00::	1	verb.cognition	2	0	0	0	2	44
33	decided	2:31:00::	1	verb.cognition	2	0	0	0	0	45
2	decided	2:31:00::	1	verb.cognition	2	0	0	0	0	46
5	decides	2:31:00::	1	verb.cognition	2	0	0	0	0	47
3	decide	2:31:00::	1	verb.cognition	2	0	0	0	0	48
5	decided	2:31:00::	1	verb.cognition	2	0	0	0	0	49
