position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
8	declared	2:32:05::	2	verb.communication	1	1	1	1	1	0
1	declared	2:32:00::	1	verb.communication	1	1	1	1	1	1
16	declaring	2:32:05::	2	verb.communication	1	1	1	1	1	2
16	declares	2:32:00::	1	verb.communication	1	0	1	1	1	3
2	declared	2:32:05::	2	verb.communication	1	0	1	1	1	4
11	declared	2:32:00::	1	verb.communication	1	0	0	1	1	5
1	declared	2:32:00::	1	verb.communication	1	0	0	1	1	6
12	declared	2:32:01::	3	verb.communication	1	0	0	1	1	7
19	declaring	2:32:01::	3	verb.communication	1	0	0	1	1	8
3	declared	2:32:05::	2	verb.communication	1	0	0	1	1	9
18	declared	2:32:05::	2	verb.communication	1	0	0	0	1	10
2	declared	2:32:00::	1	verb.communication	1	0	0	0	1	11
6	declared	2:32:00::	1	verb.communication	1	0	0	0	1	12
12	declared	2:32:02::	0	verb.communication	1	0	0	0	1	13
21	declared	2:32:00::	1	verb.communication	1	0	0	0	1	14
32	declared	2:32:01::	3	verb.communication	1	0	0	0	1	15
9	declared	2:32:02::	0	verb.communication	1	0	0	0	1	16
19	declare	2:32:00::	1	verb.communication	1	0	0	0	1	17
15	declare	2:32:00::	1	verb.communication	1	0	0	0	1	18
20	declared	2:32:01::	3	verb.communication	1	0	0	0	1	19
9	declares	2:32:00::	1	verb.communication	1	0	0	0	0	20
2	declared	2:32:05::	2	verb.communication	1	0	0	0	0	21
17	declared	2:32:05::	2	verb.communication	1	0	0	0	0	22
1	declares	2:32:00::	1	verb.communication	1	0	0	0	0	23
11	declares	2:32:00::	1	verb.communication	1	0	0	0	0	24
5	declaring	2:32:01::	3	verb.communication	2	2	2	2	2	25
26	declare	2:41:00::	5	verb.social	2	2	2	2	2	26
1	declared	2:32:01::	3	verb.communication	2	2	2	2	2	27
11	declared	2:32:00::	1	verb.communication	2	0	2	2	2	28
4	declared	2:32:00::	1	verb.communication	2	0	2	2	2	29
10	declared	2:32:00::	1	verb.communication	2	0	0	2	2	30
10	declared	2:32:00::	1	verb.communication	2	0	0	2	2	31
20	declaring	2:32:00::	1	verb.communication	2	0	0	2	2	32
14	declared	2:32:05::	2	verb.communication	2	0	0	2	2	33
22	declaring	2:32:04::	4	verb.communication	2	0	0	2	2	34
14	declared	2:32:04::	4	verb.communication	2	0	0	0	2	35
23	declared	2:32:05::	2	verb.communication	2	0	0	0	2	36
1	declared	2:32:01::	3	verb.communication	2	0	0	0	2	37
8	declared	2:32:04::	4	verb.communication	2	0	0	0	2	38
5	declared	2:32:01::	3	verb.communication	2	0	0	0	2	39
1	declared	2:32:00::	1	verb.communication	2	0	0	0	2	40
10	declare	2:32:04::	4	verb.communication	2	0	0	0	2	41
21	declared	2:32:04::	4	verb.communication	2	0	0	0	2	42
1	declared	2:32:05::	2	verb.communication	2	0	0	0	2	43
24	declares	2:32:04::	4	verb.communication	2	0	0	0	2	44
10	declare	2:32:04::	4	verb.communication	2	0	0	0	0	45
4	declared	2:32:02::	0	verb.communication	2	0	0	0	0	46
22	declared	2:32:01::	3	verb.communication	2	0	0	0	0	47
1	declaring	2:32:02::	0	verb.communication	2	0	0	0	0	48
23	declares	2:32:00::	1	verb.communication	2	0	0	0	0	49
