position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
5	degree	1:07:00::	1	noun.attribute	1	1	1	1	1	0
20	degrees	1:10:00::	3	noun.communication	1	1	1	1	1	1
27	degree	1:26:01::	2	noun.state	1	1	1	1	1	2
15	degree	1:07:00::	1	noun.attribute	1	0	1	1	1	3
21	degree	1:07:00::	1	noun.attribute	1	0	1	1	1	4
11	degree	1:07:00::	1	noun.attribute	1	0	0	1	1	5
49	degree	1:26:01::	2	noun.state	1	0	0	1	1	6
18	degree	1:07:00::	1	noun.attribute	1	0	0	1	1	7
12	degree	1:26:01::	2	noun.state	1	0	0	1	1	8
33	degree	1:07:00::	1	noun.attribute	1	0	0	1	1	9
3	degree	1:10:00::	3	noun.communication	1	0	0	0	1	10
17	degree	1:09:00::	5	noun.cognition	1	0	0	0	1	11
9	degree	1:07:00::	1	noun.attribute	1	0	0	0	1	12
11	degree	1:26:01::	2	noun.state	1	0	0	0	1	13
15	degree	1:07:00::	1	noun.attribute	1	0	0	0	1	14
13	degree	1:10:00::	3	noun.communication	1	0	0	0	1	15
1	degree	1:26:01::	2	noun.state	1	0	0	0	1	16
5	degree	1:10:00::	3	noun.communication	1	0	0	0	1	17
17	degree	1:26:01::	2	noun.state	1	0	0	0	1	18
11	degree	1:07:00::	1	noun.attribute	1	0	0	0	1	19
17	degree	1:07:00::	1	noun.attribute	1	0	0	0	0	20
37	degree	1:09:00::	5	noun.cognition	1	0	0	0	0	21
24	degree	1:26:01::	2	noun.state	1	0	0	0	0	22
19	degree	1:26:01::	2	noun.state	1	0	0	0	0	23
18	degrees	1:26:01::	2	noun.state	1	0	0	0	0	24
24	degree	1:07:00::	1	noun.attribute	2	2	2	2	2	25
37	degree	1:07:00::	1	noun.attribute	2	2	2	2	2	26
20	degree	1:09:00::	5	noun.cognition	2	2	2	2	2	27
28	degree	1:23:00::	4	noun.quantity	2	0	2	2	2	28
17	degree	1:23:00::	4	noun.quantity	2	0	2	2	2	29
23	degrees	1:07:00::	1	noun.attribute	2	0	0	2	2	30
32	degree	1:07:00::	1	noun.attribute	2	0	0	2	2	31
20	degree	1:26:01::	2	noun.state	2	0	0	2	2	32
12	degree	1:26:01::	2	noun.state	2	0	0	2	2	33
18	degree	1:07:00::	1	noun.attribute	2	0	0	2	2	34
3	degrees	1:10:00::	3	noun.communication	2	0	0	0	2	35
47	degree	1:26:01::	2	noun.state	2	0	0	0	2	36
16	degrees	1:10:00::	3	noun.communication	2	0	0	0	2	37
10	degree	1:10:00::	3	noun.communication	2	0	0	0	2	38
13	degree	1:10:00::	3	noun.communication	2	0	0	0	2	39
7	degree	1:23:00::	4	noun.quantity	2	0	0	0	2	40
5	degree	1:10:00::	3	noun.communication	2	0	0	0	2	41
29	degree	1:09:00::	5	noun.cognition	2	0	0	0	2	42
22	degree	1:07:00::	1	noun.attribute	2	0	0	0	2	43
6	degrees	1:10:00::	3	noun.communication	2	0	0	0	2	44
16	degree	1:09:00::	5	noun.cognition	2	0	0	0	0	45
22	degrees	1:23:00::	4	noun.quantity	2	0	0	0	0	46
4	degree	1:23:03::	6	noun.quantity	2	0	0	0	0	47
27	degrees	1:23:00::	4	noun.quantity	2	0	0	0	0	48
20	degree	1:10:00::	3	noun.communication	2	0	0	0	0	49
