position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
55	demanding	2:32:00::	1	verb.communication	1	1	1	1	1	0
21	demanded	2:42:00::	2	verb.stative	1	1	1	1	1	1
8	demanded	2:32:00::	1	verb.communication	1	1	1	1	1	2
2	demands	2:42:00::	2	verb.stative	1	0	1	1	1	3
19	demand	2:32:00::	1	verb.communication	1	0	1	1	1	4
16	demand	2:42:00::	2	verb.stative	1	0	0	1	1	5
70	demand	2:32:02::	3	verb.communication	1	0	0	1	1	6
7	demanded	2:32:00::	1	verb.communication	1	0	0	1	1	7
14	demanded	2:32:00::	1	verb.communication	1	0	0	1	1	8
15	demands	2:42:00::	2	verb.stative	1	0	0	1	1	9
1	demands	2:32:00::	1	verb.communication	1	0	0	0	1	10
6	demand	2:32:02::	3	verb.communication	1	0	0	0	1	11
12	demanded	2:42:00::	2	verb.stative	1	0	0	0	1	12
7	demanded	2:32:00::	1	verb.communication	1	0	0	0	1	13
8	demands	2:42:00::	2	verb.stative	1	0	0	0	1	14
30	demanded	2:42:00::	2	verb.stative	1	0	0	0	1	15
10	demanded	2:32:00::	1	verb.communication	1	0	0	0	1	16
34	demands	2:42:00::	2	verb.stative	1	0	0	0	1	17
88	demanded	2:42:00::	2	verb.stative	1	0	0	0	1	18
2	demanded	2:32:00::	1	verb.communication	1	0	0	0	1	19
5	demanded	2:32:02::	3	verb.communication	1	0	0	0	0	20
5	demand	2:32:00::	1	verb.communication	1	0	0	0	0	21
26	demand	2:42:00::	2	verb.stative	1	0	0	0	0	22
16	demanding	2:42:00::	2	verb.stative	1	0	0	0	0	23
30	demanded	2:32:00::	1	verb.communication	1	0	0	0	0	24
10	demands	2:42:00::	2	verb.stative	2	2	2	2	2	25
2	demanded	2:32:00::	1	verb.communication	2	2	2	2	2	26
27	demand	2:42:00::	2	verb.stative	2	2	2	2	2	27
12	demanded	2:42:00::	2	verb.stative	2	0	2	2	2	28
16	demands	2:42:00::	2	verb.stative	2	0	2	2	2	29
6	demanded	2:32:00::	1	verb.communication	2	0	0	2	2	30
11	demanded	2:32:00::	1	verb.communication	2	0	0	2	2	31
1	demanded	2:32:02::	3	verb.communication	2	0	0	2	2	32
16	demand	2:32:00::	1	verb.communication	2	0	0	2	2	33
4	demand	2:42:00::	2	verb.stative	2	0	0	2	2	34
39	demand	2:42:00::	2	verb.stative	2	0	0	0	2	35
24	demanding	2:32:00::	1	verb.communication	2	0	0	0	2	36
29	demand	2:32:00::	1	verb.communication	2	0	0	0	2	37
18	demand	2:42:00::	2	verb.stative	2	0	0	0	2	38
16	demands	2:42:00::	2	verb.stative	2	0	0	0	2	39
1	demanded	2:32:00::	1	verb.communication	2	0	0	0	2	40
12	demanded	2:32:00::	1	verb.communication	2	0	0	0	2	41
3	demands	2:32:00::	1	verb.communication	2	0	0	0	2	42
2	demanded	2:32:00::	1	verb.communication	2	0	0	0	2	43
8	demanded	2:32:00::	1	verb.communication	2	0	0	0	2	44
12	demanded	2:32:00::	1	verb.communication	2	0	0	0	0	45
9	demanded	2:32:00::	1	verb.communication	2	0	0	0	0	46
18	demanding	2:42:00::	2	verb.stative	2	0	0	0	0	47
3	demand	2:32:00::	1	verb.communication	2	0	0	0	0	48
33	demanded	2:32:00::	1	verb.communication	2	0	0	0	0	49
