position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
15	demonstrate	2:32:00::	3	verb.communication	1	1	1	1	1	0
8	demonstrate	2:39:01::	1	verb.perception	1	1	1	1	1	1
21	demonstrated	2:31:00::	2	verb.cognition	1	1	1	1	1	2
4	demonstrate	2:39:00::	0	verb.perception	1	0	1	1	1	3
15	demonstrated	2:31:00::	2	verb.cognition	1	0	1	1	1	4
1	demonstrated	2:31:00::	2	verb.cognition	1	0	0	1	1	5
12	demonstrating	2:39:01::	1	verb.perception	1	0	0	1	1	6
3	demonstrated	2:31:00::	2	verb.cognition	1	0	0	1	1	7
5	demonstrated	2:31:00::	2	verb.cognition	1	0	0	1	1	8
7	demonstrated	2:39:01::	1	verb.perception	1	0	0	1	1	9
9	demonstrate	2:31:00::	2	verb.cognition	1	0	0	0	1	10
10	demonstrate	2:31:00::	2	verb.cognition	1	0	0	0	1	11
9	demonstrated	2:31:00::	2	verb.cognition	1	0	0	0	1	12
3	demonstrates	2:31:00::	2	verb.cognition	1	0	0	0	1	13
2	demonstrated	2:31:00::	2	verb.cognition	1	0	0	0	1	14
27	demonstrate	2:39:01::	1	verb.perception	1	0	0	0	1	15
12	demonstrate	2:31:00::	2	verb.cognition	1	0	0	0	1	16
36	demonstrating	2:31:00::	2	verb.cognition	1	0	0	0	1	17
6	demonstrates	2:32:00::	3	verb.communication	1	0	0	0	1	18
21	demonstrate	2:41:00::	4	verb.social	1	0	0	0	1	19
36	demonstrate	2:39:01::	1	verb.perception	1	0	0	0	0	20
39	demonstrated	2:39:01::	1	verb.perception	1	0	0	0	0	21
8	demonstrated	2:39:01::	1	verb.perception	1	0	0	0	0	22
13	demonstrated	2:31:00::	2	verb.cognition	1	0	0	0	0	23
11	demonstrates	2:31:00::	2	verb.cognition	1	0	0	0	0	24
20	demonstrate	2:39:01::	1	verb.perception	2	2	2	2	2	25
0	Demonstrating	2:39:01::	1	verb.perception	2	2	2	2	2	26
12	demonstrated	2:39:00::	0	verb.perception	2	2	2	2	2	27
13	demonstrated	2:39:01::	1	verb.perception	2	0	2	2	2	28
7	demonstrated	2:39:01::	1	verb.perception	2	0	2	2	2	29
40	demonstrate	2:31:00::	2	verb.cognition	2	0	0	2	2	30
17	demonstrate	2:31:00::	2	verb.cognition	2	0	0	2	2	31
17	demonstrate	2:39:01::	1	verb.perception	2	0	0	2	2	32
4	demonstrate	2:39:00::	0	verb.perception	2	0	0	2	2	33
9	demonstrated	2:39:01::	1	verb.perception	2	0	0	2	2	34
15	demonstrate	2:39:01::	1	verb.perception	2	0	0	0	2	35
7	demonstrated	2:31:00::	2	verb.cognition	2	0	0	0	2	36
8	demonstrate	2:39:01::	1	verb.perception	2	0	0	0	2	37
9	demonstrated	2:31:00::	2	verb.cognition	2	0	0	0	2	38
22	demonstrated	2:39:00::	0	verb.perception	2	0	0	0	2	39
9	demonstrate	2:39:01::	1	verb.perception	2	0	0	0	2	40
11	demonstrated	2:39:01::	1	verb.perception	2	0	0	0	2	41
19	demonstrating	2:39:01::	1	verb.perception	2	0	0	0	2	42
12	demonstrate	2:39:01::	1	verb.perception	2	0	0	0	2	43
21	demonstrated	2:31:00::	2	verb.cognition	2	0	0	0	2	44
6	demonstrated	2:39:00::	0	verb.perception	2	0	0	0	0	45
6	demonstrated	2:39:01::	1	verb.perception	2	0	0	0	0	46
2	demonstrated	2:39:01::	1	verb.perception	2	0	0	0	0	47
14	demonstrated	2:39:01::	1	verb.perception	2	0	0	0	0	48
65	demonstrating	2:39:01::	1	verb.perception	2	0	0	0	0	49
