position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
3	denied	2:32:00::	1	verb.communication	1	1	1	1	1	0
2	deny	2:32:01::	2	verb.communication	1	1	1	1	1	1
3	denied	2:32:00::	1	verb.communication	1	1	1	1	1	2
8	denying	2:40:01::	3	verb.possession	1	0	1	1	1	3
7	deny	2:32:00::	1	verb.communication	1	0	1	1	1	4
13	deny	2:32:00::	1	verb.communication	1	0	0	1	1	5
18	denied	2:40:00::	4	verb.possession	1	0	0	1	1	6
3	deny	2:32:00::	1	verb.communication	1	0	0	1	1	7
6	denied	2:40:01::	3	verb.possession	1	0	0	1	1	8
8	deny	2:32:01::	2	verb.communication	1	0	0	1	1	9
2	deny	2:32:01::	2	verb.communication	1	0	0	0	1	10
13	denies	2:32:01::	2	verb.communication	1	0	0	0	1	11
18	deny	2:32:00::	1	verb.communication	1	0	0	0	1	12
24	denied	2:40:01::	3	verb.possession	1	0	0	0	1	13
12	deny	2:32:00::	1	verb.communication	1	0	0	0	1	14
9	denied	2:40:01::	3	verb.possession	1	0	0	0	1	15
14	deny	2:40:01::	3	verb.possession	1	0	0	0	1	16
2	deny	2:32:01::	2	verb.communication	1	0	0	0	1	17
9	denying	2:32:00::	1	verb.communication	1	0	0	0	1	18
1	denying	2:40:00::	4	verb.possession	1	0	0	0	1	19
13	deny	2:32:01::	2	verb.communication	1	0	0	0	0	20
10	deny	2:32:01::	2	verb.communication	1	0	0	0	0	21
2	deny	2:32:00::	1	verb.communication	1	0	0	0	0	22
3	denying	2:32:01::	2	verb.communication	1	0	0	0	0	23
3	deny	2:32:01::	2	verb.communication	1	0	0	0	0	24
2	denied	2:32:00::	1	verb.communication	2	2	2	2	2	25
15	denied	2:40:00::	4	verb.possession	2	2	2	2	2	26
9	denies	2:32:00::	1	verb.communication	2	2	2	2	2	27
22	deny	2:32:01::	2	verb.communication	2	0	2	2	2	28
27	deny	2:32:01::	2	verb.communication	2	0	2	2	2	29
29	denying	2:40:01::	3	verb.possession	2	0	0	2	2	30
15	deny	2:32:01::	2	verb.communication	2	0	0	2	2	31
7	deny	2:40:00::	4	verb.possession	2	0	0	2	2	32
4	deny	2:32:01::	2	verb.communication	2	0	0	2	2	33
13	denied	2:40:01::	3	verb.possession	2	0	0	2	2	34
11	denying	2:32:00::	1	verb.communication	2	0	0	0	2	35
6	denies	2:40:00::	4	verb.possession	2	0	0	0	2	36
3	denied	2:40:01::	3	verb.possession	2	0	0	0	2	37
72	deny	2:40:00::	4	verb.possession	2	0	0	0	2	38
57	denied	2:32:01::	2	verb.communication	2	0	0	0	2	39
23	deny	2:32:00::	1	verb.communication	2	0	0	0	2	40
24	denied	2:40:01::	3	verb.possession	2	0	0	0	2	41
5	denied	2:40:01::	3	verb.possession	2	0	0	0	2	42
26	deny	2:40:00::	4	verb.possession	2	0	0	0	2	43
16	deny	2:32:01::	2	verb.communication	2	0	0	0	2	44
55	denied	2:32:01::	2	verb.communication	2	0	0	0	0	45
11	deny	2:32:00::	1	verb.communication	2	0	0	0	0	46
3	denied	2:32:00::	1	verb.communication	2	0	0	0	0	47
3	denied	2:40:01::	3	verb.possession	2	0	0	0	0	48
28	denied	2:40:01::	3	verb.possession	2	0	0	0	0	49
