position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
11	designed	2:36:00::	4	verb.creation	1	1	1	1	1	0
17	designed	2:31:00::	2	verb.cognition	1	1	1	1	1	1
47	designing	2:36:00::	4	verb.creation	1	1	1	1	1	2
4	designed	2:31:00::	2	verb.cognition	1	0	1	1	1	3
1	Designs	2:36:01::	3	verb.creation	1	0	1	1	1	4
17	designed	2:36:01::	3	verb.creation	1	0	0	1	1	5
10	designed	2:36:00::	4	verb.creation	1	0	0	1	1	6
23	design	2:36:01::	3	verb.creation	1	0	0	1	1	7
11	designed	2:31:00::	2	verb.cognition	1	0	0	1	1	8
4	designed	2:31:00::	2	verb.cognition	1	0	0	1	1	9
5	designing	2:36:01::	3	verb.creation	1	0	0	0	1	10
6	designed	2:31:00::	2	verb.cognition	1	0	0	0	1	11
6	designed	2:36:00::	4	verb.creation	1	0	0	0	1	12
3	designed	2:36:01::	3	verb.creation	1	0	0	0	1	13
1	designing	2:36:01::	3	verb.creation	1	0	0	0	1	14
2	designed	2:31:00::	2	verb.cognition	1	0	0	0	1	15
23	designing	2:36:00::	4	verb.creation	1	0	0	0	1	16
2	designed	2:36:01::	3	verb.creation	1	0	0	0	1	17
12	designed	2:31:00::	2	verb.cognition	1	0	0	0	1	18
19	designed	2:31:00::	2	verb.cognition	1	0	0	0	1	19
41	designed	2:36:01::	3	verb.creation	1	0	0	0	0	20
20	designed	2:36:01::	3	verb.creation	1	0	0	0	0	21
6	designed	2:36:01::	3	verb.creation	1	0	0	0	0	22
5	designed	2:31:00::	2	verb.cognition	1	0	0	0	0	23
5	designed	2:31:00::	2	verb.cognition	1	0	0	0	0	24
40	designed	2:36:02::	1	verb.creation	2	2	2	2	2	25
5	designed	2:36:02::	1	verb.creation	2	2	2	2	2	26
40	designed	2:36:02::	1	verb.creation	2	2	2	2	2	27
4	designed	2:36:02::	1	verb.creation	2	0	2	2	2	28
11	designed	2:36:02::	1	verb.creation	2	0	2	2	2	29
8	designed	2:36:02::	1	verb.creation	2	0	0	2	2	30
6	designed	2:36:02::	1	verb.creation	2	0	0	2	2	31
3	designed	2:36:02::	1	verb.creation	2	0	0	2	2	32
9	designed	2:36:02::	1	verb.creation	2	0	0	2	2	33
4	designed	2:36:02::	1	verb.creation	2	0	0	2	2	34
22	designed	2:36:02::	1	verb.creation	2	0	0	0	2	35
68	designed	2:36:02::	1	verb.creation	2	0	0	0	2	36
35	designed	2:36:02::	1	verb.creation	2	0	0	0	2	37
7	designed	2:36:02::	1	verb.creation	2	0	0	0	2	38
19	designed	2:36:02::	1	verb.creation	2	0	0	0	2	39
6	designed	2:36:02::	1	verb.creation	2	0	0	0	2	40
6	designed	2:36:02::	1	verb.creation	2	0	0	0	2	41
7	designed	2:36:02::	1	verb.creation	2	0	0	0	2	42
5	designed	2:36:02::	1	verb.creation	2	0	0	0	2	43
3	designed	2:36:02::	1	verb.creation	2	0	0	0	2	44
11	designed	2:36:02::	1	verb.creation	2	0	0	0	0	45
40	designed	2:36:02::	1	verb.creation	2	0	0	0	0	46
25	designed	2:36:02::	1	verb.creation	2	0	0	0	0	47
10	designed	2:36:02::	1	verb.creation	2	0	0	0	0	48
8	designed	2:36:02::	1	verb.creation	2	0	0	0	0	49
