position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
15	destroying	2:35:00::	2	verb.contact	1	1	1	1	1	0
4	destroy	2:35:00::	2	verb.contact	1	1	1	1	1	1
19	destroy	2:35:00::	2	verb.contact	1	1	1	1	1	2
3	destroy	2:35:00::	2	verb.contact	1	0	1	1	1	3
12	destroyed	2:35:00::	2	verb.contact	1	0	1	1	1	4
13	destroyed	2:35:00::	2	verb.contact	1	0	0	1	1	5
8	destroy	2:35:00::	2	verb.contact	1	0	0	1	1	6
25	destroyed	2:35:00::	2	verb.contact	1	0	0	1	1	7
16	destroy	2:35:00::	2	verb.contact	1	0	0	1	1	8
4	destroyed	2:35:00::	2	verb.contact	1	0	0	1	1	9
34	destroy	2:35:00::	2	verb.contact	1	0	0	0	1	10
10	destroyed	2:35:00::	2	verb.contact	1	0	0	0	1	11
24	destroying	2:35:00::	2	verb.contact	1	0	0	0	1	12
3	destroy	2:35:00::	2	verb.contact	1	0	0	0	1	13
4	destroyed	2:35:00::	2	verb.contact	1	0	0	0	1	14
10	destroy	2:35:00::	2	verb.contact	1	0	0	0	1	15
16	destroyed	2:35:00::	2	verb.contact	1	0	0	0	1	16
25	destroyed	2:35:00::	2	verb.contact	1	0	0	0	1	17
8	destroy	2:35:00::	2	verb.contact	1	0	0	0	1	18
21	destroyed	2:35:00::	2	verb.contact	1	0	0	0	1	19
10	destroy	2:35:00::	2	verb.contact	1	0	0	0	0	20
47	destroyed	2:35:00::	2	verb.contact	1	0	0	0	0	21
17	destroying	2:35:00::	2	verb.contact	1	0	0	0	0	22
24	destroyed	2:35:00::	2	verb.contact	1	0	0	0	0	23
12	destroy	2:35:00::	2	verb.contact	1	0	0	0	0	24
33	destroy	2:36:00::	1	verb.creation	2	2	2	2	2	25
27	destroy	2:33:00::	3	verb.competition	2	2	2	2	2	26
13	destroyed	2:36:00::	1	verb.creation	2	2	2	2	2	27
16	destroy	2:36:00::	1	verb.creation	2	0	2	2	2	28
6	destroyed	2:36:00::	1	verb.creation	2	0	2	2	2	29
5	destroyed	2:36:00::	1	verb.creation	2	0	0	2	2	30
11	destroying	2:36:00::	1	verb.creation	2	0	0	2	2	31
19	destroyed	2:36:00::	1	verb.creation	2	0	0	2	2	32
27	destroyed	2:36:00::	1	verb.creation	2	0	0	2	2	33
18	destroying	2:36:00::	1	verb.creation	2	0	0	2	2	34
3	destroy	2:36:00::	1	verb.creation	2	0	0	0	2	35
19	destroy	2:36:00::	1	verb.creation	2	0	0	0	2	36
13	destroy	2:36:00::	1	verb.creation	2	0	0	0	2	37
45	destroyed	2:36:00::	1	verb.creation	2	0	0	0	2	38
23	destroy	2:36:00::	1	verb.creation	2	0	0	0	2	39
19	destroying	2:36:00::	1	verb.creation	2	0	0	0	2	40
16	destroying	2:36:00::	1	verb.creation	2	0	0	0	2	41
6	destroy	2:36:00::	1	verb.creation	2	0	0	0	2	42
42	destroy	2:36:00::	1	verb.creation	2	0	0	0	2	43
18	destroy	2:36:00::	1	verb.creation	2	0	0	0	2	44
14	destroying	2:36:00::	1	verb.creation	2	0	0	0	0	45
6	destroy	2:36:00::	1	verb.creation	2	0	0	0	0	46
73	destroyed	2:36:00::	1	verb.creation	2	0	0	0	0	47
10	destroyed	2:36:00::	1	verb.creation	2	0	0	0	0	48
36	destroy	2:36:00::	1	verb.creation	2	0	0	0	0	49
