position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
5	determined	2:31:02::	2	verb.cognition	1	1	1	1	1	0
49	determining	2:31:00::	5	verb.cognition	1	1	1	1	1	1
3	determining	2:31:03::	6	verb.cognition	1	1	1	1	1	2
4	determine	2:31:02::	2	verb.cognition	1	0	1	1	1	3
56	determined	2:31:01::	3	verb.cognition	1	0	1	1	1	4
5	determined	2:31:01::	3	verb.cognition	1	0	0	1	1	5
9	determined	2:31:00::	5	verb.cognition	1	0	0	1	1	6
18	determined	2:31:01::	3	verb.cognition	1	0	0	1	1	7
25	determine	2:31:02::	2	verb.cognition	1	0	0	1	1	8
1	determines	2:31:01::	3	verb.cognition	1	0	0	1	1	9
13	determined	2:31:02::	2	verb.cognition	1	0	0	0	1	10
21	determined	2:31:01::	3	verb.cognition	1	0	0	0	1	11
16	determine	2:31:00::	5	verb.cognition	1	0	0	0	1	12
12	determines	2:31:02::	2	verb.cognition	1	0	0	0	1	13
6	determined	2:31:02::	2	verb.cognition	1	0	0	0	1	14
16	determine	2:31:03::	6	verb.cognition	1	0	0	0	1	15
14	determined	2:31:03::	6	verb.cognition	1	0	0	0	1	16
2	determine	2:31:03::	6	verb.cognition	1	0	0	0	1	17
29	determines	2:31:00::	5	verb.cognition	1	0	0	0	1	18
19	determines	2:31:02::	2	verb.cognition	1	0	0	0	1	19
21	determining	2:31:01::	3	verb.cognition	1	0	0	0	0	20
42	determine	2:31:01::	3	verb.cognition	1	0	0	0	0	21
6	determine	2:31:03::	6	verb.cognition	1	0	0	0	0	22
14	determine	2:31:02::	2	verb.cognition	1	0	0	0	0	23
20	determining	2:31:02::	2	verb.cognition	1	0	0	0	0	24
0	Determine	2:32:00::	1	verb.communication	2	2	2	2	2	25
12	determine	2:32:00::	1	verb.communication	2	2	2	2	2	26
0	Determine	2:32:00::	1	verb.communication	2	2	2	2	2	27
3	determine	2:32:00::	1	verb.communication	2	0	2	2	2	28
0	Determine	2:32:00::	1	verb.communication	2	0	2	2	2	29
0	Determine	2:32:00::	1	verb.communication	2	0	0	2	2	30
4	determine	2:32:00::	1	verb.communication	2	0	0	2	2	31
4	determining	2:32:00::	1	verb.communication	2	0	0	2	2	32
26	determining	2:32:00::	1	verb.communication	2	0	0	2	2	33
0	Determine	2:32:00::	1	verb.communication	2	0	0	2	2	34
18	determined	2:32:00::	1	verb.communication	2	0	0	0	2	35
5	determine	2:32:00::	1	verb.communication	2	0	0	0	2	36
0	Determine	2:32:00::	1	verb.communication	2	0	0	0	2	37
21	determine	2:32:03::	4	verb.communication	2	0	0	0	2	38
7	determine	2:32:00::	1	verb.communication	2	0	0	0	2	39
2	determine	2:32:00::	1	verb.communication	2	0	0	0	2	40
4	determined	2:32:00::	1	verb.communication	2	0	0	0	2	41
61	determined	2:32:03::	4	verb.communication	2	0	0	0	2	42
22	determine	2:32:00::	1	verb.communication	2	0	0	0	2	43
13	determined	2:32:03::	4	verb.communication	2	0	0	0	2	44
9	determine	2:32:00::	1	verb.communication	2	0	0	0	0	45
23	determined	2:32:00::	1	verb.communication	2	0	0	0	0	46
24	determine	2:32:00::	1	verb.communication	2	0	0	0	0	47
9	determine	2:32:00::	1	verb.communication	2	0	0	0	0	48
3	determined	2:32:00::	1	verb.communication	2	0	0	0	0	49
