position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
10	develop	2:29:00::	4	verb.body	1	1	1	1	1	0
18	develop	2:36:00::	2	verb.creation	1	1	1	1	1	1
4	developed	2:36:00::	2	verb.creation	1	1	1	1	1	2
5	develop	2:36:00::	2	verb.creation	1	0	1	1	1	3
3	developed	2:36:00::	2	verb.creation	1	0	1	1	1	4
36	developing	2:42:00::	5	verb.stative	1	0	0	1	1	5
16	developed	2:42:00::	5	verb.stative	1	0	0	1	1	6
5	develop	2:36:00::	2	verb.creation	1	0	0	1	1	7
6	develop	2:36:00::	2	verb.creation	1	0	0	1	1	8
12	develop	2:36:00::	2	verb.creation	1	0	0	1	1	9
13	developed	2:29:00::	4	verb.body	1	0	0	0	1	10
7	developed	2:39:04::	0	verb.perception	1	0	0	0	1	11
21	develop	2:36:00::	2	verb.creation	1	0	0	0	1	12
13	develop	2:30:00::	10	verb.change	1	0	0	0	1	13
4	developed	2:29:00::	4	verb.body	1	0	0	0	1	14
16	developing	2:29:00::	4	verb.body	1	0	0	0	1	15
5	develop	2:36:00::	2	verb.creation	1	0	0	0	1	16
8	developed	2:36:00::	2	verb.creation	1	0	0	0	1	17
11	developed	2:36:00::	2	verb.creation	1	0	0	0	1	18
6	developed	2:36:00::	2	verb.creation	1	0	0	0	1	19
16	developed	2:42:00::	5	verb.stative	1	0	0	0	0	20
65	develop	2:31:00::	8	verb.cognition	1	0	0	0	0	21
9	developing	2:29:00::	4	verb.body	1	0	0	0	0	22
5	develop	2:36:00::	2	verb.creation	1	0	0	0	0	23
8	developed	2:29:00::	4	verb.body	1	0	0	0	0	24
0	Developed	2:30:04::	6	verb.change	2	2	2	2	2	25
22	developed	2:30:06::	3	verb.change	2	2	2	2	2	26
9	developed	2:36:01::	1	verb.creation	2	2	2	2	2	27
23	developing	2:30:06::	3	verb.change	2	0	2	2	2	28
2	develop	2:30:06::	3	verb.change	2	0	2	2	2	29
16	develop	2:30:06::	3	verb.change	2	0	0	2	2	30
5	developed	2:36:01::	1	verb.creation	2	0	0	2	2	31
8	developed	2:36:01::	1	verb.creation	2	0	0	2	2	32
41	developed	2:30:06::	3	verb.change	2	0	0	2	2	33
3	developed	2:36:01::	1	verb.creation	2	0	0	2	2	34
40	developed	2:30:06::	3	verb.change	2	0	0	0	2	35
17	develop	2:36:01::	1	verb.creation	2	0	0	0	2	36
45	developing	2:36:01::	1	verb.creation	2	0	0	0	2	37
23	develop	2:36:01::	1	verb.creation	2	0	0	0	2	38
11	developed	2:30:06::	3	verb.change	2	0	0	0	2	39
45	developed	2:36:01::	1	verb.creation	2	0	0	0	2	40
5	develop	2:30:06::	3	verb.change	2	0	0	0	2	41
28	develop	2:30:06::	3	verb.change	2	0	0	0	2	42
12	developed	2:30:04::	6	verb.change	2	0	0	0	2	43
20	develops	2:30:06::	3	verb.change	2	0	0	0	2	44
17	develop	2:30:04::	6	verb.change	2	0	0	0	0	45
8	developed	2:36:01::	1	verb.creation	2	0	0	0	0	46
19	develop	2:30:06::	3	verb.change	2	0	0	0	0	47
3	developed	2:36:01::	1	verb.creation	2	0	0	0	0	48
29	developed	2:36:01::	1	verb.creation	2	0	0	0	0	49
