position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
1	development	1:22:01::	3	noun.process	1	1	1	1	1	0
22	developments	1:22:02::	2	noun.process	1	1	1	1	1	1
2	development	1:22:02::	2	noun.process	1	1	1	1	1	2
17	development	1:04:01::	1	noun.act	1	0	1	1	1	3
20	development	1:22:01::	3	noun.process	1	0	1	1	1	4
16	development	1:22:02::	2	noun.process	1	0	0	1	1	5
16	development	1:04:01::	1	noun.act	1	0	0	1	1	6
9	development	1:22:02::	2	noun.process	1	0	0	1	1	7
17	development	1:22:02::	2	noun.process	1	0	0	1	1	8
13	development	1:22:02::	2	noun.process	1	0	0	1	1	9
24	development	1:04:01::	1	noun.act	1	0	0	0	1	10
0	Developments	1:11:01::	4	noun.event	1	0	0	0	1	11
19	development	1:22:02::	2	noun.process	1	0	0	0	1	12
28	development	1:22:02::	2	noun.process	1	0	0	0	1	13
11	development	1:04:01::	1	noun.act	1	0	0	0	1	14
2	development	1:04:01::	1	noun.act	1	0	0	0	1	15
139	development	1:04:01::	1	noun.act	1	0	0	0	1	16
44	development	1:22:02::	2	noun.process	1	0	0	0	1	17
22	development	1:04:01::	1	noun.act	1	0	0	0	1	18
7	developments	1:11:01::	4	noun.event	1	0	0	0	1	19
13	development	1:04:01::	1	noun.act	1	0	0	0	0	20
6	development	1:04:01::	1	noun.act	1	0	0	0	0	21
6	development	1:22:01::	3	noun.process	1	0	0	0	0	22
1	development	1:04:01::	1	noun.act	1	0	0	0	0	23
11	developments	1:15:00::	6	noun.location	1	0	0	0	0	24
3	development	1:11:01::	4	noun.event	2	2	2	2	2	25
7	development	1:04:01::	1	noun.act	2	2	2	2	2	26
6	developments	1:11:01::	4	noun.event	2	2	2	2	2	27
2	development	1:04:01::	1	noun.act	2	0	2	2	2	28
14	development	1:22:01::	3	noun.process	2	0	2	2	2	29
36	development	1:15:00::	6	noun.location	2	0	0	2	2	30
25	development	1:11:01::	4	noun.event	2	0	0	2	2	31
6	development	1:22:02::	2	noun.process	2	0	0	2	2	32
22	development	1:04:01::	1	noun.act	2	0	0	2	2	33
7	development	1:22:01::	3	noun.process	2	0	0	2	2	34
5	development	1:04:01::	1	noun.act	2	0	0	0	2	35
9	development	1:22:02::	2	noun.process	2	0	0	0	2	36
34	development	1:22:02::	2	noun.process	2	0	0	0	2	37
5	development	1:04:01::	1	noun.act	2	0	0	0	2	38
15	development	1:04:01::	1	noun.act	2	0	0	0	2	39
17	development	1:04:01::	1	noun.act	2	0	0	0	2	40
25	development	1:22:02::	2	noun.process	2	0	0	0	2	41
18	development	1:04:01::	1	noun.act	2	0	0	0	2	42
25	development	1:04:02::	5	noun.act	2	0	0	0	2	43
25	development	1:22:01::	3	noun.process	2	0	0	0	2	44
15	development	1:04:01::	1	noun.act	2	0	0	0	0	45
33	development	1:22:02::	2	noun.process	2	0	0	0	0	46
12	developments	1:11:01::	4	noun.event	2	0	0	0	0	47
42	development	1:04:01::	1	noun.act	2	0	0	0	0	48
31	development	1:04:01::	1	noun.act	2	0	0	0	0	49
