position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
3	die	2:30:00::	1	verb.change	1	1	1	1	1	0
9	died	2:30:00::	1	verb.change	1	1	1	1	1	1
25	died	2:30:00::	1	verb.change	1	1	1	1	1	2
1	died	2:30:00::	1	verb.change	1	0	1	1	1	3
5	die	2:30:00::	1	verb.change	1	0	1	1	1	4
10	die	2:30:00::	1	verb.change	1	0	0	1	1	5
18	died	2:30:00::	1	verb.change	1	0	0	1	1	6
3	dies	2:30:00::	1	verb.change	1	0	0	1	1	7
5	die	2:30:00::	1	verb.change	1	0	0	1	1	8
47	dies	2:30:00::	1	verb.change	1	0	0	1	1	9
18	die	2:30:00::	1	verb.change	1	0	0	0	1	10
4	dying	2:30:00::	1	verb.change	1	0	0	0	1	11
7	died	2:30:00::	1	verb.change	1	0	0	0	1	12
3	die	2:30:00::	1	verb.change	1	0	0	0	1	13
3	die	2:30:00::	1	verb.change	1	0	0	0	1	14
6	died	2:30:00::	1	verb.change	1	0	0	0	1	15
31	die	2:30:00::	1	verb.change	1	0	0	0	1	16
11	died	2:30:00::	1	verb.change	1	0	0	0	1	17
2	die	2:30:00::	1	verb.change	1	0	0	0	1	18
11	die	2:30:00::	1	verb.change	1	0	0	0	1	19
6	die	2:30:00::	1	verb.change	1	0	0	0	0	20
37	die	2:30:00::	1	verb.change	1	0	0	0	0	21
13	died	2:30:00::	1	verb.change	1	0	0	0	0	22
15	dying	2:30:00::	1	verb.change	1	0	0	0	0	23
4	died	2:30:00::	1	verb.change	1	0	0	0	0	24
11	died	2:30:00::	1	verb.change	2	2	2	2	2	25
3	dies	2:30:00::	1	verb.change	2	2	2	2	2	26
4	died	2:30:00::	1	verb.change	2	2	2	2	2	27
20	dies	2:30:00::	1	verb.change	2	0	2	2	2	28
26	die	2:30:00::	1	verb.change	2	0	2	2	2	29
5	die	2:30:00::	1	verb.change	2	0	0	2	2	30
14	died	2:30:00::	1	verb.change	2	0	0	2	2	31
18	died	2:30:00::	1	verb.change	2	0	0	2	2	32
32	dies	2:30:00::	1	verb.change	2	0	0	2	2	33
27	died	2:30:00::	1	verb.change	2	0	0	2	2	34
2	die	2:30:00::	1	verb.change	2	0	0	0	2	35
54	dying	2:30:00::	1	verb.change	2	0	0	0	2	36
41	die	2:30:00::	1	verb.change	2	0	0	0	2	37
11	die	2:30:00::	1	verb.change	2	0	0	0	2	38
21	died	2:30:00::	1	verb.change	2	0	0	0	2	39
9	died	2:30:00::	1	verb.change	2	0	0	0	2	40
34	dying	2:30:00::	1	verb.change	2	0	0	0	2	41
27	die	2:30:00::	1	verb.change	2	0	0	0	2	42
17	died	2:30:00::	1	verb.change	2	0	0	0	2	43
11	dying	2:30:00::	1	verb.change	2	0	0	0	2	44
28	die	2:30:00::	1	verb.change	2	0	0	0	0	45
29	died	2:30:00::	1	verb.change	2	0	0	0	0	46
34	died	2:30:00::	1	verb.change	2	0	0	0	0	47
21	died	2:30:00::	1	verb.change	2	0	0	0	0	48
14	die	2:30:00::	1	verb.change	2	0	0	0	0	49
