position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
7	differences	1:07:00::	1	noun.attribute	1	1	1	1	1	0
2	differences	1:07:00::	1	noun.attribute	1	1	1	1	1	1
23	differences	1:07:00::	1	noun.attribute	1	1	1	1	1	2
52	difference	1:11:00::	2	noun.event	1	0	1	1	1	3
12	differences	1:07:00::	1	noun.attribute	1	0	1	1	1	4
1	difference	1:07:00::	1	noun.attribute	1	0	0	1	1	5
12	difference	1:24:00::	4	noun.relation	1	0	0	1	1	6
20	difference	1:09:00::	0	noun.cognition	1	0	0	1	1	7
8	differences	1:07:00::	1	noun.attribute	1	0	0	1	1	8
2	difference	1:07:00::	1	noun.attribute	1	0	0	1	1	9
13	difference	1:09:00::	0	noun.cognition	1	0	0	0	1	10
1	difference	1:11:00::	2	noun.event	1	0	0	0	1	11
1	difference	1:11:00::	2	noun.event	1	0	0	0	1	12
10	difference	1:07:00::	1	noun.attribute	1	0	0	0	1	13
2	differences	1:07:00::	1	noun.attribute	1	0	0	0	1	14
30	difference	1:07:00::	1	noun.attribute	1	0	0	0	1	15
2	difference	1:09:00::	0	noun.cognition	1	0	0	0	1	16
15	difference	1:07:00::	1	noun.attribute	1	0	0	0	1	17
29	differences	1:07:00::	1	noun.attribute	1	0	0	0	1	18
35	differences	1:07:00::	1	noun.attribute	1	0	0	0	1	19
8	differences	1:11:00::	2	noun.event	1	0	0	0	0	20
50	differences	1:07:00::	1	noun.attribute	1	0	0	0	0	21
13	differences	1:07:00::	1	noun.attribute	1	0	0	0	0	22
33	difference	1:09:00::	0	noun.cognition	1	0	0	0	0	23
15	differences	1:07:00::	1	noun.attribute	1	0	0	0	0	24
14	differences	1:11:00::	2	noun.event	0	0	0	0	0	25
3	difference	1:07:00::	1	noun.attribute	0	0	0	0	0	26
4	differences	1:07:00::	1	noun.attribute	0	0	0	0	0	27
12	difference	1:07:00::	1	noun.attribute	0	0	0	0	0	28
21	difference	1:09:00::	0	noun.cognition	0	0	0	0	0	29
57	difference	1:07:00::	1	noun.attribute	0	0	0	0	0	30
7	difference	1:09:00::	0	noun.cognition	0	0	0	0	0	31
5	difference	1:07:00::	1	noun.attribute	0	0	0	0	0	32
30	difference	1:07:00::	1	noun.attribute	0	0	0	0	0	33
5	differences	1:07:00::	1	noun.attribute	0	0	0	0	0	34
5	difference	1:07:00::	1	noun.attribute	0	0	0	0	0	35
47	difference	1:07:00::	1	noun.attribute	0	0	0	0	0	36
9	differences	1:07:00::	1	noun.attribute	0	0	0	0	0	37
20	differences	1:07:00::	1	noun.attribute	0	0	0	0	0	38
2	difference	1:07:00::	1	noun.attribute	0	0	0	0	0	39
5	difference	1:11:00::	2	noun.event	0	0	0	0	0	40
1	differences	1:07:00::	1	noun.attribute	0	0	0	0	0	41
16	difference	1:07:00::	1	noun.attribute	0	0	0	0	0	42
45	difference	1:09:00::	0	noun.cognition	0	0	0	0	0	43
9	difference	1:07:00::	1	noun.attribute	0	0	0	0	0	44
32	difference	1:07:00::	1	noun.attribute	0	0	0	0	0	45
1	differences	1:07:00::	1	noun.attribute	0	0	0	0	0	46
2	difference	1:07:00::	1	noun.attribute	0	0	0	0	0	47
10	differences	1:07:00::	1	noun.attribute	0	0	0	0	0	48
49	difference	1:09:00::	0	noun.cognition	0	0	0	0	0	49
7	difference	1:11:00::	2	noun.event	0	0	0	0	0	50
6	difference	1:09:00::	0	noun.cognition	0	0	0	0	0	51
