position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
23	different	3:00:00::	1	adj.all	1	1	1	1	1	0
7	different	5:00:00:other:00	2	adj.all	1	1	1	1	1	1
5	different	5:00:00:other:00	2	adj.all	1	1	1	1	1	2
9	different	3:00:00::	1	adj.all	1	0	1	1	1	3
7	different	3:00:00::	1	adj.all	1	0	1	1	1	4
32	different	5:00:00:other:00	2	adj.all	1	0	0	1	1	5
11	different	3:00:00::	1	adj.all	1	0	0	1	1	6
8	different	3:00:00::	1	adj.all	1	0	0	1	1	7
26	different	3:00:00::	1	adj.all	1	0	0	1	1	8
6	different	3:00:00::	1	adj.all	1	0	0	1	1	9
32	different	5:00:00:other:00	2	adj.all	1	0	0	0	1	10
12	different	5:00:00:other:00	2	adj.all	1	0	0	0	1	11
16	different	5:00:00:other:00	2	adj.all	1	0	0	0	1	12
10	different	3:00:00::	1	adj.all	1	0	0	0	1	13
7	different	3:00:00::	1	adj.all	1	0	0	0	1	14
27	different	5:00:00:other:00	2	adj.all	1	0	0	0	1	15
11	different	5:00:00:other:00	2	adj.all	1	0	0	0	1	16
0	Different	3:00:00::	1	adj.all	1	0	0	0	1	17
4	different	3:00:00::	1	adj.all	1	0	0	0	1	18
7	different	5:00:00:other:00	2	adj.all	1	0	0	0	1	19
25	different	3:00:00::	1	adj.all	1	0	0	0	0	20
10	different	3:00:00::	1	adj.all	1	0	0	0	0	21
9	different	3:00:00::	1	adj.all	1	0	0	0	0	22
4	different	3:00:00::	1	adj.all	1	0	0	0	0	23
19	different	5:00:00:other:00	2	adj.all	1	0	0	0	0	24
10	different	3:00:00::	1	adj.all	2	2	2	2	2	25
15	different	5:00:00:other:00	2	adj.all	2	2	2	2	2	26
21	different	3:00:00::	1	adj.all	2	2	2	2	2	27
7	different	5:00:00:other:00	2	adj.all	2	0	2	2	2	28
13	different	3:00:00::	1	adj.all	2	0	2	2	2	29
15	different	3:00:00::	1	adj.all	2	0	0	2	2	30
6	different	5:00:00:other:00	2	adj.all	2	0	0	2	2	31
16	different	3:00:00::	1	adj.all	2	0	0	2	2	32
23	different	3:00:00::	1	adj.all	2	0	0	2	2	33
17	different	3:00:00::	1	adj.all	2	0	0	2	2	34
21	different	5:00:00:other:00	2	adj.all	2	0	0	0	2	35
31	different	3:00:00::	1	adj.all	2	0	0	0	2	36
14	different	3:00:00::	1	adj.all	2	0	0	0	2	37
8	different	5:00:00:other:00	2	adj.all	2	0	0	0	2	38
19	different	3:00:02::	4	adj.all	2	0	0	0	2	39
4	different	3:00:00::	1	adj.all	2	0	0	0	2	40
28	different	3:00:00::	1	adj.all	2	0	0	0	2	41
13	different	3:00:00::	1	adj.all	2	0	0	0	2	42
17	different	5:00:00:other:00	2	adj.all	2	0	0	0	2	43
4	different	3:00:00::	1	adj.all	2	0	0	0	2	44
13	different	3:00:00::	1	adj.all	2	0	0	0	0	45
12	different	3:00:00::	1	adj.all	2	0	0	0	0	46
36	different	5:00:00:other:00	2	adj.all	2	0	0	0	0	47
4	different	3:00:00::	1	adj.all	2	0	0	0	0	48
22	different	3:00:00::	1	adj.all	2	0	0	0	0	49
