position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
18	difficult	3:00:00::	1	adj.all	1	1	1	1	1	0
5	difficult	3:00:00::	1	adj.all	1	1	1	1	1	1
6	difficult	3:00:00::	1	adj.all	1	1	1	1	1	2
17	difficult	3:00:00::	1	adj.all	1	0	1	1	1	3
51	difficult	3:00:00::	1	adj.all	1	0	1	1	1	4
32	difficult	3:00:00::	1	adj.all	1	0	0	1	1	5
13	difficult	3:00:00::	1	adj.all	1	0	0	1	1	6
7	difficult	3:00:00::	1	adj.all	1	0	0	1	1	7
10	difficult	3:00:00::	1	adj.all	1	0	0	1	1	8
3	difficult	3:00:00::	1	adj.all	1	0	0	1	1	9
10	difficult	3:00:00::	1	adj.all	1	0	0	0	1	10
6	difficult	3:00:00::	1	adj.all	1	0	0	0	1	11
6	difficult	3:00:00::	1	adj.all	1	0	0	0	1	12
15	difficult	3:00:00::	1	adj.all	1	0	0	0	1	13
4	difficult	3:00:00::	1	adj.all	1	0	0	0	1	14
12	difficult	3:00:00::	1	adj.all	1	0	0	0	1	15
36	difficult	3:00:00::	1	adj.all	1	0	0	0	1	16
8	difficult	3:00:00::	1	adj.all	1	0	0	0	1	17
2	difficult	3:00:00::	1	adj.all	1	0	0	0	1	18
14	difficult	3:00:00::	1	adj.all	1	0	0	0	1	19
7	difficult	3:00:00::	1	adj.all	1	0	0	0	0	20
9	difficult	3:00:00::	1	adj.all	1	0	0	0	0	21
39	difficult	3:00:00::	1	adj.all	1	0	0	0	0	22
7	difficult	3:00:00::	1	adj.all	1	0	0	0	0	23
18	difficult	3:00:00::	1	adj.all	1	0	0	0	0	24
27	difficult	3:00:00::	1	adj.all	2	2	2	2	2	25
13	difficult	3:00:00::	1	adj.all	2	2	2	2	2	26
9	difficult	3:00:00::	1	adj.all	2	2	2	2	2	27
7	difficult	3:00:00::	1	adj.all	2	0	2	2	2	28
3	difficult	3:00:00::	1	adj.all	2	0	2	2	2	29
3	difficult	3:00:00::	1	adj.all	2	0	0	2	2	30
9	difficult	3:00:00::	1	adj.all	2	0	0	2	2	31
18	difficult	3:00:00::	1	adj.all	2	0	0	2	2	32
14	difficult	3:00:00::	1	adj.all	2	0	0	2	2	33
13	difficult	3:00:00::	1	adj.all	2	0	0	2	2	34
45	difficult	3:00:00::	1	adj.all	2	0	0	0	2	35
18	difficult	5:00:00:effortful:00	0	adj.all	2	0	0	0	2	36
5	difficult	3:00:00::	1	adj.all	2	0	0	0	2	37
20	difficult	3:00:00::	1	adj.all	2	0	0	0	2	38
12	difficult	3:00:00::	1	adj.all	2	0	0	0	2	39
12	difficult	3:00:00::	1	adj.all	2	0	0	0	2	40
35	difficult	3:00:00::	1	adj.all	2	0	0	0	2	41
29	difficult	3:00:00::	1	adj.all	2	0	0	0	2	42
18	difficult	3:00:00::	1	adj.all	2	0	0	0	2	43
4	difficult	3:00:00::	1	adj.all	2	0	0	0	2	44
4	difficult	3:00:00::	1	adj.all	2	0	0	0	0	45
9	difficult	3:00:00::	1	adj.all	2	0	0	0	0	46
8	difficult	3:00:00::	1	adj.all	2	0	0	0	0	47
4	difficult	3:00:00::	1	adj.all	2	0	0	0	0	48
8	difficult	3:00:00::	1	adj.all	2	0	0	0	0	49
