position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
23	direct	2:32:00::	1	verb.communication	1	1	1	1	1	0
19	direct	2:38:00::	5	verb.motion	1	1	1	1	1	1
16	direct	2:38:00::	5	verb.motion	1	1	1	1	1	2
10	direct	2:32:00::	1	verb.communication	1	0	1	1	1	3
22	directed	2:32:00::	1	verb.communication	1	0	1	1	1	4
21	directed	2:32:00::	1	verb.communication	1	0	0	1	1	5
5	directed	2:33:00::	7	verb.competition	1	0	0	1	1	6
33	directs	2:36:02::	8	verb.creation	1	0	0	1	1	7
5	directed	2:32:00::	1	verb.communication	1	0	0	1	1	8
9	direct	2:33:00::	7	verb.competition	1	0	0	1	1	9
3	directed	2:32:00::	1	verb.communication	1	0	0	0	1	10
5	directed	2:32:00::	1	verb.communication	1	0	0	0	1	11
12	directed	2:32:00::	1	verb.communication	1	0	0	0	1	12
13	directed	2:32:00::	1	verb.communication	1	0	0	0	1	13
9	directing	2:32:01::	9	verb.communication	1	0	0	0	1	14
21	directing	2:38:00::	5	verb.motion	1	0	0	0	1	15
12	directed	2:33:00::	7	verb.competition	1	0	0	0	1	16
152	directed	2:32:00::	1	verb.communication	1	0	0	0	1	17
20	directed	2:31:01::	10	verb.cognition	1	0	0	0	1	18
18	directed	2:36:02::	8	verb.creation	1	0	0	0	1	19
22	directed	2:32:00::	1	verb.communication	1	0	0	0	0	20
6	directed	2:38:00::	5	verb.motion	1	0	0	0	0	21
4	directed	2:32:00::	1	verb.communication	1	0	0	0	0	22
51	directed	2:32:00::	1	verb.communication	1	0	0	0	0	23
8	directed	2:32:00::	1	verb.communication	1	0	0	0	0	24
0	Directed	2:36:00::	3	verb.creation	2	2	2	2	2	25
11	direct	2:33:01::	2	verb.competition	2	2	2	2	2	26
2	directed	2:36:00::	3	verb.creation	2	2	2	2	2	27
19	directed	2:36:00::	3	verb.creation	2	0	2	2	2	28
1	directed	2:36:00::	3	verb.creation	2	0	2	2	2	29
31	directed	2:38:01::	6	verb.motion	2	0	0	2	2	30
15	direct	2:41:00::	4	verb.social	2	0	0	2	2	31
38	directed	2:33:01::	2	verb.competition	2	0	0	2	2	32
13	directed	2:36:00::	3	verb.creation	2	0	0	2	2	33
11	directed	2:36:00::	3	verb.creation	2	0	0	2	2	34
17	directed	2:38:01::	6	verb.motion	2	0	0	0	2	35
14	directed	2:33:01::	2	verb.competition	2	0	0	0	2	36
6	directed	2:33:01::	2	verb.competition	2	0	0	0	2	37
0	Directed	2:36:00::	3	verb.creation	2	0	0	0	2	38
39	directed	2:36:00::	3	verb.creation	2	0	0	0	2	39
11	directed	2:33:01::	2	verb.competition	2	0	0	0	2	40
22	directed	2:33:01::	2	verb.competition	2	0	0	0	2	41
22	directed	2:36:00::	3	verb.creation	2	0	0	0	2	42
47	direct	2:38:01::	6	verb.motion	2	0	0	0	2	43
20	directed	2:36:00::	3	verb.creation	2	0	0	0	2	44
2	directed	2:36:00::	3	verb.creation	2	0	0	0	0	45
16	directed	2:33:01::	2	verb.competition	2	0	0	0	0	46
12	directed	2:33:01::	2	verb.competition	2	0	0	0	0	47
16	directed	2:33:01::	2	verb.competition	2	0	0	0	0	48
13	directed	2:33:01::	2	verb.competition	2	0	0	0	0	49
