position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
4	discovered	2:36:00::	3	verb.creation	1	1	1	1	1	0
25	discovered	2:36:00::	3	verb.creation	1	1	1	1	1	1
5	discover	2:39:03::	1	verb.perception	1	1	1	1	1	2
1	discovered	2:36:00::	3	verb.creation	1	0	1	1	1	3
2	discover	2:31:01::	2	verb.cognition	1	0	1	1	1	4
3	discovered	2:36:00::	3	verb.creation	1	0	0	1	1	5
10	discover	2:31:01::	2	verb.cognition	1	0	0	1	1	6
11	discovered	2:40:00::	5	verb.possession	1	0	0	1	1	7
16	discovered	2:31:00::	4	verb.cognition	1	0	0	1	1	8
19	discovered	2:31:01::	2	verb.cognition	1	0	0	1	1	9
13	discovered	2:36:00::	3	verb.creation	1	0	0	0	1	10
17	discovering	2:31:01::	2	verb.cognition	1	0	0	0	1	11
2	discovered	2:39:03::	1	verb.perception	1	0	0	0	1	12
27	discover	2:36:00::	3	verb.creation	1	0	0	0	1	13
5	discover	2:31:01::	2	verb.cognition	1	0	0	0	1	14
16	discover	2:31:00::	4	verb.cognition	1	0	0	0	1	15
32	discover	2:31:00::	4	verb.cognition	1	0	0	0	1	16
4	discovered	2:31:01::	2	verb.cognition	1	0	0	0	1	17
1	discovered	2:31:00::	4	verb.cognition	1	0	0	0	1	18
13	discovered	2:36:00::	3	verb.creation	1	0	0	0	1	19
4	discovered	2:31:01::	2	verb.cognition	1	0	0	0	0	20
11	discovered	2:31:00::	4	verb.cognition	1	0	0	0	0	21
14	discovering	2:31:00::	4	verb.cognition	1	0	0	0	0	22
20	discovered	2:40:00::	5	verb.possession	1	0	0	0	0	23
2	discovered	2:36:00::	3	verb.creation	1	0	0	0	0	24
2	discovering	2:36:00::	3	verb.creation	2	2	2	2	2	25
11	discover	2:39:03::	1	verb.perception	2	2	2	2	2	26
6	discover	2:31:01::	2	verb.cognition	2	2	2	2	2	27
50	discover	2:39:03::	1	verb.perception	2	0	2	2	2	28
2	discovered	2:39:03::	1	verb.perception	2	0	2	2	2	29
6	discovered	2:39:03::	1	verb.perception	2	0	0	2	2	30
4	discover	2:39:03::	1	verb.perception	2	0	0	2	2	31
6	discovered	2:31:01::	2	verb.cognition	2	0	0	2	2	32
4	discovered	2:40:00::	5	verb.possession	2	0	0	2	2	33
20	discover	2:36:00::	3	verb.creation	2	0	0	2	2	34
12	discover	2:31:00::	4	verb.cognition	2	0	0	0	2	35
20	discover	2:32:04::	6	verb.communication	2	0	0	0	2	36
15	discovered	2:36:00::	3	verb.creation	2	0	0	0	2	37
9	discovered	2:39:03::	1	verb.perception	2	0	0	0	2	38
4	discover	2:31:01::	2	verb.cognition	2	0	0	0	2	39
16	discovered	2:39:03::	1	verb.perception	2	0	0	0	2	40
6	discover	2:36:00::	3	verb.creation	2	0	0	0	2	41
5	discovered	2:31:00::	4	verb.cognition	2	0	0	0	2	42
10	discover	2:31:01::	2	verb.cognition	2	0	0	0	2	43
4	discovered	2:36:00::	3	verb.creation	2	0	0	0	2	44
16	discovered	2:39:03::	1	verb.perception	2	0	0	0	0	45
3	discovered	2:32:04::	6	verb.communication	2	0	0	0	0	46
4	discovered	2:31:01::	2	verb.cognition	2	0	0	0	0	47
12	discover	2:31:01::	2	verb.cognition	2	0	0	0	0	48
43	discover	2:40:00::	5	verb.possession	2	0	0	0	0	49
