position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
4	discussed	2:32:01::	1	verb.communication	1	1	1	1	1	0
1	discussed	2:32:00::	2	verb.communication	1	1	1	1	1	1
25	discuss	2:32:01::	1	verb.communication	1	1	1	1	1	2
4	discussed	2:32:01::	1	verb.communication	1	0	1	1	1	3
10	discussed	2:32:01::	1	verb.communication	1	0	1	1	1	4
25	discussed	2:32:00::	2	verb.communication	1	0	0	1	1	5
3	discussing	2:32:01::	1	verb.communication	1	0	0	1	1	6
35	discussed	2:32:01::	1	verb.communication	1	0	0	1	1	7
18	discussed	2:32:01::	1	verb.communication	1	0	0	1	1	8
6	discussed	2:32:01::	1	verb.communication	1	0	0	1	1	9
21	discuss	2:32:01::	1	verb.communication	1	0	0	0	1	10
13	discussed	2:32:01::	1	verb.communication	1	0	0	0	1	11
3	discusses	2:32:01::	1	verb.communication	1	0	0	0	1	12
3	discussing	2:32:01::	1	verb.communication	1	0	0	0	1	13
8	discussed	2:32:00::	2	verb.communication	1	0	0	0	1	14
6	discussing	2:32:00::	2	verb.communication	1	0	0	0	1	15
11	discussed	2:32:01::	1	verb.communication	1	0	0	0	1	16
4	discussing	2:32:00::	2	verb.communication	1	0	0	0	1	17
8	discussed	2:32:01::	1	verb.communication	1	0	0	0	1	18
11	discussed	2:32:01::	1	verb.communication	1	0	0	0	1	19
12	discussing	2:32:00::	2	verb.communication	1	0	0	0	0	20
1	discussed	2:32:01::	1	verb.communication	1	0	0	0	0	21
12	discuss	2:32:01::	1	verb.communication	1	0	0	0	0	22
26	discussed	2:32:00::	2	verb.communication	1	0	0	0	0	23
50	discussed	2:32:01::	1	verb.communication	1	0	0	0	0	24
28	discussed	2:32:01::	1	verb.communication	2	2	2	2	2	25
22	discussed	2:32:01::	1	verb.communication	2	2	2	2	2	26
7	discussed	2:32:01::	1	verb.communication	2	2	2	2	2	27
16	discuss	2:32:00::	2	verb.communication	2	0	2	2	2	28
9	discussing	2:32:01::	1	verb.communication	2	0	2	2	2	29
2	discuss	2:32:01::	1	verb.communication	2	0	0	2	2	30
8	discussed	2:32:01::	1	verb.communication	2	0	0	2	2	31
17	discussing	2:32:01::	1	verb.communication	2	0	0	2	2	32
16	discuss	2:32:01::	1	verb.communication	2	0	0	2	2	33
2	discussed	2:32:00::	2	verb.communication	2	0	0	2	2	34
34	discuss	2:32:01::	1	verb.communication	2	0	0	0	2	35
4	discuss	2:32:01::	1	verb.communication	2	0	0	0	2	36
12	discussed	2:32:00::	2	verb.communication	2	0	0	0	2	37
3	discussed	2:32:01::	1	verb.communication	2	0	0	0	2	38
3	discuss	2:32:00::	2	verb.communication	2	0	0	0	2	39
22	discussed	2:32:01::	1	verb.communication	2	0	0	0	2	40
26	discussed	2:32:01::	1	verb.communication	2	0	0	0	2	41
6	discuss	2:32:01::	1	verb.communication	2	0	0	0	2	42
18	discussed	2:32:01::	1	verb.communication	2	0	0	0	2	43
10	discussed	2:32:01::	1	verb.communication	2	0	0	0	2	44
11	discussed	2:32:01::	1	verb.communication	2	0	0	0	0	45
26	discuss	2:32:01::	1	verb.communication	2	0	0	0	0	46
7	discussed	2:32:01::	1	verb.communication	2	0	0	0	0	47
0	Discussed	2:32:01::	1	verb.communication	2	0	0	0	0	48
41	discuss	2:32:00::	2	verb.communication	2	0	0	0	0	49
