position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
5	distance	1:07:00::	1	noun.attribute	1	1	1	1	1	0
17	distance	1:07:00::	1	noun.attribute	1	1	1	1	1	1
18	distance	1:07:00::	1	noun.attribute	1	1	1	1	1	2
53	distance	1:07:00::	1	noun.attribute	1	0	1	1	1	3
28	distance	1:07:01::	3	noun.attribute	1	0	1	1	1	4
19	distance	1:07:00::	1	noun.attribute	1	0	0	1	1	5
8	distance	1:07:00::	1	noun.attribute	1	0	0	1	1	6
5	distance	1:07:00::	1	noun.attribute	1	0	0	1	1	7
7	distance	1:07:01::	3	noun.attribute	1	0	0	1	1	8
4	distance	1:07:00::	1	noun.attribute	1	0	0	1	1	9
16	distance	1:12:00::	4	noun.feeling	1	0	0	0	1	10
2	distance	1:07:00::	1	noun.attribute	1	0	0	0	1	11
22	distance	1:12:00::	4	noun.feeling	1	0	0	0	1	12
13	distance	1:07:00::	1	noun.attribute	1	0	0	0	1	13
14	distance	1:07:00::	1	noun.attribute	1	0	0	0	1	14
4	distances	1:07:00::	1	noun.attribute	1	0	0	0	1	15
3	distance	1:07:00::	1	noun.attribute	1	0	0	0	1	16
2	distance	1:07:00::	1	noun.attribute	1	0	0	0	1	17
16	distance	1:07:00::	1	noun.attribute	1	0	0	0	1	18
14	distances	1:07:00::	1	noun.attribute	1	0	0	0	1	19
14	distance	1:12:00::	4	noun.feeling	1	0	0	0	0	20
10	distance	1:07:00::	1	noun.attribute	1	0	0	0	0	21
3	distance	1:07:00::	1	noun.attribute	1	0	0	0	0	22
14	distance	1:15:00::	2	noun.location	1	0	0	0	0	23
38	distance	1:07:01::	3	noun.attribute	1	0	0	0	0	24
25	distance	1:07:00::	1	noun.attribute	2	2	2	2	2	25
13	distance	1:07:00::	1	noun.attribute	2	2	2	2	2	26
19	distance	1:07:01::	3	noun.attribute	2	2	2	2	2	27
16	distance	1:07:00::	1	noun.attribute	2	0	2	2	2	28
15	distance	1:07:00::	1	noun.attribute	2	0	2	2	2	29
10	distance	1:07:00::	1	noun.attribute	2	0	0	2	2	30
3	distance	1:15:00::	2	noun.location	2	0	0	2	2	31
10	distance	1:07:00::	1	noun.attribute	2	0	0	2	2	32
6	distance	1:07:00::	1	noun.attribute	2	0	0	2	2	33
6	distance	1:07:00::	1	noun.attribute	2	0	0	2	2	34
2	distances	1:07:00::	1	noun.attribute	2	0	0	0	2	35
10	distance	1:07:00::	1	noun.attribute	2	0	0	0	2	36
3	distance	1:07:00::	1	noun.attribute	2	0	0	0	2	37
3	distance	1:07:00::	1	noun.attribute	2	0	0	0	2	38
14	distance	1:07:00::	1	noun.attribute	2	0	0	0	2	39
35	distance	1:07:00::	1	noun.attribute	2	0	0	0	2	40
7	distance	1:07:00::	1	noun.attribute	2	0	0	0	2	41
16	distance	1:07:00::	1	noun.attribute	2	0	0	0	2	42
7	distance	1:07:00::	1	noun.attribute	2	0	0	0	2	43
6	distance	1:07:00::	1	noun.attribute	2	0	0	0	2	44
34	distance	1:15:00::	2	noun.location	2	0	0	0	0	45
19	distances	1:07:00::	1	noun.attribute	2	0	0	0	0	46
11	distance	1:07:00::	1	noun.attribute	2	0	0	0	0	47
11	distance	1:07:00::	1	noun.attribute	2	0	0	0	0	48
11	distance	1:07:00::	1	noun.attribute	2	0	0	0	0	49
