position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
12	doctor	1:18:00::	1	noun.person	1	1	1	1	1	0
14	doctor	1:18:00::	1	noun.person	1	1	1	1	1	1
10	doctor	1:18:00::	1	noun.person	1	1	1	1	1	2
16	doctors	1:18:00::	1	noun.person	1	0	1	1	1	3
28	doctor	1:18:00::	1	noun.person	1	0	1	1	1	4
4	doctor	1:18:00::	1	noun.person	1	0	0	1	1	5
1	doctor	1:18:00::	1	noun.person	1	0	0	1	1	6
2	doctors	1:18:00::	1	noun.person	1	0	0	1	1	7
9	doctor	1:18:00::	1	noun.person	1	0	0	1	1	8
8	doctor	1:18:00::	1	noun.person	1	0	0	1	1	9
41	doctor	1:18:00::	1	noun.person	1	0	0	0	1	10
5	doctor	1:18:00::	1	noun.person	1	0	0	0	1	11
23	doctor	1:18:00::	1	noun.person	1	0	0	0	1	12
1	doctor	1:18:00::	1	noun.person	1	0	0	0	1	13
1	Doctor	1:18:00::	1	noun.person	1	0	0	0	1	14
2	doctor	1:18:00::	1	noun.person	1	0	0	0	1	15
1	doctor	1:18:00::	1	noun.person	1	0	0	0	1	16
13	doctor	1:18:00::	1	noun.person	1	0	0	0	1	17
19	doctors	1:18:02::	2	noun.person	1	0	0	0	1	18
1	doctor	1:18:00::	1	noun.person	1	0	0	0	1	19
25	doctor	1:18:00::	1	noun.person	1	0	0	0	0	20
25	doctor	1:18:00::	1	noun.person	1	0	0	0	0	21
12	doctor	1:18:00::	1	noun.person	1	0	0	0	0	22
8	doctor	1:18:00::	1	noun.person	1	0	0	0	0	23
1	doctor	1:18:00::	1	noun.person	1	0	0	0	0	24
13	Doctor	1:18:00::	1	noun.person	2	2	2	2	2	25
3	doctor	1:18:00::	1	noun.person	2	2	2	2	2	26
8	doctor	1:18:00::	1	noun.person	2	2	2	2	2	27
11	doctor	1:18:00::	1	noun.person	2	0	2	2	2	28
8	Doctor	1:18:00::	1	noun.person	2	0	2	2	2	29
1	doctor	1:18:00::	1	noun.person	2	0	0	2	2	30
10	doctors	1:18:00::	1	noun.person	2	0	0	2	2	31
5	doctor	1:18:00::	1	noun.person	2	0	0	2	2	32
15	doctor	1:18:00::	1	noun.person	2	0	0	2	2	33
5	doctor	1:18:00::	1	noun.person	2	0	0	2	2	34
5	doctor	1:18:00::	1	noun.person	2	0	0	0	2	35
28	doctor	1:18:00::	1	noun.person	2	0	0	0	2	36
15	doctor	1:18:00::	1	noun.person	2	0	0	0	2	37
12	doctors	1:18:00::	1	noun.person	2	0	0	0	2	38
27	doctor	1:04:00::	3	noun.act	2	0	0	0	2	39
1	doctor	1:18:00::	1	noun.person	2	0	0	0	2	40
30	doctor	1:18:00::	1	noun.person	2	0	0	0	2	41
5	doctor	1:18:00::	1	noun.person	2	0	0	0	2	42
6	docters	1:18:00::	1	noun.person	2	0	0	0	2	43
10	doctor	1:18:00::	1	noun.person	2	0	0	0	2	44
1	doctor	1:18:00::	1	noun.person	2	0	0	0	0	45
7	doctor	1:18:00::	1	noun.person	2	0	0	0	0	46
31	doctor	1:18:00::	1	noun.person	2	0	0	0	0	47
4	doctor	1:18:00::	1	noun.person	2	0	0	0	0	48
1	doctor	1:18:00::	1	noun.person	2	0	0	0	0	49
