position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
2	door	1:06:00::	1	noun.artifact	1	1	1	1	1	0
22	door	1:06:00::	1	noun.artifact	1	1	1	1	1	1
23	door	1:06:00::	1	noun.artifact	1	1	1	1	1	2
5	door	1:06:00::	1	noun.artifact	1	0	1	1	1	3
13	door	1:06:01::	2	noun.artifact	1	0	1	1	1	4
6	door	1:06:00::	1	noun.artifact	1	0	0	1	1	5
16	door	1:06:00::	1	noun.artifact	1	0	0	1	1	6
10	door	1:06:01::	2	noun.artifact	1	0	0	1	1	7
17	door	1:06:00::	1	noun.artifact	1	0	0	1	1	8
39	door	1:06:00::	1	noun.artifact	1	0	0	1	1	9
17	door	1:06:00::	1	noun.artifact	1	0	0	0	1	10
18	doors	1:06:00::	1	noun.artifact	1	0	0	0	1	11
5	door	1:06:00::	1	noun.artifact	1	0	0	0	1	12
3	door	1:06:00::	1	noun.artifact	1	0	0	0	1	13
19	door	1:06:00::	1	noun.artifact	1	0	0	0	1	14
16	door	1:06:00::	1	noun.artifact	1	0	0	0	1	15
16	door	1:06:00::	1	noun.artifact	1	0	0	0	1	16
27	door	1:06:01::	2	noun.artifact	1	0	0	0	1	17
3	door	1:06:00::	1	noun.artifact	1	0	0	0	1	18
6	door	1:06:01::	2	noun.artifact	1	0	0	0	1	19
7	door	1:06:01::	2	noun.artifact	1	0	0	0	0	20
8	door	1:06:02::	0	noun.artifact	1	0	0	0	0	21
3	door	1:06:00::	1	noun.artifact	1	0	0	0	0	22
2	doors	1:06:00::	1	noun.artifact	1	0	0	0	0	23
1	door	1:06:00::	1	noun.artifact	1	0	0	0	0	24
1	doors	1:06:00::	1	noun.artifact	2	2	2	2	2	25
7	door	1:06:00::	1	noun.artifact	2	2	2	2	2	26
10	door	1:06:00::	1	noun.artifact	2	2	2	2	2	27
5	door	1:06:00::	1	noun.artifact	2	0	2	2	2	28
5	door	1:06:01::	2	noun.artifact	2	0	2	2	2	29
4	door	1:06:00::	1	noun.artifact	2	0	0	2	2	30
4	door	1:06:00::	1	noun.artifact	2	0	0	2	2	31
4	door	1:06:00::	1	noun.artifact	2	0	0	2	2	32
2	door	1:06:00::	1	noun.artifact	2	0	0	2	2	33
9	door	1:06:00::	1	noun.artifact	2	0	0	2	2	34
16	door	1:06:00::	1	noun.artifact	2	0	0	0	2	35
2	door	1:06:00::	1	noun.artifact	2	0	0	0	2	36
9	door	1:06:01::	2	noun.artifact	2	0	0	0	2	37
4	door	1:06:01::	2	noun.artifact	2	0	0	0	2	38
5	door	1:06:00::	1	noun.artifact	2	0	0	0	2	39
1	door	1:06:00::	1	noun.artifact	2	0	0	0	2	40
13	doors	1:07:00::	3	noun.attribute	2	0	0	0	2	41
5	door	1:06:00::	1	noun.artifact	2	0	0	0	2	42
24	door	1:06:00::	1	noun.artifact	2	0	0	0	2	43
9	door	1:06:00::	1	noun.artifact	2	0	0	0	2	44
6	door	1:06:01::	2	noun.artifact	2	0	0	0	0	45
23	doors	1:06:01::	2	noun.artifact	2	0	0	0	0	46
6	door	1:06:01::	2	noun.artifact	2	0	0	0	0	47
26	door	1:06:00::	1	noun.artifact	2	0	0	0	0	48
22	door	1:06:00::	1	noun.artifact	2	0	0	0	0	49
